Municipio,Nome_Municipio,Populacao
150680,Santarém,288462
431340,Novo Hamburgo,247781
330070,Cabo Frio,200380
170210,Araguaína,164093
291800,Jequié,161391
330020,Araruama,118964
353980,Poá,112015
251080,Patos,104716
261250,Santa Cruz do Capibaribe,96908
522045,Senador Canedo,95018
231130,Quixadá,83990
313510,Janaúba,70041
312410,Esmeraldas,65224
261300,São Bento do Una,56413
260890,Limoeiro,56407
510525,Lucas do Rio Verde,52843
260260,Brejo da Madre de Deus,47972
354020,Pontal,44236
411580,Medianeira,44149
292810,Santa Maria da Vitória,41824
130240,Lábrea,41600
260420,Catende,40328
260220,Bom Jardim,38816
260880,Lajedo,38545
521040,Itaberaí,38324
320332,Marataízes,37140
261310,São Caitano,36485
231070,Pentecoste,36442
280450,Nossa Senhora da Glória,34799
430910,Gramado,34110
316210,São Gotardo,33774
320280,Itapemirim,33610
130070,Boca do Acre,32792
260530,Exu,32076
411570,Matinhos,31690
150350,Irituia,31634
260610,Glória do Goitá,30000
330023,Armação dos Búzios,29790
150430,Maracanã,28631
260660,Ibimirim,28197
230940,Novo Oriente,28075
280120,Canindé de São Francisco,27136
230270,Campos Sales,27030
311880,Coração de Jesus,26889
150565,Placas,26842
261500,Taquaritinga do Norte,26772
230780,Marco,25944
261580,Tupanatinga,25882
261150,Quipapá,25220
312420,Espera Feliz,24098
260760,Ilha de Itamaracá,23923
261480,Tacaratu,23833
150660,Santa Maria do Pará,23649
261320,São João,22162
250150,Bananeiras,22012
420670,Herval d'Oeste,21961
280020,Aquidabã,21023
261040,Parnamirim,20990
230195,Barreira,20371
261170,Riacho das Almas,19947
510270,Canarana,19681
317090,Varzelândia,19678
230360,Catarina,19676
260310,Cachoeirinha,19674
291720,Ituaçu,19211
261400,Serrita,18951
260650,Iati,18913
291075,Fátima,18524
270680,Piaçabuçu,17941
230185,Banabuiú,17775
150616,Rio Maria,17774
250190,Belém,17495
231210,Santana do Cariri,17445
250250,Boqueirão,17434
293130,Tapiramutá,17345
150145,Belterra,16808
230070,Alto Santo,16767
231080,Pereiro,16063
410345,Cafelândia,16020
231195,Salitre,15976
150740,São Francisco do Pará,15301
150475,Mojuí dos Campos,15232
231110,Porteiras,15108
251690,Uiraúna,15062
291820,Jiquiriçá,14936
251670,Teixeira,14739
510706,Querência,14631
241140,Santana do Matos,13688
230393,Choró,13195
260860,Lagoa do Ouro,12685
280240,Gararu,11712
251510,São Sebastião de Lagoa de Roça,11495
320316,Laranja da Terra,11418
261030,Paranatama,11399
510677,Porto Alegre do Norte,11336
220500,Itainópolis,11302
412050,Primeiro de Maio,11199
230050,Alcântaras,11171
290150,Anguera,11113
510785,São Félix do Araguaia,10951
251540,São Vicente do Seridó,10701
261210,Salgadinho,10076
355560,Uchoa,9885
510718,Ribeirão Cascalheira,9316
292160,Morpará,8987
317103,Verdelândia,8875
293110,Tanquinho,8510
291990,Macururé,8417
220490,Isaías Coelho,8368
314450,Nazareno,8363
250157,Barra de Santana,8305
250540,Desterro,8196
230150,Arneiroz,7766
260250,Brejinho,7464
230060,Altaneira,7196
171886,Santa Fé do Araguaia,7054
250355,Cacimbas,7035
411100,Itambaracá,6887
250120,Areial,6819
171875,Rio Sono,6459
521875,Rio Sono (Desativado),6459
280470,Nossa Senhora de Lourdes,6456
250939,Maturéia,6283
240185,Caiçara do Norte,6257
312965,Ibiracatu,6250
421450,Rio do Campo,6185
251430,São José de Caiana,6179
241210,São João do Sabugi,6174
312750,Gonzaga,6148
316780,Soledade de Minas,5971
432195,Trindade do Sul,5962
170130,Aragominas,5958
510035,Alto Boa Vista,5809
315950,Santa Rita do Itueto,5782
510185,Bom Jesus do Araguaia,5756
270370,Jaramataia,5718
250880,Malta,5679
412610,São Tomé,5595
521060,Itaguaru,5521
241470,Várzea,5467
250053,Alcantil,5398
170215,Araguanã,5379
316225,São João da Lagoa,4858
510269,Canabrava do Norte,4728
250435,Caturité,4714
250960,Monte Horebe,4688
412635,Serranópolis do Iguaçu,4667
251380,Santa Teresinha,4612
313640,Joaquim Felício,4538
316265,São João do Pacuí,4276
291020,Dom Macedo Costa,4127
500510,Jateí,4051
315760,Santa Fé de Minas,4034
291870,Lafaiete Coutinho,4017
240615,Jundiá,3790
251203,Poço Dantas,3788
251480,São José dos Cordeiros,3749
280690,São Francisco,3705
250550,Vista Serrana,3675
240950,Pedra Grande,3505
412210,Rio Bom,3385
171395,Muricilândia,3356
221150,Vera Mendes,3020
250620,Frei Martinho,2981
241160,São Bento do Norte,2967
240390,Francisco Dantas,2929
251365,Joca Claudino,2669
240960,Pedra Preta,2607
170388,Carmolândia,2457
240165,Bodó,2412
510631,Novo Santo Antônio,2232
251278,Riacho de Santo Antônio,1856
251065,Parari,1823
510788,Serra Nova Dourada,1463
520210,Araguaína,0
