Meso,NIV_1995M01,NIV_1995M02,NIV_1995M03,NIV_1995M04,NIV_1995M05,NIV_1995M06,NIV_1995M07,NIV_1995M08,NIV_1995M09,NIV_1995M10,NIV_1995M11,NIV_1995M12,NIV_1996M01,NIV_1996M02,NIV_1996M03,NIV_1996M04,NIV_1996M05,NIV_1996M06,NIV_1996M07,NIV_1996M08,NIV_1996M09,NIV_1996M10,NIV_1996M11,NIV_1996M12,NIV_1997M01,NIV_1997M02,NIV_1997M03,NIV_1997M04,NIV_1997M05,NIV_1997M06,NIV_1997M07,NIV_1997M08,NIV_1997M09,NIV_1997M10,NIV_1997M11,NIV_1997M12,NIV_1998M01,NIV_1998M02,NIV_1998M03,NIV_1998M04,NIV_1998M05,NIV_1998M06,NIV_1998M07,NIV_1998M08,NIV_1998M09,NIV_1998M10,NIV_1998M11,NIV_1998M12,NIV_1999M01,NIV_1999M02,NIV_1999M03,NIV_1999M04,NIV_1999M05,NIV_1999M06,NIV_1999M07,NIV_1999M08,NIV_1999M09,NIV_1999M10,NIV_1999M11,NIV_1999M12,NIV_2000M01,NIV_2000M02,NIV_2000M03,NIV_2000M04,NIV_2000M05,NIV_2000M06,NIV_2000M07,NIV_2000M08,NIV_2000M09,NIV_2000M10,NIV_2000M11,NIV_2000M12,NIV_2001M01,NIV_2001M02,NIV_2001M03,NIV_2001M04,NIV_2001M05,NIV_2001M06,NIV_2001M07,NIV_2001M08,NIV_2001M09,NIV_2001M10,NIV_2001M11,NIV_2001M12,NIV_2002M01,NIV_2002M02,NIV_2002M03,NIV_2002M04,NIV_2002M05,NIV_2002M06,NIV_2002M07,NIV_2002M08,NIV_2002M09,NIV_2002M10,NIV_2002M11,NIV_2002M12,NIV_2003M01,NIV_2003M02,NIV_2003M03,NIV_2003M04,NIV_2003M05,NIV_2003M06,NIV_2003M07,NIV_2003M08,NIV_2003M09,NIV_2003M10,NIV_2003M11,NIV_2003M12,NIV_2004M01,NIV_2004M02,NIV_2004M03,NIV_2004M04,NIV_2004M05,NIV_2004M06,NIV_2004M07,NIV_2004M08,NIV_2004M09,NIV_2004M10,NIV_2004M11,NIV_2004M12,NIV_2005M01,NIV_2005M02,NIV_2005M03,NIV_2005M04,NIV_2005M05,NIV_2005M06,NIV_2005M07,NIV_2005M08,NIV_2005M09,NIV_2005M10,NIV_2005M11,NIV_2005M12,NIV_2006M01,NIV_2006M02,NIV_2006M03,NIV_2006M04,NIV_2006M05,NIV_2006M06,NIV_2006M07,NIV_2006M08,NIV_2006M09,NIV_2006M10,NIV_2006M11,NIV_2006M12,NIV_2007M01,NIV_2007M02,NIV_2007M03,NIV_2007M04,NIV_2007M05,NIV_2007M06,NIV_2007M07,NIV_2007M08,NIV_2007M09,NIV_2007M10,NIV_2007M11,NIV_2007M12,NIV_2008M01,NIV_2008M02,NIV_2008M03,NIV_2008M04,NIV_2008M05,NIV_2008M06,NIV_2008M07,NIV_2008M08,NIV_2008M09,NIV_2008M10,NIV_2008M11,NIV_2008M12,NIV_2009M01,NIV_2009M02,NIV_2009M03,NIV_2009M04,NIV_2009M05,NIV_2009M06,NIV_2009M07,NIV_2009M08,NIV_2009M09,NIV_2009M10,NIV_2009M11,NIV_2009M12,NIV_2010M01,NIV_2010M02,NIV_2010M03,NIV_2010M04,NIV_2010M05,NIV_2010M06,NIV_2010M07,NIV_2010M08,NIV_2010M09,NIV_2010M10,NIV_2010M11,NIV_2010M12,NIV_2011M01,NIV_2011M02,NIV_2011M03,NIV_2011M04,NIV_2011M05,NIV_2011M06,NIV_2011M07,NIV_2011M08,NIV_2011M09,NIV_2011M10,NIV_2011M11,NIV_2011M12,NIV_2012M01,NIV_2012M02,NIV_2012M03,NIV_2012M04,NIV_2012M05,NIV_2012M06,NIV_2012M07,NIV_2012M08,NIV_2012M09,NIV_2012M10,NIV_2012M11,NIV_2012M12,NIV_2013M01,NIV_2013M02,NIV_2013M03,NIV_2013M04,NIV_2013M05,NIV_2013M06,NIV_2013M07,NIV_2013M08,NIV_2013M09,NIV_2013M10,NIV_2013M11,NIV_2013M12,NIV_2014M01,NIV_2014M02,NIV_2014M03,NIV_2014M04,NIV_2014M05,NIV_2014M06,NIV_2014M07,NIV_2014M08,NIV_2014M09,NIV_2014M10,NIV_2014M11,NIV_2014M12,NIV_2015M01,NIV_2015M02,NIV_2015M03,NIV_2015M04,NIV_2015M05,NIV_2015M06,NIV_2015M07,NIV_2015M08,NIV_2015M09,NIV_2015M10,NIV_2015M11,NIV_2015M12,NIV_2016M01,NIV_2016M02,NIV_2016M03,NIV_2016M04,NIV_2016M05,NIV_2016M06,NIV_2016M07,NIV_2016M08,NIV_2016M09,NIV_2016M10,NIV_2016M11,NIV_2016M12,NIV_2017M01,NIV_2017M02,NIV_2017M03,NIV_2017M04,NIV_2017M05,NIV_2017M06,NIV_2017M07,NIV_2017M08,NIV_2017M09,NIV_2017M10,NIV_2017M11,NIV_2017M12,NIV_2018M01,NIV_2018M02,NIV_2018M03,NIV_2018M04,NIV_2018M05,NIV_2018M06,NIV_2018M07,NIV_2018M08,NIV_2018M09,NIV_2018M10,NIV_2018M11,NIV_2018M12
1101,79093,79376,79902,80486,81290,81666,81797,82211,82465,82527,82428,82027,82288,82555,82742,83103,83458,83456,83706,84053,84359,84269,84193,83023,83513,84068,84517,87164,90234,91008,91671,92628,93640,94151,94559,92912,92832,93853,94288,94702,95233,94723,95088,94855,94852,94881,94556,93787,94117,94277,95116,95434,96048,96419,96917,97304,97476,97811,97952,97633,98685,98890,99194,95192,93639,94106,94801,95391,95457,95649,95709,94911,95680,96569,97309,98299,99104,99972,100804,101407,101727,101989,102202,101023,101983,103080,104838,105479,106803,107319,107933,109370,110230,110659,111226,109242,110801,111779,112129,112653,114649,115201,115646,116133,116922,117330,117885,116942,116447,117170,118281,120021,121647,122913,124253,125449,126416,126291,126033,124613,126191,127070,128041,130186,132074,133167,133412,135082,136079,136501,136297,134408,135215,136253,137161,139052,140125,140926,141487,142252,142810,143259,143315,141145,141829,143027,144041,145758,145985,147883,149212,149994,151053,151653,151933,150517,151579,152490,153935,155087,155763,156899,158630,160075,161896,163612,164286,161987,164911,168259,171534,172626,175157,177578,179933,182791,186104,189665,192270,190180,193600,196668,201484,204925,209483,212016,215000,217312,220013,221266,222148,220728,223375,228571,231870,233353,234302,235808,237832,238819,240042,240749,239416,236684,239006,240841,241958,240636,242856,244727,246756,247996,249089,248551,248111,243129,245007,246145,246374,248956,247923,248105,248990,249279,248540,247731,244989,242245,243721,245015,245418,246261,247641,248693,249145,249241,248561,247668,246178,242706,240893,240606,241506,241335,241136,241004,240862,242009,242275,240378,237973,234603,235326,234860,234642,234605,234297,233736,232567,232200,231440,229626,228064,224707,225505,226292,226388,226435,226559,226350,226217,226995,227469,227342,227114,225299,226367,226912,227090,227675,227995,228244,228731,229068,229098,228574,227550,224194
1102,34580,35107,35749,36574,37335,37669,37982,38305,38481,38384,38167,36975,37325,37660,38435,39238,40081,41608,42737,43236,43564,43525,43382,41447,41982,42591,43570,44462,45651,47352,48462,49658,50542,51838,51865,49804,50918,52288,52504,53985,55211,55845,56428,56346,56444,56660,56334,54684,55133,55922,57219,58045,59154,60528,61087,62047,62851,63291,63136,61584,62821,63949,65012,66146,67429,69126,70716,71865,73004,73738,73639,70867,72166,73183,74542,76158,77085,78182,79234,80365,81251,81443,80708,78111,79111,79820,81487,83111,83841,84724,85743,86851,88362,88574,88533,86647,88066,88615,89466,90235,91329,92977,94100,94861,95580,96217,96408,94230,95178,95982,97217,98518,99871,101114,102594,103991,104508,104559,104916,101586,103921,105337,105900,107338,108569,110451,111286,112214,113158,113525,113483,111211,112208,113530,113848,115738,117225,118366,119875,121227,122080,122332,122115,119797,120834,122401,124301,125749,127967,129243,130713,131486,132343,133434,133338,131111,132680,134196,135544,136723,137550,139337,140368,141306,141932,140994,141256,137172,139543,141328,142500,143562,145467,147845,149295,151232,152187,152970,152687,149012,151578,153198,154198,155918,157154,158277,159509,159930,161243,160565,160317,157785,159772,161781,162950,164513,166484,167838,168834,170133,170652,170504,171103,168528,169684,171130,172730,175170,177074,179468,181714,182934,183713,182820,182110,178375,180690,182690,183921,185971,187368,188024,189163,190629,191640,192282,191651,189590,190760,192431,193761,195112,196562,197823,199278,201104,202280,202494,202048,199503,200441,201540,201930,202763,202817,202720,203043,203094,203158,202199,200922,198763,199081,200206,200969,201260,201155,201789,201934,202559,203030,201767,199203,195548,198307,200352,200626,201504,201844,202742,203825,205217,205873,206211,205488,203611,204987,206267,207130,207836,208867,208577,209638,210266,211177,211111,210758,209302
1201,2389,2394,2407,2413,2433,2449,2486,2496,2494,2480,2490,2487,2520,2497,2586,2696,2775,2899,2912,2968,2988,2845,2733,2726,2755,2734,2743,2763,2794,2702,2751,2746,2760,2715,2720,2688,2736,2727,2835,2857,2925,2942,2937,2952,2956,2933,2925,2888,2903,2908,2911,2916,2932,2958,2964,2973,2969,2975,2939,2911,2928,2975,3059,3093,3141,3248,3261,3286,3420,3408,3322,3190,3290,3319,3484,3535,3647,3775,3801,3820,3832,3838,3779,3538,3577,3591,4128,4493,4566,4542,4656,4701,4702,4696,4670,4595,4647,4671,4769,4825,4852,5053,5050,5156,5177,5254,5232,5192,5327,5370,5561,5611,5675,5671,5752,5891,5975,5873,5864,5756,5938,6140,6316,6430,6587,6739,6905,6973,7095,7106,7136,6854,6859,6925,6950,7323,7533,7635,7766,7826,7800,7847,7820,7452,7506,7582,7576,7895,8072,8221,8611,8689,8707,8693,8622,8292,8345,8472,8607,8772,9087,9487,9603,9703,9763,9822,9628,9265,9438,9549,9742,10215,10424,10598,10735,11050,11111,11221,11185,10768,10598,10818,10926,11505,11796,11996,12194,12333,12376,12391,12167,11323,11376,11632,11618,12163,12392,12690,12931,13002,13165,13190,13011,12679,12782,12878,13239,13409,13587,13872,14054,14288,14391,14259,14134,13573,13788,13954,14386,14831,15140,15572,15878,16107,16390,16375,16211,15372,15393,15401,15662,15999,16125,16372,16486,16715,16740,16653,16360,15984,16026,16023,16159,16478,16890,17115,17254,17297,17288,17282,16939,16475,16482,16635,16885,17215,17174,17138,17213,17224,17201,16974,16113,15319,15663,15736,16152,16382,17486,17708,17861,18048,18070,18027,17692,17059,17302,17273,17479,18091,18224,18350,18526,18584,18617,18507,17997,17410
1202,47331,46979,46707,46589,46450,46503,46542,46584,46533,46531,46304,45669,46079,46241,46370,46575,46941,47433,47667,47618,47604,47348,47095,46697,46985,47102,47335,47776,48125,48487,48356,48365,48254,48296,48443,48033,49259,49872,50897,51364,51644,52021,52197,52368,52494,52191,52081,51447,51680,51727,52101,52455,52799,53003,53440,53851,54091,54242,54148,53983,54388,54553,54993,55243,55754,56481,57287,57720,58110,58240,57984,57585,58206,58465,58743,59132,59685,60340,60927,61721,62201,62220,62097,61205,61035,61172,62074,63042,63625,64390,65317,65956,66269,66037,65991,64328,64788,66058,67001,67319,67860,68586,69052,69399,69657,69979,69790,68479,68971,70219,71219,72027,72798,73837,75071,75778,76217,76220,76495,75190,77035,78555,79657,80291,82127,83374,84223,85208,85865,86164,86326,83642,86552,87699,89499,91624,92212,94354,96145,96933,97727,98022,97759,93101,94831,97148,98932,100976,101491,102658,103107,103946,105089,105484,105642,102836,103705,106204,107938,109542,110820,112330,113489,114286,115788,115878,115590,110689,110494,112002,112975,115246,116437,117576,118637,119343,120478,121043,121808,118631,119104,122311,124157,126568,128836,130135,130988,133080,133915,133628,133086,132276,131620,134744,135765,137990,140177,141147,141869,142508,143622,143926,144008,140719,140139,143822,144962,147225,148939,150073,151379,152335,152510,152229,151663,144916,145649,148521,151140,153065,154621,155563,156439,157444,158530,158851,158756,153477,153862,158107,158844,159449,160436,162241,163637,164512,164998,164423,163596,156806,156089,156720,160748,163190,163820,164608,164961,166488,167149,166689,164840,161026,161273,162539,164213,164765,165078,165784,167013,166891,166690,166102,164874,159226,159421,160264,163453,164737,165031,166306,166741,167302,167756,168030,167357,162948,162603,163537,166415,167678,168654,169183,169839,170052,170601,170647,169363,159363
1301,489,500,530,526,522,524,520,513,512,531,537,529,538,535,583,615,647,651,656,659,658,654,609,608,616,616,616,619,625,627,630,631,635,636,633,632,637,674,686,688,686,686,683,679,683,681,673,679,672,669,676,668,663,621,547,546,554,554,568,573,634,757,814,826,832,839,858,872,872,879,884,647,666,707,789,891,942,952,947,939,942,945,879,685,699,689,682,803,813,899,903,899,912,915,916,890,920,921,879,896,1076,1094,1109,1114,1128,1138,1142,1006,1009,1020,849,990,1060,1151,1165,1172,1175,1207,1204,1071,1144,1174,1264,1284,1298,1300,1033,1343,1371,1379,1368,1345,1586,1782,2466,2622,2712,2792,2785,2801,2816,2800,2494,2480,2914,2982,3368,3469,3513,3533,3538,3603,3628,3569,3566,3216,3670,3727,4305,4508,4525,4547,4586,4574,4548,4503,4457,3832,4296,4616,5256,5340,5410,5495,5508,5573,5579,5530,5510,5462,5497,5576,5917,6239,5973,6251,6245,6248,6209,6205,6194,6091,6151,6475,7357,7469,7454,7463,7468,7475,7484,7498,7502,7496,7586,7648,8702,8741,8836,8890,8879,8900,8898,8897,8863,8538,9184,9265,10004,10232,10277,10287,10281,10278,10308,10274,10262,10208,10386,10402,11173,11270,11324,11348,11363,11381,11412,11407,11268,10977,11059,11038,11417,11718,11730,11742,11749,11762,11744,11741,11637,11410,11375,11638,11970,12200,12252,12084,12322,12354,12335,12261,12074,11457,11925,12317,13481,14019,14135,14076,14081,14086,14076,14083,13785,13637,13891,13948,14764,14958,15028,15092,14978,15235,15267,15229,14999,13958
1302,1125,1130,1119,1111,1093,1089,1096,1093,1106,1108,1105,1100,1100,1092,1089,1090,1082,1132,1161,1200,1211,1194,1164,1186,1213,1219,1223,1224,1227,1236,1239,1246,1270,1286,1320,1402,1529,1556,1644,1690,1704,1697,1713,1727,1750,1745,1802,1799,1920,1934,1962,1983,1993,2015,2140,2276,2350,2395,2622,2469,2500,2518,2524,2536,2539,2546,2608,2626,2615,2241,2256,2220,2021,2017,2066,2082,2079,2115,2114,2141,2149,2156,2153,2127,2165,2166,2265,2575,2598,2633,2648,2638,2647,2663,2691,2711,2768,2831,3000,3167,3199,3221,3242,3263,3277,3281,3312,3124,3167,3240,3359,3472,3571,3678,3870,3869,3893,3907,3906,3918,4363,4464,4561,4630,4699,4740,4791,4798,4815,4826,4813,4787,4825,4860,5093,5175,5203,4941,4887,5097,5098,5114,5089,5054,5128,5219,5460,5531,5512,5536,5798,5878,5910,5965,5998,5979,6085,6247,6484,6537,6599,6647,6726,6729,6735,6769,6746,6740,7323,7495,7701,7747,7840,7859,7911,7951,7973,8015,8033,7886,8572,8644,8987,9043,9277,9337,9369,9518,9543,9662,9689,9040,9746,10354,10438,10672,10762,10780,10837,10882,10950,10779,10799,10142,10788,10893,11926,12103,12046,12141,12275,12329,12359,12344,12375,11097,12279,12811,14208,14543,14799,14926,14959,15144,15163,15215,14921,13229,14092,14689,16140,16369,16503,16575,16633,16671,16708,16664,16612,14031,15340,16215,17292,17560,17709,17682,17175,17491,17517,17479,17335,15180,16075,16788,17975,18310,18381,18327,18591,18626,18603,18318,18057,14546,16847,17522,18983,20099,20874,21065,21298,21526,21638,21670,21639,20677,21215,21647,24092,24661,24941,25120,25291,25221,25421,25436,25156,23263
1303,230292,232378,234623,235779,236958,236349,236437,238042,238831,238522,238273,235512,236695,238152,238591,236365,237109,238959,241827,243910,246721,248280,249424,245154,247779,248703,249520,250489,251837,253384,253589,254645,255896,255471,255394,251388,252587,252309,253660,254549,255371,255347,256020,257285,258000,256908,256104,250461,250853,248198,245951,243799,244795,245605,247034,249205,251322,252267,252571,248303,251358,252991,254838,257584,260723,261203,263584,266988,269299,271426,273741,269281,272696,276840,279560,282516,284367,286209,286863,288782,290934,293655,295342,291484,294734,296524,299739,303782,306137,308095,309093,312579,315858,317819,318534,310961,315213,317661,319776,322581,324605,327183,329521,334761,339321,342840,346032,337191,342291,347311,353264,357765,362205,368348,374733,380196,384359,388950,392390,383805,388205,392298,399258,405834,411254,416583,421666,428796,433426,438198,441243,432125,437224,441980,449116,456703,461428,462901,464594,467670,472756,475416,478415,468259,472399,477437,484456,491127,495516,499641,503764,509429,514141,519873,524656,516935,519437,522667,528807,536265,540191,548282,553646,561982,568642,570098,567099,549058,549574,547779,551501,553211,555195,558115,560846,572024,579640,586098,589663,577936,586057,593499,601463,607318,613957,619994,626242,632703,637773,644081,645048,634176,642502,653317,664614,671339,675576,681737,686746,690962,697759,702338,703310,683365,694268,695983,700801,705492,706821,710348,713776,717455,719920,722885,722548,701683,710472,719448,728812,733230,734982,739448,746089,752180,757532,763510,765542,751853,754184,763326,766933,768724,767949,766835,769176,772922,774334,775265,775073,759649,765003,765552,769224,767521,764414,761254,758123,755954,755828,751069,745147,730015,728677,732362,734225,735017,734354,732691,731583,734699,736995,735267,731844,715932,725282,730596,735259,738283,738598,739485,743641,745385,747444,752090,752288,737176,744066,748978,754793,757057,757017,758917,763166,767787,770804,771007,771095,754946
1304,2143,2152,2156,2141,2140,2131,2115,2131,2136,2130,2129,2112,2121,2131,2149,2147,2157,2160,2173,2185,2189,2185,2194,2179,2195,2191,2240,2263,2253,2285,2293,2299,1864,2046,2037,1904,1955,2056,2091,2075,2086,2119,2203,2203,2235,2239,2228,2189,2218,2240,2240,2253,2257,2267,2303,2355,2364,2350,2348,2314,2304,2363,2406,2422,2447,2519,2534,2553,2565,2559,2540,2380,2461,2510,2613,2611,2608,2658,2689,2727,2742,2773,2802,2729,2866,2892,3086,3119,3223,3236,3573,3582,3631,3648,3636,3524,3541,3533,3573,3668,3713,3701,3735,3736,3751,3759,3766,3627,3719,3753,3787,3829,4019,4244,4265,4315,4324,4345,4345,4280,4420,4598,4746,4808,4931,5006,5093,5091,5134,5120,5056,4919,5053,5335,5413,5721,5810,5912,6022,6078,6084,6081,6113,5985,6053,6102,6383,6526,6635,6683,6748,6760,6833,6837,6795,6570,6762,6953,7276,7428,7596,7787,8067,7872,7833,7624,7344,7160,7719,8036,8508,8895,8953,8994,9031,9129,9115,9142,8827,8551,8569,8979,9474,9534,9536,9568,9664,9708,9780,9847,9720,9351,9713,10096,10730,10805,10870,10953,11028,11062,11146,11145,11144,10023,10354,10474,11473,11616,11789,11880,11999,12098,12173,12128,12057,10571,11092,11450,12358,12787,13130,13309,13433,13504,13567,13586,13557,12135,12374,12926,13032,13493,13882,14001,14246,14345,14359,14392,14280,13277,13682,14286,14709,14838,15177,15229,15312,15375,15450,15419,15271,14337,14521,14776,15350,15448,16145,16237,16329,16349,16146,15859,15760,14825,15059,15570,16887,17150,17602,17741,17882,18029,18019,18057,17856,16675,16823,17431,18389,18662,19059,19080,19058,19552,19704,19697,19655,18467
1401,20428,20599,20670,20791,20978,20991,21045,21126,21250,21241,21325,21208,21956,22242,22466,22529,22805,22863,23182,23310,24144,24711,25600,24683,24311,24576,24772,24898,25223,25418,25324,25355,25280,25251,25320,25170,25559,25687,25971,26189,26376,26607,26664,26741,26790,26650,26561,25791,25838,25836,25930,26054,26085,26118,26198,26316,26234,26317,26459,26304,26454,26725,26813,26927,27149,27250,27460,27667,27848,27795,27821,27736,28431,28831,29015,29321,29533,29720,29808,30071,30269,30306,30316,30131,30513,30806,31030,30948,31152,31307,31461,31995,32232,32197,32300,32008,32726,32986,32993,33210,33429,33643,33947,34006,34258,34283,34404,34137,34462,35014,35238,35204,35510,35765,36103,36421,36851,37054,37240,36765,37660,37938,38239,38620,39006,39664,39758,40055,40574,40976,41172,41032,41745,42288,42530,42890,43008,43078,43269,44158,44867,45083,45243,44872,45760,46384,46569,47023,47625,47872,48257,48265,48642,49140,49813,49636,51152,51811,52605,53208,53123,52973,53102,53637,53831,53819,54054,53244,55496,56693,57265,57792,58215,58420,58832,59332,59995,60578,61144,60658,62201,62868,63806,64695,64933,66979,67439,68200,68961,69028,69549,68522,70431,73031,73803,74052,73539,73647,74154,76971,77854,78003,78758,77401,78613,81349,83375,84383,84759,85101,86066,86625,87421,87773,88244,87114,87745,90658,90692,91363,91913,92046,92726,93646,94567,95120,94800,93932,95996,98405,99242,100903,101435,101973,102864,103675,103990,103578,103437,101665,104142,105610,106955,107802,107894,108252,108571,109031,109968,110342,110621,109504,110571,111501,112592,112927,113286,113248,113397,113563,114147,113754,113685,112139,114674,115966,117172,117958,119137,119361,119849,120597,121251,122072,122600,122057,124176,124914,125850,126433,126279,126429,126350,126581,126694,127663,127422,124992
1402,383,361,355,338,332,330,327,321,320,312,235,198,197,205,201,211,223,256,256,257,259,283,280,294,307,302,303,304,324,322,333,334,340,338,337,311,313,315,425,414,429,422,420,492,504,485,505,474,439,452,422,434,423,420,428,434,461,482,502,504,519,541,535,604,584,585,591,530,516,528,546,546,593,653,675,686,702,697,697,672,678,685,678,396,417,392,409,413,420,422,444,457,472,464,464,100,148,145,116,122,138,197,209,233,222,218,207,-82,-48,14,10,21,32,40,69,104,103,110,106,86,187,280,328,329,360,413,404,388,386,390,396,370,393,418,459,482,477,523,521,487,478,476,463,444,626,820,960,1034,1102,1155,1166,1201,1257,1275,1266,1205,1354,1433,1474,1494,1516,1558,1623,1656,1734,1737,1728,1030,1438,1647,1794,1904,2011,2053,2023,2015,2113,2129,2183,1961,2517,2852,3223,3489,3514,3476,3491,3551,3655,3713,3749,3423,3675,3990,4294,4455,4454,4514,4412,4565,4722,4736,4760,4611,4868,5428,5593,5680,5827,5813,5748,5785,5877,5728,5574,5173,6171,7394,7897,7912,7789,7800,7868,7841,7917,7872,7775,7241,7063,7740,7882,7971,8003,8046,8121,8246,8323,8346,8289,7406,7146,7576,8221,8338,8364,8449,8418,8420,8553,8417,8399,7584,7928,8309,8548,8717,8651,8895,8951,8949,8811,8589,8548,7414,8305,8624,8984,9265,9404,9468,9498,9519,9467,9387,9406,8491,9000,9306,9538,9584,9668,9659,9814,9851,9902,9781,9576,8832
