Name,Short name,Code
Cacoal,Amc110004,110004
Alta Floresta D'Oeste,Amc110005,110005
Costa Marques,Amc110008,110008
Espigão D'Oeste,Amc110009,110009
Guajará-Mirim,Amc110010,110010
Jaru,Amc110011,110011
Ji-Paraná,Amc110012,110012
Nova Brasilândia D'Oeste,Amc110014,110014
Ouro Preto do Oeste,Amc110015,110015
Ariquemes,Amc110020,110020
Presidente Médici,Amc110025,110025
Rolim de Moura,Amc110028,110028
Santa Luzia D'Oeste,Amc110029,110029
Colorado do Oeste,Amc110030,110030
Nova Mamoré,Amc110033,110033
Assis Brasil,Amc120005,120005
Cruzeiro do Sul,Amc120020,120020
Feijó,Amc120030,120030
Manoel Urbano,Amc120034,120034
Brasiléia,Amc120040,120040
Plácido de Castro,Amc120045,120045
Sena Madureira,Amc120050,120050
Tarauacá,Amc120060,120060
Alvarães,Amc130002,130002
Amaturá,Amc130006,130006
Anamã,Amc130008,130008
Anori,Amc130010,130010
Apuí,Amc130014,130014
Atalaia do Norte,Amc130020,130020
Autazes,Amc130030,130030
Barcelos,Amc130040,130040
Barreirinha,Amc130050,130050
Benjamin Constant,Amc130060,130060
Beruri,Amc130063,130063
Boa Vista do Ramos,Amc130068,130068
Boca do Acre,Amc130070,130070
Borba,Amc130080,130080
Caapiranga,Amc130083,130083
Canutama,Amc130090,130090
Carauari,Amc130100,130100
Careiro,Amc130110,130110
Careiro da Várzea,Amc130115,130115
Coari,Amc130120,130120
Codajás,Amc130130,130130
Eirunepé,Amc130140,130140
Envira,Amc130150,130150
Fonte Boa,Amc130160,130160
Guajará,Amc130165,130165
Humaitá,Amc130170,130170
Ipixuna,Amc130180,130180
Iranduba,Amc130185,130185
Itacoatiara,Amc130190,130190
Itamarati,Amc130195,130195
Itapiranga,Amc130200,130200
Japurá,Amc130210,130210
Juruá,Amc130220,130220
Jutaí,Amc130230,130230
Lábrea,Amc130240,130240
Manacapuru,Amc130250,130250
Manaquiri,Amc130255,130255
Manaus,Amc130260,130260
Manicoré,Amc130270,130270
Maraã,Amc130280,130280
Maués,Amc130290,130290
Nhamundá,Amc130300,130300
Nova Olinda do Norte,Amc130310,130310
Novo Airão,Amc130320,130320
Novo Aripuanã,Amc130330,130330
Parintins,Amc130340,130340
Pauini,Amc130350,130350
Presidente Figueiredo,Amc130353,130353
Rio Preto da Eva,Amc130356,130356
Santa Isabel do Rio Negro,Amc130360,130360
Santo Antônio do Içá,Amc130370,130370
São Gabriel da Cachoeira,Amc130380,130380
São Paulo de Olivença,Amc130390,130390
São Sebastião do Uatumã,Amc130395,130395
Silves,Amc130400,130400
Tabatinga,Amc130406,130406
Tapauá,Amc130410,130410
Tefé,Amc130420,130420
Tonantins,Amc130423,130423
Uarini,Amc130426,130426
Urucará,Amc130430,130430
Urucurituba,Amc130440,130440
Alto Alegre,Amc140005,140005
Boa Vista,Amc140010,140010
Bonfim,Amc140020,140020
São João da Baliza,Amc140060,140060
Abaetetuba,Amc150010,150010
Acará,Amc150020,150020
Afuá,Amc150030,150030
Alenquer,Amc150040,150040
Almeirim,Amc150050,150050
Altamira,Amc150060,150060
Anajás,Amc150070,150070
Ananindeua,Amc150080,150080
Augusto Corrêa,Amc150090,150090
Aveiro,Amc150100,150100
Bagre,Amc150110,150110
Baião,Amc150120,150120
Barcarena,Amc150130,150130
Belém,Amc150140,150140
Benevides,Amc150150,150150
Bom Jesus do Tocantins,Amc150157,150157
Bonito,Amc150160,150160
Bragança,Amc150170,150170
Brejo Grande do Araguaia,Amc150175,150175
Breves,Amc150180,150180
Bujaru,Amc150190,150190
Cachoeira do Arari,Amc150200,150200
Cametá,Amc150210,150210
Capanema,Amc150220,150220
Capitão Poço,Amc150230,150230
Castanhal,Amc150240,150240
Chaves,Amc150250,150250
Colares,Amc150260,150260
Conceição do Araguaia,Amc150270,150270
Concórdia do Pará,Amc150275,150275
Curionópolis,Amc150277,150277
Curralinho,Amc150280,150280
Curuçá,Amc150290,150290
Dom Eliseu,Amc150293,150293
Garrafão do Norte,Amc150307,150307
Gurupá,Amc150310,150310
Igarapé-Açu,Amc150320,150320
Igarapé-Miri,Amc150330,150330
Inhangapi,Amc150340,150340
Irituia,Amc150350,150350
Itaituba,Amc150360,150360
Juruti,Amc150390,150390
Limoeiro do Ajuru,Amc150400,150400
Mãe do Rio,Amc150405,150405
Magalhães Barata,Amc150410,150410
Marabá,Amc150420,150420
Maracanã,Amc150430,150430
Marapanim,Amc150440,150440
Melgaço,Amc150450,150450
Mocajuba,Amc150460,150460
Monte Alegre,Amc150480,150480
Muaná,Amc150490,150490
Nova Timboteua,Amc150500,150500
Óbidos,Amc150510,150510
Oeiras do Pará,Amc150520,150520
Faro,Amc150530,150530
Ourém,Amc150540,150540
Ourilândia do Norte,Amc150543,150543
Paragominas,Amc150550,150550
Parauapebas,Amc150553,150553
Peixe-Boi,Amc150560,150560
Ponta de Pedras,Amc150570,150570
Portel,Amc150580,150580
Prainha,Amc150600,150600
Primavera,Amc150610,150610
Redenção,Amc150613,150613
Rio Maria,Amc150616,150616
Rurópolis,Amc150619,150619
Salinópolis,Amc150620,150620
Salvaterra,Amc150630,150630
Santa Cruz do Arari,Amc150640,150640
Santa Izabel do Pará,Amc150650,150650
Santa Maria das Barreiras,Amc150658,150658
Santa Maria do Pará,Amc150660,150660
Santana do Araguaia,Amc150670,150670
Santarém,Amc150680,150680
Santarém Novo,Amc150690,150690
Santo Antônio do Tauá,Amc150700,150700
São Caetano de Odivelas,Amc150710,150710
São Domingos do Capim,Amc150720,150720
São Félix do Xingu,Amc150730,150730
São Francisco do Pará,Amc150740,150740
São Geraldo do Araguaia,Amc150745,150745
São João de Pirabas,Amc150747,150747
São João do Araguaia,Amc150750,150750
São Miguel do Guamá,Amc150760,150760
São Sebastião da Boa Vista,Amc150770,150770
Soure,Amc150790,150790
Tailândia,Amc150795,150795
Tomé-Açu,Amc150800,150800
Tucumã,Amc150808,150808
Uruará,Amc150815,150815
Vigia,Amc150820,150820
Xinguara,Amc150840,150840
Amapá,Amc160010,160010
Calçoene,Amc160020,160020
Laranjal do Jari,Amc160027,160027
Ferreira Gomes,Amc160030,160030
Mazagão,Amc160040,160040
Oiapoque,Amc160050,160050
Santana,Amc160060,160060
Tartarugalzinho,Amc160070,160070
Aliança do Tocantins,Amc170035,170035
Almas,Amc170040,170040
Ananás,Amc170100,170100
Aparecida do Rio Negro,Amc170110,170110
Araguacema,Amc170190,170190
Araguaçu,Amc170200,170200
Araguaína,Amc170210,170210
Arapoema,Amc170230,170230
