--------------- Ox at 18:37:04 on 06-Aug-2020 ---------------

*****************************************
             Regiao 69 - BELO HORIZONTE
*****************************************


                                             Coef       Std.Err
D_R69_Admitidos_1@D_R69_Admitidos         -0.3754        0.0545
D_R69_Desligados_1@D_R69_Admitidos        -0.0790        0.0175
D_star_Desligados@D_R69_Admitidos          0.0081        0.1590
D_star_Admitidos@D_R69_Admitidos           2.2352        0.1280
D_star_Admitidos_1@D_R69_Admitidos         0.7437        0.1824
betaZ_Admitidos_1@D_R69_Admitidos         -0.1229        0.0286
betaZ_Desligados_1@D_R69_Admitidos         0.5541        0.1425
I:1995(12)@D_R69_Admitidos               499.1147     4046.4343
I:1996(12)@D_R69_Admitidos              2513.1408     3963.7707
I:1997(12)@D_R69_Admitidos              2083.5109     3942.1949
I:2005(12)@D_R69_Admitidos             -2417.2535     3943.2763
I:2006(12)@D_R69_Admitidos              -137.3443     3954.4504
I:2007(12)@D_R69_Admitidos             -3217.8360     3958.4887
I:2010(12)@D_R69_Admitidos             -6119.6730     3999.6212
I:2011(12)@D_R69_Admitidos             -3644.0765     4016.3760
I:2012(7)@D_R69_Admitidos              15113.0039     3806.8404
I:2012(9)@D_R69_Admitidos               2108.2033     3883.7022
I:2012(10)@D_R69_Admitidos            -14543.1623     3868.3074
I:2012(12)@D_R69_Admitidos             -2296.3836     4043.8957
I:2013(12)@D_R69_Admitidos               762.5740     4097.5137
I:2014(12)@D_R69_Admitidos               -17.1530     4130.0880
I:2015(12)@D_R69_Admitidos              5257.8489     4030.9329
I:2016(12)@D_R69_Admitidos                99.8535     4107.5786
I:2017(12)@D_R69_Admitidos              -690.7233     4059.6432
I:2018(12)@D_R69_Admitidos               211.0945     4011.0105
Constant@D_R69_Admitidos               -1208.6319      409.6803
CSeasonal@D_R69_Admitidos               6678.7301     3349.0056
CSeasonal_1@D_R69_Admitidos            -1840.4877     2966.4125
CSeasonal_2@D_R69_Admitidos             1909.3609     2061.5036
CSeasonal_3@D_R69_Admitidos             2861.0320     2364.6285
CSeasonal_4@D_R69_Admitidos             -546.7184     2179.9911
CSeasonal_5@D_R69_Admitidos             2250.6160     2157.8234
CSeasonal_6@D_R69_Admitidos             5463.8246     2065.3750
CSeasonal_7@D_R69_Admitidos             6099.9084     2197.6666
CSeasonal_8@D_R69_Admitidos             5372.1579     2210.4134
CSeasonal_9@D_R69_Admitidos             1371.2565     2130.8315
CSeasonal_10@D_R69_Admitidos             979.7223     2170.5801
D_R69_Admitidos_1@D_R69_Desligados        -0.4432        0.0512
