variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.009026495845971816,-0.025735777940790145,0.03476227378676196,-0.026009268475117864,0.01662845379905828,-0.04263772227417614,0.11792941639293986,0.16610934445557216,-0.0481799280626323,-0.07410797215372167,-0.007727360702656365,-0.0663806114510653,0.12768203597348915,0.1250540995399598,0.0026279364335293487,-0.019048194970693544,-0.03231741207598128,0.013269217105287737,0.0410029736176627,0.06429948535918144,-0.02329651174151874,0.04873845919798736,0.048088951702785376,6.495074952019841e-4,-0.03901390930599202,-0.06558027362057038,0.02656636431457836,0.022329476398088133,0.02354805454879455,-0.0012185781507064175,-0.04847475650241062,-0.020951957686933587,-0.027522798815477034,-0.11200505837649466,-0.09882870537029362,-0.013176353006201041,0.015921953010584744,0.01090936145709072,0.0050125915534940235,-0.06267715208964741,0.0033947687759114595,-0.06607192086555888,0.10897622207627133,0.1505867678905991,-0.04161054581432777,0.003474236268186104,-0.013224134642797232,0.016698370910983334,-0.024577012335922355,0.05428298366182528,-0.07885999599774764,0.07639040266400077,0.030449734913647414,0.04594066775035335,0.05030488071090211,0.01784537716021971,0.0324595035506824,0.02474353038360544,-0.019071092546450456,0.04381462293005589,-0.07944885823932868,-0.03531090516719617,-0.04413795307213251,0.05470532785572324,0.07321458435539475,-0.018509256499671514,-0.06802405969600489,-0.07795615074084977,0.009932091044844882,-0.13752979859121783,-0.07249239589150341,-0.06503740269971442,0.03402974858631147,0.03730001828789066,-0.00327026970157919,-0.020025700502294796,-0.04755872203728135,0.027533021534986553,0.02373627989883076,0.10211417338626096,-0.0783778934874302,0.027999394500358044,0.0512758894561267,-0.023276494955768653,0.08841095734405258,-0.00982031546513941,0.09823127280919199,-0.058840500022933284,-0.034527605136942655,-0.02431289488599063,0.08487233874088052,0.08329969404750563,0.0015726446933748833,0.029538012436863603,0.014806797261060463,0.01473121517580314,-0.0468170600452158,-0.0876759553455298,0.040858895300314,0.05509868087693803,0.06645111532289175,-0.011352434445953713,-0.09737416402517596,-0.03906427306623528,-0.05830989095894068,-0.1348309379666084,-0.07989318418003442,-0.054937753786573965,lpim,BR
ln_Selic_aa,-0.004213875000000006,-0.0029619307811892094,-0.0012519442188107964,-0.0031484620000000046,-0.003996299446358808,8.478374463588029e-4,-0.005924264999999998,-0.0024481259331866167,-0.0034761390668133813,-0.004976224000000001,-0.0024505183983248003,-0.002525705601675201,-0.003980978999999996,-0.0037854703004852946,-1.95508699514701e-4,-0.009035610999999999,-0.003811718801380832,-0.005223892198619167,-0.0013030830000000104,-0.007153162182128997,0.005850079182128987,-0.007818501999999991,-0.0018158401539483588,-0.006002661846051633,-0.007362024000000009,-0.007730451538556371,3.68427538556362e-4,-0.0031663519999999973,-0.003865645891169781,6.992938911697835e-4,-0.005634845999999999,-0.0039664850839041055,-0.0016683609160958934,-0.003732608999999998,-0.004054838599725822,0.00032222959972582395,-9.331519999999927e-4,-0.0028078021951199973,0.0018746501951200046,-0.0016903400000000124,-0.0020348613153059756,3.445213153059632e-4,-0.0013210030000000011,-8.065019971684868e-4,-5.145010028315143e-4,-0.001677178999999994,-0.0016189074396128946,-5.8271560387099285e-5,0,-6.828611300177922e-4,6.828611300177922e-4,0,-1.9805491660434245e-4,1.9805491660434245e-4,0,8.655214908415197e-5,-8.655214908415197e-5,0,0.0019785134274779223,-0.0019785134274779223,0,-0.0012690287670845564,0.0012690287670845564,0,0.0014562539965513159,-0.0014562539965513159,0,-0.001912841892164436,0.001912841892164436,0,-0.0016091759091923779,0.0016091759091923779,-1.6609490172125874e-10,-0.001053848482907453,0.0010538483168125513,0,-2.874949614408896e-4,2.874949614408896e-4,0,-7.586811798814824e-5,7.586811798814824e-5,0,0.0015082795296172023,-0.0015082795296172023,0,0.002060572328792509,-0.002060572328792509,0,-3.2243223823437666e-4,3.2243223823437666e-4,0,-0.0025050841249982963,0.0025050841249982963,-0.004708764705697595,6.36018209693317e-5,-0.004772366526666926,-0.0018034466412768999,-0.004215189173643454,0.002411742532366554,-0.0031373091634108036,-0.0030455301926545627,-9.177897075624084e-5,-0.0045475841696603,-0.0025481737022209285,-0.0019994104674393716,-0.0029572266051162005,-0.0011619200758743726,-0.0017953065292418279,ln,Selic
ln_IPCA,7.986689999999186e-4,0.002695932509015013,-0.0018972635090150946,-4.986570000014012e-4,-0.0025440541232831584,0.002045397123281757,-7.986149999990033e-4,-0.0024464235171424865,0.0016478085171434832,-0.0010970690000000616,0.003894514432105131,-0.004991583432105193,0.0016966390000003884,-0.003021495531795387,0.0047181345317957755,-0.00539826500000018,-0.0027501630893332777,-0.002648101910666902,0.0047003319999987525,-0.0012703380641562643,0.005970670064155017,-5.001449999983976e-4,-8.424817163943756e-4,3.4233671639597807e-4,-2.997950000001026e-4,6.266950762662787e-4,-9.264900762663813e-4,0.0025944189999993483,0.0020713352264740345,5.230837735253138e-4,-0.0013955320000000881,3.0504989168071933e-4,-0.0017005818916808074,0.0015942280000000864,-5.988124484434344e-4,0.002193040448443521,-0.0014945629999996157,0.0033562566874827462,-0.004850819687482362,2.989709999994261e-4,-0.00179797820805292,0.002096949208052346,-0.002296012999998709,-0.0018589380458746776,-4.3707495412403127e-4,0.0012979419999989972,0.003327989536971971,-0.002030047536972974,0.0017953879999996758,-0.0016786146693501425,0.003474002669349818,0.008528869000000938,-0.002820016354597125,0.011348885354598062,-0.009226204000000848,-0.004188065653576607,-0.005038138346424241,-0.004194633000000891,3.8328293103685447e-4,-0.004577915931037746,0.00568764100000152,0.0011489498633034012,0.004538691136698119,-2.9905000000063353e-4,0.0018986894386566462,-0.0021977394386572795,-0.0065918249999992184,3.6467139321643967e-4,-0.006956496393215658,0.00360163399999891,0.0010020078672746094,0.0025996261327243006,0.0016955268209617458,-8.251569163810566e-4,0.0025206837373428024,0.0010957269304299189,0.0013357569022966007,-2.4002997186668186e-4,0.0031813966269407246,-9.772826840661378e-4,0.004158679311006863,-0.0017881201567835348,-0.0013078112119252869,-4.803089448582479e-4,-0.004384179882624295,0.0011892730181219163,-0.0055734529007462116,-0.0011996020379818617,-0.0014526056709986883,2.530036330168266e-4,0.00179901860490439,-0.004532061119981318,0.006331079724885708,-7.987039756169878e-4,0.0013152663065806394,-0.002113970282197627,-0.0014997487402599319,0.0013035851199687891,-0.002803333860228721,0.0013996159028231148,-0.0016330425617755954,0.00303265846459871,0.004087381290640124,0.0016804425894686727,0.0024069387011714516,0.0063476020149799695,0.0011577662536070134,0.005189835761372956,ln,IPCA
R1_Admitidos,2353,1340.7075390651853,1012.2924609348147,-178,-244.13741003250658,66.13741003250658,-50,-4.6011852184656306,-45.39881478153437,-797,52.472463937294876,-849.4724639372948,497,1011.8189105080062,-514.8189105080062,-370,-72.3187388807611,-297.6812611192389,250,301.05097647531824,-51.05097647531824,866,148.34242944491936,717.6575705550806,-598,-758.4712999379167,160.47129993791668,-838,-436.1549841298229,-401.8450158701771,394,258.9488962558898,135.0511037441102,-1190,-632.9185617760875,-557.0814382239125,1763,1495.2280709960885,267.7719290039115,-297,-128.96962629106298,-168.03037370893702,-41,203.48127099606785,-244.48127099606785,412,46.27749016328302,365.722509836717,-172,322.79782067736875,-494.79782067736875,-446,37.36444787929341,-483.3644478792934,432,583.5638602068462,-151.56386020684624,291,-116.52983629464542,407.5298362946454,-710,-592.3362619020738,-117.66373809792617,135,485.3958670269992,-350.3958670269992,-783,-337.4352884285769,-445.5647115714231,-732,-469.56241545692023,-262.43758454307977,1374,1759.3712092163262,-385.3712092163262,1206,-80.82225353975939,1286.8222535397595,-857,-307.93600801500384,-549.0639919849962,218,246.28079334313514,-28.280793343135144,-156,8.45106639804662,-164.45106639804663,-330,-332.7022818066372,2.7022818066371883,437,506.9215440972171,-69.92154409721712,233,-112.83513895387593,345.8351389538759,-591,-765.3719777173071,174.37197771730712,-558,308.7572140930018,-866.7572140930017,200,5.552415888239693,194.4475841117603,-1284,-629.487968888043,-654.512031111957,R1,Admitidos
R1_Desligados,-1357,-1367.60463179111,10.604631791110023,-178,-95.79110459409955,-82.20889540590045,498,35.96001717118045,462.0399828288196,-685,-584.9561835868082,-100.04381641319185,274,256.50769979403606,17.492300205963943,30,100.40798977661896,-70.40798977661896,201,-309.68693895130104,510.68693895130104,-48,-260.71519306532946,212.71519306532946,-281,-261.2972948782535,-19.702705121746476,-253,-10.978304141424672,-242.02169585857533,431,395.6895929938669,35.31040700613312,374,698.9283604508007,-324.9283604508007,-1003,-919.2933182934585,-83.70668170654153,244,189.91624524714567,54.08375475285433,313,-35.57092133961976,348.57092133961976,-31,-497.6041723403754,466.6041723403754,89,-46.975582933682944,135.97558293368294,-392,-106.09894976608766,-285.9010502339123,131,120.3178742511503,10.6821257488497,565,-132.81030618090233,697.8103061809023,-437,-403.96835655699294,-33.031643443007056,689,149.3898070304056,539.6101929695944,-325,31.542208716258386,-356.5422087162584,1544,183.73676641516934,1360.2632335848307,-939,-1464.164103097569,525.1641030975691,-1421,-899.9775168287886,-521.0224831712114,744,345.5374267792366,398.4625732207634,-911,-317.3693889562957,-593.6306110437042,291,383.4134940086228,-92.41349400862282,-365,119.02645704704545,-484.0264570470455,212,385.64790146701534,-173.64790146701534,563,167.56419000140036,395.43580999859967,-640,-362.66660570140823,-277.33339429859177,274,428.6332227662872,-154.6332227662872,917,179.64731190819876,737.3526880918013,-1120,-69.31484438559394,-1050.685155614406,R1,Desligados
R2_Admitidos,232,87.38074833097623,144.61925166902375,-10,-101.6941106547872,91.6941106547872,-131,-23.54522128797201,-107.45477871202799,27,-12.999676283565423,39.99967628356542,23,-9.942527965006782,32.94252796500678,-52,16.117942348983302,-68.1179423489833,55,34.2723738505949,20.727626149405097,-50,8.794475835253971,-58.79447583525397,-20,-15.888208977724393,-4.111791022275607,-17,-11.981758404166747,-5.018241595833253,-19,-7.621664969508635,-11.378335030491364,-32,-25.882480513806577,-6.117519486193423,75,61.457003268143936,13.542996731856064,44,-15.429159727878982,59.42915972787898,-14,-9.381800530403774,-4.618199469596226,-37,-32.663323174279995,-4.336676825720005,2,31.007857298339108,-29.007857298339108,10,3.954022848178777,6.045977151821223,-40,18.796020532825885,-58.796020532825885,75,40.31638890447953,34.68361109552047,-50,-46.43436553487601,-3.565634465123992,19,18.392606796719317,0.607393203280683,-41,-34.46352654023801,-6.536473459761993,-6,-42.12310551142012,36.12310551142012,30,53.68951271122774,-23.689512711227742,78,-15.453805181531614,93.4538051815316,-44,-15.544629247267682,-28.455370752732318,-27,-8.675945338537364,-18.324054661462636,0,8.836726157770462,-8.836726157770462,-35,-6.081557999969089,-28.91844200003091,34,46.502630971153884,-12.502630971153884,-31,-2.8535441217069013,-28.1464558782931,10,7.392837427583944,2.6071625724160556,-18,11.527309945079285,-29.527309945079285,-12,8.28897415314161,-20.28897415314161,-25,-13.019772448111755,-11.980227551888245,R2,Admitidos
R2_Desligados,-213,-162.38352847180525,-50.61647152819475,1,-14.237679378415933,15.237679378415933,12,15.534831536127918,-3.5348315361279177,-36,-57.389993592619135,21.389993592619135,169,14.76139422440268,154.2386057755973,-119,-53.036231271569505,-65.9637687284305,28,-18.265488146428048,46.26548814642805,-47,-1.2759954227282864,-45.724004577271714,-33,-19.63170747512772,-13.368292524872281,-1,22.237840886530115,-23.237840886530115,45,27.552908387365232,17.447091612634768,-9,45.385203700364585,-54.385203700364585,-42,0.6393667843651476,-42.639366784365144,26,-7.078481419385577,33.078481419385575,-1,-14.544480320467102,13.544480320467102,-1,-24.193627794375455,23.193627794375455,6,-22.001274436575304,28.001274436575304,27,3.441992295075565,23.558007704924435,23,-4.041185735533928,27.04118573553393,-49,-47.20208653102012,-1.7979134689798784,-16,-9.102097956142316,-6.897902043857684,19,35.56869242926239,-16.56869242926239,1,10.766117517505325,-9.766117517505325,50,40.28825965809708,9.711740341902917,-45,-8.186099523034716,-36.81390047696529,-15,-52.698561098459074,37.698561098459074,36,-11.27951690520024,47.27951690520024,-28,-31.97612298758966,3.9761229875896618,-9,-42.072332542154115,33.072332542154115,-1,1.3683646293536225,-2.3683646293536222,-11,13.210478315336157,-24.210478315336157,37,1.6247090911590305,35.37529090884097,-21,-33.500506654892,12.500506654892,-4,2.743288511444618,-6.743288511444618,59,-3.541276212550141,62.541276212550144,-44,-18.59814832745679,-25.40185167254321,R2,Desligados
R3_Admitidos,917,532.8382060261871,384.1617939738129,21,-102.26980327336534,123.26980327336534,-257,-137.91615787220994,-119.08384212779006,-163,31.581082148977863,-194.58108214897786,39,227.37009613054616,-188.37009613054616,-29,48.73095695297884,-77.73095695297884,33,34.1869995867205,-1.1869995867205034,-15,72.93825001686479,-87.93825001686479,-75,-102.5191148456583,27.519114845658294,-65,-19.784731088155922,-45.21526891184408,-159,45.5691276600912,-204.5691276600912,-218,-113.98022732016807,-104.01977267983193,388,660.994547170223,-272.994547170223,199,119.85858724166042,79.14141275833958,67,98.90182488660507,-31.90182488660507,-262,-112.62672586216473,-149.37327413783527,103,148.85562614861342,-45.855626148613425,-163,81.34046390074572,-244.3404639007457,121,131.79159250858964,-10.791592508589645,19,40.91015363570311,-21.91015363570311,-77,-98.53699674366098,21.53699674366098,-19,-38.71708784202221,19.71708784202221,-20,-142.24392150849982,122.24392150849982,-277,-234.32989466071328,-42.67010533928672,582,356.7782803878604,225.22171961213962,96,-102.92675549018452,198.92675549018452,-254,-63.17483039471287,-190.82516960528713,-117,160.30138623306652,-277.3013862330665,-14,261.01077147439537,-275.01077147439537,25,85.63386272541261,-60.63386272541261,50,130.5387709245886,-80.53877092458859,160,-0.1864445717536114,160.1864445717536,-126,-246.02997307846388,120.02997307846388,-103,-77.88010057369323,-25.119899426306773,-177,-43.82109809787309,-133.1789019021269,-196,-100.49855485059203,-95.50144514940797,R3,Admitidos
R3_Desligados,-139,-186.9371455289769,47.93714552897691,-100,2.805341176286113,-102.8053411762861,210,160.59240177135402,49.40759822864598,-223,-268.2668624938444,45.26686249384443,47,158.96164632070585,-111.96164632070585,-66,80.27230802237949,-146.2723080223795,235,56.18136304866659,178.81863695133342,-100,-147.9921863395576,47.992186339557605,-50,-103.23105165465296,53.23105165465296,62,20.824069651543198,41.1759303484568,-4,27.070184202860197,-31.070184202860197,172,151.88459764911087,20.115402350889127,-335,-213.64684800703722,-121.35315199296278,56,-59.77490960972499,115.774909609725,10,48.440718842042024,-38.440718842042024,-97,-117.79329424592203,20.793294245922027,71,-6.853486426659952,77.85348642665996,0,45.05768549335763,-45.05768549335763,22,-59.1357585039641,81.1357585039641,-1,-61.385252894001496,60.385252894001496,-132,-31.029187512916884,-100.97081248708312,92,69.44207217092969,22.55792782907031,62,83.37152362157806,-21.371523621578064,-70,63.98419696096979,-133.9841969609698,173,43.612587571525644,129.38741242847436,49,-130.6632348570532,179.6632348570532,-18,-196.14704344750996,178.14704344750996,-190,-76.00986742323855,-113.99013257676145,5,62.192373889652295,-57.192373889652295,-57,4.91948119526355,-61.91948119526355,29,40.51033681841202,-11.510336818412021,27,23.987377923650108,3.012622076349892,23,-41.3226829575619,64.32268295756191,43,-13.579861602312604,56.579861602312604,-164,19.533353928821697,-183.5333539288217,250,246.9344994357463,3.0655005642537105,R3,Desligados
R4_Admitidos,984,636.2104610847385,347.78953891526146,93,-88.66577076533446,181.66577076533446,-102,71.04247646753254,-173.04247646753254,-313,-88.59429254149711,-224.4057074585029,-58,217.19711860713042,-275.1971186071304,184,-69.33619291609185,253.33619291609185,116,64.64343080960181,51.35656919039819,-103,-42.6599071145734,-60.3400928854266,463,-78.19363835343472,541.1936383534347,-377,-218.86003009668391,-158.13996990331609,-559,-65.88779361046741,-493.1122063895326,13,-120.13430555827742,133.13430555827742,762,699.539461545813,62.46053845418703,-10,-242.67253783036335,232.67253783036335,-31,126.35267444023972,-157.35267444023972,-314,-38.53946754018969,-275.46053245981034,70,145.261310480483,-75.26131048048299,-396,1.8865666110746737,-397.88656661107467,659,304.3848505980385,354.6151494019615,-195,-180.14598709120492,-14.854012908795085,-190,-133.44321289213315,-56.55678710786685,-159,217.73060533537483,-376.73060533537483,43,-43.90324658423779,86.90324658423779,-452,-243.65642493749567,-208.34357506250433,806,751.7759370571777,54.22406294282234,-53,-92.74021815789479,39.74021815789479,-28,111.81235833360512,-139.81235833360512,400,136.20695447867735,263.79304552132265,109,-319.1229688447851,428.1229688447851,-324,-256.94082616728826,-67.05917383271174,175,211.2568415675707,-36.25684156757069,43,-12.958276571807549,55.958276571807545,-443,-175.0074722807202,-267.9925277192798,97,176.52412122253176,-79.52412122253176,-232,-13.617827532014967,-218.38217246798504,-622,-210.1668248120136,-411.8331751879864,R4,Admitidos
