variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.009026495845971816,-0.02156287059646895,0.030589366442440764,-0.026009268475117864,-0.028213726491036466,0.0022044580159186027,0.11792941639293986,0.11944609390852226,-0.0015166775155824042,-0.07410797215372167,-0.021280664352689244,-0.052827307801032425,0.12768203597348915,0.08064101793555928,0.04704101803792987,-0.019048194970693544,-0.03404010727157948,0.014991912300885937,0.0410029736176627,0.03329708991708172,0.007705883700580979,0.04873845919798736,0.04819590494017726,5.425542578101003e-4,-0.03901390930599202,-0.02760377552691858,-0.011410133779073444,0.022329476398088133,0.037016054770402707,-0.014686578372314574,-0.04847475650241062,-0.0332126726235249,-0.015262083878885724,-0.11200505837649466,-0.11101825108399624,-9.868072924984206e-4,0.015921953010584744,-0.014068567988415201,0.029990520998999945,-0.06267715208964741,-0.034619174571843256,-0.02805797751780416,0.10897622207627133,0.12993662562109698,-0.020960403544825645,0.003474236268186104,-0.024167784926679384,0.027642021194865488,-0.024577012335922355,0.0384443164158787,-0.06302132875180105,0.07639040266400077,0.015009245917322767,0.061381156746678,0.05030488071090211,0.025583011445774063,0.02472186926512805,0.02474353038360544,-0.00841111293174632,0.033154643315351756,-0.07944885823932868,-0.004954566705050919,-0.07449429153427777,0.05470532785572324,0.07048417232852658,-0.01577884447280334,-0.06802405969600489,-0.060165469685050536,-0.007858590010954354,-0.13752979859121783,-0.13566841387953793,-0.0018613847116799032,0.03402974858631147,-0.0012650888623264162,0.035294837448637886,-0.020025700502294796,-0.03947673080910301,0.019451030306808212,0.02373627989883076,0.10629076566859039,-0.08255448576975963,0.027999394500358044,0.02129928891451726,0.0067001055858407835,0.08841095734405258,0.0412591284033552,0.047151828940697374,-0.058840500022933284,-0.05730373670472282,-0.0015367633182104615,0.08487233874088052,0.08260260045818917,0.00226973828269135,0.029538012436863603,0.02139934270328883,0.008138669733574772,-0.0468170600452158,-0.04812190916447778,0.001304849119261986,0.05509868087693803,0.048857891119911304,0.0062407897570267296,-0.09737416402517596,-0.05358795286251281,-0.043786211162663145,-0.1348309379666084,-0.09256364753228777,-0.04226729043432062,lpim,BR
ln_Selic_aa,-0.004213875000000006,-0.002862662325877267,-0.0013512126741227386,-0.0031484620000000046,-0.0023843678523062474,-7.640941476937573e-4,-0.005924264999999998,-0.0036002631745615755,-0.0023240018254384225,-0.004976224000000001,-0.004327004920222097,-6.492190797779043e-4,-0.003980978999999996,-0.002612986506244493,-0.0013679924937555028,-0.009035610999999999,-0.0027055268278847215,-0.0063300841721152775,-0.0013030830000000104,-0.005533734975869003,0.004230651975868993,-0.007818501999999991,-8.135138648491691e-4,-0.007004988135150822,-0.007362024000000009,-0.0055571305925770885,-0.0018048934074229202,-0.0031663519999999973,-0.0029305899047521507,-2.3576209524784654e-4,-0.005634845999999999,-0.0016712625630138592,-0.00396358343698614,-0.003732608999999998,-0.0035344022926131983,-1.9820670738679956e-4,-9.331519999999927e-4,-0.0017721936537788837,8.390416537788911e-4,-0.0016903400000000124,-1.4945117036687075e-4,-0.0015408888296331417,-0.0013210030000000011,-0.0020996153151244855,7.786123151244844e-4,-0.001677178999999994,-2.624029797547782e-4,-0.0014147760202452156,0,-0.0013936430227604992,0.0013936430227604992,0,0.0011074451984988017,-0.0011074451984988017,0,0.001902826628623076,-0.001902826628623076,0,0.001206512579509304,-0.001206512579509304,0,-2.2883011595401564e-4,2.2883011595401564e-4,0,0.001572033458223068,-0.001572033458223068,0,-8.677744829850272e-4,8.677744829850272e-4,0,-9.548299231840059e-4,9.548299231840059e-4,-1.6609490172125874e-10,-0.001132378884873774,0.0011323787187788722,0,-0.001528518049396677,0.001528518049396677,0,7.760344523740116e-4,-7.760344523740116e-4,0,-7.697231111525257e-4,7.697231111525257e-4,0,2.1539509554191044e-4,-2.1539509554191044e-4,0,0.001644684266945651,-0.001644684266945651,0,6.146255291892654e-4,-6.146255291892654e-4,-0.004708764705697595,-0.0013378157815084942,-0.0033709489241891006,-0.0018034466412768999,-0.003495389653549021,0.0016919430122721213,-0.0031373091634108036,-4.590045024078362e-4,-0.0026783046610029675,-0.0045475841696603,-0.0033156951010111647,-0.0012318890686491353,-0.0029572266051162005,-0.0019038865566709529,-0.0010533400484452476,ln,Selic
ln_IPCA,7.986689999999186e-4,0.002267547560385854,-0.0014688785603859354,-4.986570000014012e-4,-4.0521638707287795e-4,-9.344061292852328e-5,-7.986149999990033e-4,-2.883812501025618e-4,-5.102337498964415e-4,-0.0010970690000000616,0.0011012660863547181,-0.0021983350863547797,0.0016966390000003884,-9.367216804196174e-4,0.002633360680420006,-0.00539826500000018,-0.001481312913969474,-0.003916952086030706,0.0047003319999987525,7.460545801412677e-4,0.003954277419857485,-5.001449999983976e-4,-0.0012612031642269127,7.610581642285151e-4,-2.997950000001026e-4,-9.356461424594599e-4,6.358511424593572e-4,0.0025944189999993483,4.167692381711448e-4,0.0021776497618282036,-0.0013955320000000881,-1.5718374918472747e-5,-0.0013798136250816155,0.0015942280000000864,-5.989646423779856e-4,0.002193192642378072,-0.0014945629999996157,0.001797135806475753,-0.0032916988064753687,2.989709999994261e-4,-0.001471926825442022,0.001770897825441448,-0.002296012999998709,-4.867967954481149e-4,-0.0018092162045505941,0.0012979419999989972,2.7128537252406776e-4,0.0010266566274749294,0.0017953879999996758,-0.0016467895043572117,0.0034421775043568872,0.008528869000000938,-0.00112056732858632,0.009649436328587259,-0.009226204000000848,-0.0039549016275418495,-0.005271302372458999,-0.004194633000000891,-4.4105570101842455e-4,-0.003753577298982467,0.00568764100000152,0.0020090444371289244,0.0036785965628725954,-2.9905000000063353e-4,5.829009174573843e-4,-8.819509174580178e-4,-0.0065918249999992184,-0.0017468228415963715,-0.004845002158402847,0.00360163399999891,0.002946950458411321,6.546835415875891e-4,0.0016955268209617458,-1.2722404938471865e-4,0.0018227508703464643,0.0010957269304299189,4.0046594135068064e-4,6.952609890792383e-4,0.0031813966269407246,3.7829380276562506e-4,0.0028031028241750997,-0.0017881201567835348,-7.65564460998871e-4,-0.001022555695784664,-0.004384179882624295,-0.002780049883229789,-0.001604129999394506,-0.0011996020379818617,0.0011421364266472175,-0.0023417384646290795,0.00179901860490439,7.382295868372614e-4,0.0010607890180671284,-7.987039756169878e-4,-0.001652677521017512,8.539735454005243e-4,-0.0014997487402599319,-4.558128598030949e-4,-0.001043935880456837,0.0013996159028231148,2.967576439261685e-4,0.0011028582588969464,0.004087381290640124,5.754449256278328e-4,0.0035119363650122914,0.0063476020149799695,6.196281769433939e-4,0.005727973838036576,ln,IPCA
R1_Admitidos,2353,1471.9359103213633,881.0640896786367,-178,-617.9961501687761,439.9961501687761,-50,-193.70546423396786,143.70546423396786,-797,-24.208969497051328,-772.7910305029486,497,995.6617725204742,-498.6617725204742,-370,-127.50696737138456,-242.49303262861542,250,387.67964454251586,-137.67964454251586,866,-44.21036738411918,910.2103673841192,-598,-1010.6567377285676,412.6567377285676,-838,-853.4627308737447,15.462730873744704,394,66.15738227474537,327.8426177252546,-1190,-561.2377572450282,-628.7622427549718,1763,1661.023035413021,101.97696458697897,-297,-7.682512044284977,-289.317487955715,-41,284.1134079827588,-325.1134079827588,412,33.49718212927638,378.5028178707236,-172,416.1507815068668,-588.1507815068668,-446,-247.4594754932823,-198.5405245067177,432,687.8005304052142,-255.8005304052142,291,-115.12775475959292,406.1277547595929,-710,-747.1242661008455,37.12426610084549,135,-169.06944607486503,304.069446074865,-783,-388.2211072678031,-394.7788927321969,-732,-738.7477634065851,6.747763406585136,1374,1659.1978670416415,-285.19786704164153,1206,112.23232391027784,1093.767676089722,-857,-431.2703010287008,-425.7296989712992,218,-11.254748418927932,229.25474841892793,-156,425.0052544716285,-581.0052544716285,-330,-165.6140778829369,-164.3859221170631,437,499.12699674859226,-62.12699674859226,233,109.10878421810116,123.89121578189884,-591,-726.1097120092012,135.1097120092012,-558,-257.98177137027585,-300.01822862972415,200,-80.42186706161982,280.4218670616198,-1284,-687.5729401767876,-596.4270598232124,R1,Admitidos
R1_Desligados,-1357,-1521.6673446199952,164.66734461999522,-178,-248.50580123877012,70.50580123877012,498,136.30069681614634,361.69930318385366,-685,-491.25257391969706,-193.74742608030294,274,265.81681095015585,8.183189049844145,30,-103.93717121031102,133.93717121031102,201,-58.956748393516335,259.95674839351636,-48,-318.5654708914083,270.5654708914083,-281,-421.0460404741075,140.04604047410749,-253,34.90510090734625,-287.90510090734625,431,425.6191471547166,5.380852845283414,374,941.1027310826921,-567.1027310826921,-1003,-1274.383758952095,271.3837589520949,244,66.60798827930648,177.39201172069352,313,1.3019501307090025,311.698049869291,-31,-482.28036699901674,451.28036699901674,89,50.867935271981594,38.132064728018406,-392,-250.53032398128354,-141.46967601871646,131,542.4577481784497,-411.4577481784497,565,-60.80922909086512,625.8092290908651,-437,-723.9490080280384,286.9490080280384,689,146.97595918079514,542.0240408192049,-325,-224.766469604122,-100.233530395878,1544,546.1361097517085,997.8638902482915,-939,-2008.2749802429803,1069.2749802429803,-1421,-777.4625128082595,-643.5374871917405,744,602.0167815126538,141.98321848734622,-911,-225.2586572994107,-685.7413427005893,291,436.4276948843974,-145.4276948843974,-365,22.82858782706387,-387.82858782706387,212,256.6197389008014,-44.619738900801394,563,396.88589173592743,166.11410826407257,-640,-516.4346058779249,-123.56539412207508,274,221.06792503972298,52.93207496027702,917,334.85614339170274,582.1438566082973,-1120,420.6526880807114,-1540.6526880807114,R1,Desligados
R2_Admitidos,232,49.10338229129795,182.89661770870205,-10,-27.89393136416418,17.89393136416418,-131,-98.53819527566104,-32.46180472433896,27,41.227574750846756,-14.227574750846756,23,-58.29752289595184,81.29752289595184,-52,-39.380939676006044,-12.619060323993956,55,84.10464440001614,-29.10464440001614,-50,-34.94184513968737,-15.058154860312627,-20,-14.870695129536738,-5.129304870463262,-17,1.0441921217754988,-18.0441921217755,-19,-20.67494592357105,1.6749459235710518,-32,-28.009203755052475,-3.990796244947525,75,106.66266001435521,-31.66266001435521,44,-13.635178785447842,57.63517878544784,-14,47.12057647196805,-61.12057647196805,-37,-20.56642998196214,-16.43357001803786,2,-17.615347606082974,19.615347606082974,10,-6.4406452517442645,16.440645251744264,-40,9.919060825724737,-49.919060825724735,75,17.150240514805724,57.84975948519428,-50,-45.23582842324299,-4.764171576757008,19,-33.81203131926928,52.81203131926928,-41,-23.448346814591286,-17.551653185408714,-6,-81.08337998996609,75.08337998996609,30,75.2900816535803,-45.2900816535803,78,12.191288896488558,65.80871110351144,-44,-0.3552589960020587,-43.64474100399794,-27,8.323782417210527,-35.32378241721052,0,-4.0574414799006355,4.0574414799006355,-35,-10.380291671604198,-24.619708328395802,34,55.86661501541566,-21.86661501541566,-31,-0.3397774225955814,-30.66022257740442,10,-3.905496525968669,13.905496525968669,-18,-9.25059853002081,-8.74940146997919,-12,-4.784747834407533,-7.215252165592467,-25,-40.24592034111513,15.24592034111513,R2,Admitidos
R2_Desligados,-213,-167.1656340935869,-45.8343659064131,1,-37.887231757947504,38.887231757947504,12,19.69633993202406,-7.69633993202406,-36,-17.27036022214935,-18.72963977785065,169,4.472348672695219,164.5276513273048,-119,-89.1204710260326,-29.879528973967396,28,12.9287622895324,15.0712377104676,-47,-21.187254625089917,-25.812745374910083,-33,-28.848882026208607,-4.1511179737913935,-1,24.12168800781477,-25.12168800781477,45,22.139260629263596,22.860739370736404,-9,72.47215346996178,-81.47215346996178,-42,-10.587710612348701,-31.4122893876513,26,-2.1028719671498664,28.102871967149866,-1,0.7825055830531689,-1.7825055830531689,-1,-13.966535900398895,12.966535900398895,6,-2.523328812934192,8.523328812934192,27,-6.6911807909947925,33.69118079099479,23,7.98867364746371,15.01132635253629,-49,-53.69056035726522,4.69056035726522,-16,-19.042396181936553,3.042396181936553,19,33.41776898059944,-14.41776898059944,1,-14.103779793104462,15.103779793104462,50,90.74430143891968,-40.74430143891968,-45,-37.05605978036685,-7.943940219633149,-15,-27.60502732502277,12.605027325022771,36,15.583219268602809,20.41678073139719,-28,-33.91125126206977,5.911251262069769,-9,-20.005363995122288,11.005363995122288,-1,8.016382718992585,-9.016382718992585,-11,15.714772831937932,-26.714772831937932,37,1.5378592064780796,35.46214079352192,-21,-38.598811232931276,17.598811232931276,-4,13.913300013053844,-17.913300013053842,59,-17.564785480074907,76.5647854800749,-44,39.428913818403366,-83.42891381840337,R2,Desligados
R3_Admitidos,917,561.6393426768038,355.36065732319616,21,-138.96406739609785,159.96406739609785,-257,-149.65374559563065,-107.34625440436935,-163,71.75649119463166,-234.75649119463168,39,113.69160773462794,-74.69160773462794,-29,-3.6144542738831333,-25.385545726116867,33,12.510171475533792,20.48982852446621,-15,109.89613855017971,-124.89613855017971,-75,-83.90927121071886,8.909271210718856,-65,-3.3328784113621595,-61.66712158863784,-159,-42.253387747751674,-116.74661225224833,-218,-118.01164305838739,-99.98835694161261,388,631.4170486609589,-243.41704866095893,199,189.13223451654372,9.867765483456282,67,94.66090634981163,-27.660906349811626,-262,-176.07680153895296,-85.92319846104704,103,73.1659701641672,29.834029835832794,-163,56.26652132332255,-219.26652132332254,121,-6.404978848838866,127.40497884883887,19,97.11380626894069,-78.11380626894069,-77,-59.35016445657721,-17.64983554342279,-19,-50.0520602195763,31.052060219576298,-20,-162.934568316545,142.934568316545,-277,-331.6499129796082,54.64991297960819,582,456.22221855392337,125.77778144607663,96,22.303104171059886,73.69689582894011,-254,-70.09660821261019,-183.9033917873898,-117,152.52286549802977,-269.5228654980298,-14,79.20311620589254,-93.20311620589254,25,97.58194694303396,-72.58194694303396,50,74.95275842737847,-24.95275842737847,160,31.194909353047265,128.80509064695275,-126,-166.69737753939177,40.697377539391766,-103,-77.6557865241025,-25.344213475897504,-177,-84.00958672773902,-92.99041327226098,-196,-146.37905682701472,-49.62094317298528,R3,Admitidos
R3_Desligados,-139,-218.97359640818377,79.97359640818377,-100,-11.035294973347284,-88.96470502665272,210,118.08780258612498,91.91219741387502,-223,-148.01382970948967,-74.98617029051033,47,124.40882979119043,-77.40882979119043,-66,50.02518332264363,-116.02518332264363,235,38.10821113754416,196.89178886245583,-100,-104.00956246194296,4.009562461942963,-50,-127.20676487794532,77.20676487794532,62,1.857395520802669,60.14260447919733,-4,-0.39660696234619053,-3.6033930376538095,172,214.29706209989394,-42.297062099893935,-335,-297.04954157396696,-37.95045842603304,56,2.1834225621925665,53.81657743780743,10,40.10207420997722,-30.102074209977218,-97,-75.79945580158048,-21.20054419841952,71,22.359717188146504,48.640282811853496,0,5.660599372372076,-5.660599372372076,22,-35.70755474684872,57.70755474684872,-1,-62.96723338963132,61.96723338963132,-132,-63.05991621519954,-68.94008378480046,92,68.61368185723072,23.386318142769284,62,52.94536533507491,9.05463466492509,-70,240.10757648088133,-310.10757648088133,173,-41.478595963293245,214.47859596329323,49,-90.60129198884383,139.60129198884383,-18,-97.01389529269346,79.01389529269346,-190,-84.45213684264922,-105.54786315735078,5,51.13295994254112,-46.13295994254112,-57,-5.683248519405026,-51.316751480594974,29,23.9515365914324,5.048463408567599,27,-19.90632745890743,46.90632745890743,23,-102.89759056752216,125.89759056752216,43,-27.598452728726087,70.59845272872609,-164,-1.040852139336554,-162.95914786066345,250,412.1046711919188,-162.10467119191878,R3,Desligados
R4_Admitidos,984,509.0039645229363,474.9960354770637,93,-263.0466655805002,356.0466655805002,-102,-64.54341984506652,-37.45658015493348,-313,125.32934239405185,-438.3293423940519,-58,152.00599599622643,-210.00599599622643,184,53.750518437716046,130.24948156228396,116,71.27653565317078,44.72346434682922,-103,-61.706330720276235,-41.293669279723765,463,-202.71148214331032,665.7114821433104,-377,-234.13447176726095,-142.86552823273905,-559,-53.00335190791587,-505.9966480920841,13,-121.13001011628728,134.13001011628728,762,552.0050595229675,209.99494047703251,-10,-235.54136017034494,225.54136017034494,-31,102.36720055980109,-133.3672005598011,-314,66.64892586438259,-380.6489258643826,70,199.19038671881404,-129.19038671881404,-396,-7.495043861754798,-388.5049561382452,659,385.469430307501,273.530569692499,-195,-249.91033587323446,54.91033587323446,-190,-109.97106635462785,-80.02893364537215,-159,-29.118340651571415,-129.88165934842857,43,87.79850319800192,-44.798503198001924,-452,-477.89311303632104,25.89311303632104,806,644.5460804790478,161.45391952095224,-53,-35.369182590922776,-17.630817409077224,-28,138.3491575269323,-166.3491575269323,400,169.01232899977725,230.98767100022275,109,15.745449547584712,93.25455045241529,-324,-175.8805708581425,-148.1194291418575,175,234.23838616573812,-59.23838616573812,43,-78.07029268542664,121.07029268542664,-443,-253.88702319498458,-189.11297680501542,97,40.73788028741083,56.26211971258917,-232,-71.0580232311384,-160.9419767688616,-622,-300.9891116345607,-321.0108883654393,R4,Admitidos
