region;AIC;BIC;HaQ
1;31,4663;32,1443;31,7392
2;21,5135;22,1351;21,7637
3;24,7886;25,3254;25,0047
4;26,7307;27,1827;26,9127
5;20,8265;21,6458;21,1563
6;26,0604;26,5972;26,2765
7;25,2002;25,9913;25,5186
8;21,8991;22,3794;22,0924
9;22,1899;22,8397;22,4515
10;19,4963;20,4286;19,8716
11;19,5127;20,3038;19,8311
12;29,9680;31,1829;30,4570
13;18,6959;19,5718;19,0485
14;21,1005;22,2023;21,5440
15;10,4191;12,5663;11,2834
16;20,8691;22,8468;21,6652
17;20,7239;21,2890;20,9514
18;19,6591;21,9476;20,5803
19;23,8516;24,3884;24,0677
20;34,2102;35,2838;34,6423
21;24,9530;26,0266;25,3852
22;23,9348;25,3192;24,4921
23;23,8481;25,3455;24,4509
24;13,5818;15,8702;14,5029
25;16,9588;18,1171;17,4250
26;23,2728;24,3182;23,6936
27;26,7985;28,3524;27,4240
28;18,0087;19,4496;18,5887
29;18,4569;20,3499;19,2189
30;14,2115;17,1497;15,3942
31;26,6973;27,2906;26,9361
32;26,6912;28,1603;27,2826
33;12,8412;16,0902;14,1490
34;22,3937;23,4673;22,8258
35;24,1650;26,1992;24,9838
36;18,8158;21,1890;19,7710
37;33,5259;34,3735;33,8671
38;26,4589;27,6173;26,9252
39;24,1163;25,4159;24,6394
40;25,1687;26,6661;25,7714
41;23,7857;25,0288;24,2861
42;26,2801;27,7493;26,8715
43;25,2237;26,7776;25,8492
44;26,7212;27,5971;27,0738
45;24,2840;27,2505;25,4781
46;28,0275;28,9033;28,3800
47;28,5421;29,0507;28,7468
48;24,5524;25,7390;25,0300
49;30,7499;32,1907;31,3298
50;27,5717;29,2103;28,2312
51;25,5016;26,3774;25,8541
52;23,7948;24,6141;24,1246
53;18,4325;19,4779;18,8533
54;20,5873;21,5761;20,9853
55;28,8582;29,8753;29,2676
56;25,5741;26,1109;25,7901
57;24,1139;25,1028;24,5119
58;27,1370;28,1258;27,5350
59;26,1370;26,8433;26,4213
60;24,7127;25,6450;25,0880
61;25,6367;26,2865;25,8982
62;30,4886;31,6470;30,9549
63;20,3265;21,2306;20,6904
64;25,1574;25,7224;25,3848
65;16,4480;18,0019;17,0734
66;32,8416;34,1977;33,3874
67;21,7981;23,0412;22,2985
68;21,0361;22,7595;21,7298
69;23,1819;24,1142;23,5571
70;21,6823;23,1797;22,2850
71;21,7233;23,4750;22,4284
72;24,9486;26,0504;25,3921
73;29,0347;29,9387;29,3986
74;23,7087;24,3020;23,9475
75;23,7129;24,6735;24,0995
76;20,3344;21,1537;20,6642
77;16,8351;18,0500;17,3241
78;21,4999;22,5735;21,9321
79;20,7118;21,6442;21,0871
80;28,5395;29,3588;28,8693
81;22,2760;23,8016;22,8901
82;19,9781;20,4866;20,1828
83;26,8869;28,0453;27,3532
84;24,4074;25,6223;24,8964
85;26,8900;27,5681;27,1630
86;22,4087;23,5670;22,8749
87;23,3452;24,5035;23,8114
88;32,3852;33,4023;32,7946
89;21,5283;22,3759;21,8695
90;19,5076;20,0444;19,7237
91;17,6793;18,7247;18,1001
92;20,8267;22,4654;21,4863
93;18,3519;18,8039;18,5339
94;22,0235;22,7298;22,3078
95;20,5248;21,7114;21,0025
96;23,1612;23,8675;23,4455
97;17,2026;18,4175;17,6916
98;22,3816;23,4552;22,8137
99;18,5395;19,3871;18,8806
100;21,6304;22,9583;22,1649
101;26,7166;27,9880;27,2284
102;24,4887;25,5058;24,8981
103;19,3929;21,0316;20,0525
104;15,1261;16,6800;15,7516
105;29,9414;30,6760;30,2371
106;23,0670;24,3949;23,6015
107;19,0158;20,5131;19,6185
108;24,5956;26,1212;25,2097
109;24,8116;25,8570;25,2324
110;24,6432;26,0840;25,2231
111;21,6156;22,9999;22,1728
112;22,0093;22,9982;22,4074
113;23,7473;25,2447;24,3500
114;24,5397;25,5568;24,9491
115;26,1410;27,0168;26,4935
116;35,6207;36,6943;36,0528
117;25,8005;26,9306;26,2554
118;24,8783;25,6129;25,1740
119;25,7092;26,8958;26,1869
120;20,1705;21,7244;20,7959
121;24,0626;25,4753;24,6312
122;25,5688;26,7836;26,0578
123;29,1122;30,1011;29,5103
124;21,3760;22,1954;21,7058
125;17,0045;17,7955;17,3229
126;25,7908;27,2317;26,3708
127;18,6079;19,8793;19,1196
