variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
D_lpim_BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,lpim
D_ln_Selic_aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,ln
D_ln_IPCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,ln
R1_Admitidos,2353,2924.573221431183,-571.5732214311829,-178,233.95407015005327,-411.95407015005327,-50,339.30015931847385,-389.30015931847385,-797,56.73661219431051,-853.7366121943105,497,-485.18245024315183,982.1824502431518,-370,-950.5560054441614,580.5560054441614,250,359.2055712065723,-109.2055712065723,866,-189.53841975771368,1055.5384197577137,-598,-992.8227046908461,394.8227046908461,-838,-480.6445326940912,-357.3554673059088,394,-490.33871648575246,884.3387164857525,-1190,-2714.937280361203,1524.9372803612032,1763,3072.1097766759062,-1309.1097766759062,-297,663.0771075064307,-960.0771075064307,-41,631.626842236319,-672.626842236319,412,-325.8186819756092,737.8186819756093,-172,228.54526486173904,-400.54526486173904,-446,-393.61446576832014,-52.385534231679856,432,702.4685723061846,-270.46857230618457,291,141.78211916736632,149.21788083263368,-710,-1074.2347021065093,364.2347021065093,135,-18.21193418145029,153.2119341814503,-783,-399.12479004738134,-383.87520995261866,-732,-2229.3511773070395,1497.3511773070395,1374,2935.195878060062,-1561.1958780600621,1206,1097.486583383428,108.51341661657193,-857,165.77389935267615,-1022.7738993526762,218,-422.7126688711397,640.7126688711397,-156,-51.871958169374466,-104.12804183062553,-330,-846.2597924274032,516.2597924274032,437,392.67423961327825,44.325760386721754,233,573.206063157703,-340.20606315770306,-591,-1231.4566825726445,640.4566825726445,-558,156.47301194825172,-714.4730119482517,200,-771.267653036749,971.267653036749,-1284,-2387.050682774141,1103.050682774141,R1,Admitidos
R1_Desligados,-1357,-2201.9763318309583,844.9763318309583,-178,701.6981860823583,-879.6981860823583,498,487.34427766457736,10.655722335422638,-685,783.8514271852049,-1468.851427185205,274,79.4961287539727,194.5038712460273,30,-399.62521413968557,429.62521413968557,201,961.5330135532997,-760.5330135532997,-48,398.35075952764004,-446.35075952764004,-281,-343.1689277536292,62.16892775362919,-253,734.7128005880659,-987.7128005880659,431,559.2027529202987,-128.20275292029874,374,299.71354525327735,74.28645474672265,-1003,-2823.2446982610145,1820.2446982610145,244,592.7627365995538,-348.7627365995538,313,453.4262285467018,-140.4262285467018,-31,168.5577765951814,-199.5577765951814,89,234.083383419523,-145.083383419523,-392,-428.42673770244056,36.42673770244056,131,741.3851758564053,-610.3851758564053,565,-150.42594148708997,715.42594148709,-437,-386.31362157077365,-50.68637842922635,689,584.5345299203246,104.46547007967536,-325,730.2238630873937,-1055.2238630873937,1544,-41.03437115110276,1585.0343711511027,-939,-2307.893795884309,1368.893795884309,-1421,853.3939994594954,-2274.3939994594953,744,218.33405989034193,525.6659401096581,-911,406.85129193908534,-1317.8512919390853,291,132.041912110917,158.958087889083,-365,-275.45068943527747,-89.54931056472253,212,900.7239058449454,-688.7239058449454,563,-405.07534476168166,968.0753447616817,-640,-76.2759211362763,-563.7240788637237,274,17.65194948274916,256.34805051725084,917,766.4893131755922,150.5106868244078,-1120,-283.1750133980873,-836.8249866019128,R1,Desligados
R2_Admitidos,232,160.97934091134593,71.02065908865407,-10,-47.20467799298219,37.20467799298219,-131,27.195652191331185,-158.1956521913312,27,-32.600295528697416,59.600295528697416,23,-64.52812648309634,87.52812648309634,-52,-45.33999555280965,-6.660004447190353,55,62.80105975247792,-7.801059752477919,-50,1.4238043272905871,-51.42380432729059,-20,-83.37686501166776,63.37686501166776,-17,-68.94425474008797,51.94425474008797,-19,-32.13201900194219,13.13201900194219,-32,-86.03875475679816,54.038754756798156,75,135.84002730843724,-60.84002730843724,44,145.32251002039766,-101.32251002039766,-14,19.57781321698562,-33.57781321698562,-37,-69.12399544092462,32.12399544092462,2,-34.358647805866276,36.358647805866276,10,12.973870790333702,-2.9738707903337023,-40,35.431483063429496,-75.4314830634295,75,8.365210009817257,66.63478999018274,-50,-79.37548999774157,29.375489997741568,19,-8.98122517492733,27.98122517492733,-41,-8.967616556043605,-32.03238344395639,-6,-75.06278940351041,69.06278940351041,30,114.64886742750869,-84.64886742750869,78,130.61332926964258,-52.61332926964258,-44,-37.061523565964976,-6.9384764340350245,-27,2.3231789805159657,-29.323178980515966,0,-103.0727771213096,103.0727771213096,-35,29.124898492827676,-64.12489849282767,34,-5.928336567773146,39.928336567773144,-31,67.44339407288156,-98.44339407288156,10,-103.5173352383909,113.5173352383909,-18,-8.665772092001735,-9.334227907998265,-12,-51.351497711385676,39.351497711385676,-25,-67.22622940281566,42.22622940281566,R2,Admitidos
R2_Desligados,-213,-128.95129519439013,-84.04870480560987,1,-75.31503915401741,76.31503915401741,12,99.11442507667539,-87.11442507667539,-36,-15.979768317400637,-20.020231682599363,169,-21.88731203526654,190.88731203526655,-119,13.15746252484001,-132.15746252484,28,37.227874334438866,-9.227874334438866,-47,26.486739322737904,-73.4867393227379,-33,35.010071077436265,-68.01007107743627,-1,-29.48108223270785,28.48108223270785,45,-69.01579649320244,114.01579649320244,-9,149.6287717995539,-158.6287717995539,-42,-98.25515810393036,56.255158103930356,26,-15.384065293737477,41.38406529373748,-1,48.660796379259274,-49.660796379259274,-1,-20.23151310470917,19.23151310470917,6,-31.145184548444554,37.145184548444554,27,38.422600151996924,-11.422600151996924,23,45.361391796771336,-22.361391796771336,-49,-15.363978320440365,-33.63602167955963,-16,-5.715114043341987,-10.284885956658012,19,-7.252231203294925,26.252231203294926,1,-17.446214905690802,18.446214905690802,50,115.28343606081845,-65.28343606081845,-45,-108.55216632182645,63.55216632182645,-15,-21.052602303562967,6.052602303562967,36,39.54374047742061,-3.543740477420613,-28,9.524159672307468,-37.52415967230747,-9,-49.03698613031052,40.03698613031052,-1,30.798942510070624,-31.798942510070624,-11,53.11913545788416,-64.11913545788417,37,-16.919547031974307,53.919547031974304,-21,17.363669912194325,-38.363669912194325,-4,-33.636905607444014,29.636905607444014,59,-36.55875331823064,95.55875331823064,-44,111.83703840501971,-155.8370384050197,R2,Desligados
R3_Admitidos,917,883.1043845784963,33.89561542150375,21,-134.3298618726677,155.3298618726677,-257,67.1829236307546,-324.1829236307546,-163,-93.65956799229656,-69.34043200770344,39,41.24944388449212,-2.2494438844921234,-29,-223.55604066344628,194.55604066344628,33,-94.55762862754862,127.55762862754862,-15,45.09225122494579,-60.09225122494579,-75,-288.7633359049695,213.7633359049695,-65,-107.74863523758022,42.74863523758022,-159,-153.6958915059537,-5.3041084940462895,-218,-391.92945105278847,173.92945105278847,388,989.63927048541,-601.63927048541,199,119.02087258633112,79.97912741366888,67,19.53157260476135,47.46842739523865,-262,-172.7241598471533,-89.27584015284671,103,48.69204517202091,54.30795482797909,-163,-105.75825066506718,-57.24174933493282,121,54.830190672677716,66.16980932732228,19,92.45948038804694,-73.45948038804694,-77,-223.5950391593717,146.5950391593717,-19,-70.77079761193517,51.770797611935166,-20,-121.25011339126802,101.25011339126802,-277,-422.614957519742,145.614957519742,582,851.1840798749381,-269.1840798749381,96,152.41960236711486,-56.41960236711486,-254,32.94740527474725,-286.94740527474727,-117,-159.81934481540856,42.819344815408556,-14,9.229613642853025,-23.229613642853025,25,-179.7432666581463,204.7432666581463,50,24.176658316695104,25.823341683304896,160,85.94475596852786,74.05524403147214,-126,-127.76046846017758,1.7604684601775773,-103,-132.94668719928328,29.946687199283275,-177,-97.62087615824994,-79.37912384175006,-196,-509.65095879400974,313.65095879400974,R3,Admitidos
R3_Desligados,-139,-587.9864557089056,448.9864557089056,-100,-56.5506911148236,-43.4493088851764,210,333.5456858765698,-123.54568587656979,-223,-87.61801425170351,-135.38198574829647,47,231.2064674004746,-184.2064674004746,-66,-98.4367413677033,32.436741367703306,235,31.041114625586435,203.95888537441357,-100,77.53128428950123,-177.53128428950123,-50,-49.27476631601144,-0.7252336839885629,62,-16.978721299017067,78.97872129901707,-4,84.84862608295225,-88.84862608295225,172,398.59305224513116,-226.59305224513116,-335,-460.0690682226161,125.06906822261612,56,27.179328998722465,28.820671001277535,10,88.77533301140852,-78.77533301140852,-97,-167.6935443433314,70.69354434333141,71,105.80557093137305,-34.805570931373055,0,-22.653281726306,22.653281726306,22,43.30929651550147,-21.309296515501472,-1,51.37135673090943,-52.37135673090943,-132,-93.65673731229396,-38.343262687706044,92,-47.91213932266314,139.91213932266314,62,168.22833999618635,-106.22833999618635,-70,233.87146212275377,-303.87146212275377,173,-510.4946328407817,683.4946328407817,49,35.122776921077396,13.877223078922604,-18,189.22111797662376,-207.22111797662376,-190,-76.45431187877882,-113.54568812122118,5,152.5411286620365,-147.5411286620365,-57,-58.14495623389821,1.1449562338982133,29,22.280782330092784,6.719217669907216,27,43.28757587009703,-16.28757587009703,23,-52.734833369253046,75.73483336925304,43,-137.48706128096995,180.48706128096995,-164,240.79173301143098,-404.791733011431,250,187.74910351147483,62.25089648852517,R3,Desligados
R4_Admitidos,984,1462.6036440617906,-478.60364406179065,93,-517.6515383632436,610.6515383632436,-102,149.52145968376067,-251.52145968376067,-313,-77.14320042024545,-235.85679957975455,-58,-268.101604967457,210.10160496745698,184,-309.67916848020235,493.67916848020235,116,226.42057661377385,-110.42057661377385,-103,-88.46556600179699,-14.534433998203014,463,-206.19139365708685,669.1913936570868,-377,-138.74467710283648,-238.25532289716352,-559,-184.17259614718543,-374.82740385281454,13,-779.5614784328743,792.5614784328743,762,1028.322141633303,-266.3221416333031,-10,118.80746943073368,-128.80746943073368,-31,372.3187204894211,-403.3187204894211,-314,-96.38082846903345,-217.61917153096655,70,15.290638410057909,54.70936158994209,-396,-206.41282512041857,-189.58717487958143,659,274.3051131780176,384.6948868219824,-195,-121.04835920915261,-73.95164079084739,-190,-281.8997597390877,91.8997597390877,-159,-27.63188867320042,-131.36811132679958,43,-13.686219497043691,56.686219497043695,-452,-609.9288024807915,157.92880248079155,806,1144.4556745211441,-338.45567452114415,-53,-87.73570294442389,34.73570294442389,-28,162.79599205310996,-190.79599205310996,400,-182.84907637616905,582.849076376169,109,-152.29281804620928,261.2928180462093,-324,-215.49279106379458,-108.50720893620542,175,375.9033577906075,-200.90335779060752,43,-52.132865434953004,95.132865434953,-443,-191.59604896794326,-251.40395103205674,97,19.319582156433825,77.68041784356618,-232,-260.2349235969839,28.23492359698389,-622,-712.6656079407347,90.66560794073473,R4,Admitidos
