region;AIC;BIC;HaQ
1;32,1859;35,2937;33,4369
2;22,0621;25,1699;23,3130
3;25,1903;28,2981;26,4412
4;27,0576;30,1654;28,3085
5;22,1857;25,2935;23,4366
6;26,3775;29,4852;27,6284
7;26,1131;29,2209;27,3640
8;21,9698;25,0776;23,2207
9;22,5583;25,6661;23,8093
10;21,1523;24,2601;22,4032
11;20,6416;23,7493;21,8925
12;30,9462;34,0540;32,1972
13;19,4250;22,5046;20,6646
14;23,4931;26,6009;24,7441
15;18,9749;22,0827;20,2258
16;24,3565;27,4643;25,6074
17;21,6563;24,7359;22,8959
18;25,3625;28,4703;26,6135
19;23,9926;27,1004;25,2436
20;34,8973;37,9768;36,1368
21;26,0466;29,1262;27,2862
22;25,7752;28,8829;27,0261
23;27,1267;30,2345;28,3776
24;18,4801;21,5878;19,7310
25;18,5064;21,6142;19,7573
26;23,8527;26,9323;25,0923
27;28,5869;31,6947;29,8379
28;21,2825;24,3903;22,5335
29;22,2774;25,3852;23,5283
30;21,0841;24,1637;22,3237
31;27,3323;30,4118;28,5718
32;28,9105;31,9900;30,1501
33;21,7356;24,8434;22,9865
34;23,9778;27,0573;25,2173
35;26,9926;30,0721;28,2321
36;24,8907;27,9702;26,1302
37;33,6257;36,7053;34,8653
38;27,5624;30,6702;28,8133
39;25,8378;28,9456;27,0888
40;27,1032;30,2110;28,3542
41;25,3481;28,4277;26,5877
42;28,8568;31,9646;30,1077
43;27,5631;30,6427;28,8027
44;27,9434;31,0229;29,1830
45;30,5267;33,6345;31,7777
46;28,4604;31,5400;29,7000
47;28,7487;31,8565;29,9996
48;26,1778;29,2856;27,4288
49;31,9559;35,0354;33,1955
50;29,2486;32,3281;30,4882
51;26,7508;29,8586;28,0017
52;25,4916;28,5994;26,7426
53;20,2454;23,3532;21,4964
54;21,1376;24,2454;22,3886
55;29,9180;33,0257;31,1689
56;26,1956;29,3034;27,4465
57;24,7616;27,8411;26,0012
58;28,5662;31,6457;29,8057
59;26,5018;29,5814;27,7414
60;25,2250;28,3045;26,4645
61;26,7133;29,8211;27,9642
62;32,4912;35,5708;33,7308
63;21,2499;24,3295;22,4895
64;25,2747;28,3543;26,5143
65;19,3603;22,4681;20,6112
66;35,7119;38,7914;36,9514
67;24,3966;27,4761;25,6362
68;23,4917;26,5712;24,7313
69;24,1643;27,2439;25,4039
70;23,7387;26,8465;24,9897
71;23,5388;26,6183;24,7783
72;26,4588;29,5666;27,7097
73;29,8481;32,9276;31,0877
74;24,0329;27,1124;25,2724
75;25,1044;28,1839;26,3439
76;21,0056;24,1134;22,2565
77;19,0359;22,1154;20,2754
78;23,0507;26,1302;24,2903
79;23,0197;26,1275;24,2706
80;28,6726;31,7804;29,9236
81;25,0854;28,1649;26,3249
82;20,2167;23,3245;21,4677
83;28,6015;31,6810;29,8410
84;26,1616;29,2694;27,4126
85;27,1740;30,2818;28,4249
86;23,1760;26,2555;24,4155
87;25,0509;28,1305;26,2905
88;34,2733;37,3811;35,5242
89;22,7806;25,8884;24,0315
90;19,9314;23,0392;21,1823
91;19,0923;22,1718;20,3319
92;22,7068;25,8146;23,9578
93;18,7162;21,8240;19,9671
94;22,7339;25,8417;23,9849
95;21,7957;24,9035;23,0467
96;23,5940;26,7018;24,8449
97;19,9853;23,0931;21,2362
98;24,3718;27,4796;25,6228
99;20,4333;23,5411;21,6842
100;26,2391;29,3469;27,4900
101;28,3654;31,4450;29,6050
102;25,9651;29,0729;27,2160
103;22,2639;25,3434;23,5034
104;19,4999;22,6077;20,7509
105;32,2324;35,3402;33,4834
106;25,0186;28,1264;26,2696
107;22,8569;25,9647;24,1078
108;27,1776;30,2572;28,4172
109;26,2690;29,3486;27,5086
110;26,5483;29,6561;27,7992
111;23,4060;26,5138;24,6570
112;22,6944;25,8022;23,9454
113;25,4031;28,4826;26,6426
114;26,4005;29,4801;27,6401
115;26,6484;29,7280;27,8880
116;36,4915;39,5993;37,7424
117;26,3969;29,4764;27,6365
118;25,2109;28,2904;26,4505
119;26,9504;30,0299;28,1899
120;25,9741;29,0537;27,2137
121;25,2275;28,3070;26,4670
122;26,7649;29,8445;28,0045
123;29,3491;32,4287;30,5887
124;22,0590;25,1668;23,3099
125;18,5060;21,6138;19,7570
126;27,7932;30,8727;29,0327
127;22,2980;25,3776;23,5376
