variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.009026495845971816,-0.032162725402619136,0.04118922124859095,-0.026009268475117864,-0.008800074370077772,-0.017209194105040092,0.11792941639293986,0.1562662097786815,-0.03833679338574164,-0.07410797215372167,-0.015407155132083988,-0.05870081702163768,0.12768203597348915,0.1265751039981055,0.0011069319753836404,-0.019048194970693544,-0.009984123684383195,-0.009064071286310349,0.0410029736176627,0.04414304307219089,-0.003140069454528195,0.04873845919798736,0.08507841420855927,-0.03633995501057191,-0.03901390930599202,-0.026860716937355093,-0.01215319236863693,0.022329476398088133,0.035814501737404886,-0.013485025339316753,-0.04847475650241062,-0.024801365212152777,-0.023673391290257844,-0.11200505837649466,-0.10946786067356701,-0.0025371977029276516,0.015921953010584744,0.005543266072543133,0.010378686938041611,-0.06267715208964741,-0.0061034217303638505,-0.056573730359283564,0.10897622207627133,0.1264893676765226,-0.017513145600251273,0.003474236268186104,-0.02969902198781294,0.033173258255999045,-0.024577012335922355,0.05367840803199448,-0.07825542036791683,0.07639040266400077,0.03610109975533557,0.0402893029086652,0.05030488071090211,0.03181590420107806,0.01848897650982405,0.02474353038360544,-0.009671610909430289,0.03441514129303573,-0.07944885823932868,0.0040472907172289,-0.08349614895655758,0.05470532785572324,0.05942244346183741,-0.004717115606114167,-0.06802405969600489,-0.08363287632920594,0.015608816633201045,-0.13752979859121783,-0.10228825378389551,-0.03524154480732232,0.03402974858631147,0.009657691233807303,0.024372057352504167,-0.020025700502294796,-0.05012387027877799,0.03009816977648319,0.02373627989883076,0.11833291030679147,-0.09459663040796071,0.027999394500358044,0.04161835322088463,-0.013618958720526583,0.08841095734405258,0.05151976979375378,0.0368911875502988,-0.058840500022933284,-0.08149672462143677,0.022656224598503485,0.08487233874088052,0.11042864679727364,-0.025556308056393126,0.029538012436863603,0.027725985455086664,0.0018120269817769388,-0.0468170600452158,-0.05912242557977748,0.012305365534561685,0.05509868087693803,0.05305824023757752,0.0020404406393605135,-0.09737416402517596,-0.05667349780719498,-0.04070066621798098,-0.1348309379666084,-0.11365081894468389,-0.0211801190219245,lpim,BR
ln_Selic_aa,-0.004213875000000006,-0.0019752743556082945,-0.0022386006443917113,-0.0031484620000000046,0.0036779267015753427,-0.006826388701575347,-0.005924264999999998,-0.011027020484967892,0.0051027554849678945,-0.004976224000000001,-0.0046451465563533455,-3.310774436466558e-4,-0.003980978999999996,-0.003945365033899275,-3.561396610072057e-5,-0.009035610999999999,-0.010150190577447812,0.0011145795774478127,-0.0013030830000000104,0.002510535375549112,-0.0038136183755491226,-0.007818501999999991,-0.006468392556303422,-0.0013501094436965694,-0.007362024000000009,-0.008825600536201465,0.001463576536201456,-0.0031663519999999973,-0.008361763114352444,0.005195411114352446,-0.005634845999999999,-0.00584847783029294,2.136318302929409e-4,-0.003732608999999998,0.023346009043727512,-0.02707861804372751,-9.331519999999927e-4,0.004421712411018188,-0.00535486441101818,-0.0016903400000000124,0.0012119632142429532,-0.0029023032142429656,-0.0013210030000000011,0.004359529288228005,-0.005680532288228006,-0.001677178999999994,-0.006807344746985196,0.005130165746985202,0,0.005065192271546493,-0.005065192271546493,0,0.001229028581177228,-0.001229028581177228,0,6.788483417601108e-4,-6.788483417601108e-4,0,0.002921559679427057,-0.002921559679427057,0,-0.014168261572391025,0.014168261572391025,0,-0.004525142430590415,0.004525142430590415,0,0.016684449198011583,-0.016684449198011583,0,-0.008049750825964971,0.008049750825964971,-1.6609490172125874e-10,0.015643653748543224,-0.015643653914638126,0,0.008850501265539193,-0.008850501265539193,0,-0.004033391025710924,0.004033391025710924,0,-0.007138398655020601,0.007138398655020601,0,-0.02259695228922748,0.02259695228922748,0,0.002713432593157556,-0.002713432593157556,0,0.004935741267738072,-0.004935741267738072,-0.004708764705697595,-0.009380022294924014,0.004671257589226419,-0.0018034466412768999,-0.007928519001498498,0.006125072360221598,-0.0031373091634108036,-0.0019155539346956017,-0.0012217552287152019,-0.0045475841696603,-0.0016859360897334974,-0.0028616480799268026,-0.0029572266051162005,0.011428880001396424,-0.014386106606512624,ln,Selic
ln_IPCA,7.986689999999186e-4,0.002095133764542348,-0.0012964647645424296,-4.986570000014012e-4,6.165571931391919e-4,-0.0011152141931405932,-7.986149999990033e-4,-0.001472115546240473,6.735005462414696e-4,-0.0010970690000000616,4.889027621843411e-4,-0.0015859717621844027,0.0016966390000003884,-6.799544351749898e-4,0.002376593435175378,-0.00539826500000018,-0.004903615939449442,-4.946490605507378e-4,0.0047003319999987525,-4.1468978069437827e-4,0.005115021780693131,-5.001449999983976e-4,1.183096448544559e-4,-6.184546448528535e-4,-2.997950000001026e-4,7.840620494553806e-4,-0.0010838570494554832,0.0025944189999993483,-4.4310546812273205e-4,0.0030375244681220804,-0.0013955320000000881,1.682006265169738e-4,-0.001563732626517062,0.0015942280000000864,-2.656918172515175e-4,0.0018599198172516039,-0.0014945629999996157,-0.0011580003828707201,-3.365626171288956e-4,2.989709999994261e-4,-5.755001425757898e-4,8.744711425752159e-4,-0.002296012999998709,-3.6541887139333656e-4,-0.0019305941286053723,0.0012979419999989972,5.355696654660742e-4,7.623723345329229e-4,0.0017953879999996758,-2.3748775491782637e-4,0.002032875754917502,0.008528869000000938,-0.003446318385971103,0.01197518738597204,-0.009226204000000848,-0.004508372460267073,-0.0047178315397337755,-0.004194633000000891,5.574778895183026e-4,-0.004752110889519194,0.00568764100000152,3.599107369167088e-4,0.005327730263084811,-2.9905000000063353e-4,0.002980727972436362,-0.0032797779724369957,-0.0065918249999992184,-8.0190844439014e-4,-0.005789916555609079,0.00360163399999891,-9.767493792446234e-4,0.004578383379243533,0.0016955268209617458,0.001135533209710593,5.599936112511527e-4,0.0010957269304299189,3.8950936598897796e-4,7.062175644409409e-4,0.0031813966269407246,8.740813548287693e-4,0.0023073152721119553,-0.0017881201567835348,-0.0016368658976518716,-1.5125425913166315e-4,-0.004384179882624295,-0.0013984298426248927,-0.0029857500399994024,-0.0011996020379818617,9.98508372156503e-4,-0.0021981104101383648,0.00179901860490439,-0.0028108276550812984,0.004609846259985688,-7.987039756169878e-4,-0.001986924303109486,0.0011882203274924982,-0.0014997487402599319,0.0028587258438385462,-0.004358474584098478,0.0013996159028231148,3.766131357410031e-5,0.0013619545892490145,0.004087381290640124,0.0015643938124782729,0.0025229874781618512,0.0063476020149799695,0.001663457334897523,0.004684144680082446,ln,IPCA
R1_Admitidos,2353,1580.4500123858213,772.5499876141787,-178,-173.08861059003715,-4.911389409962851,-50,240.10482055328913,-290.10482055328913,-797,-162.6222679271175,-634.3777320728825,497,369.360850554584,127.63914944541602,-370,96.24045168734546,-466.24045168734546,250,521.5634724778294,-271.56347247782935,866,388.01382139454626,477.98617860545374,-598,-1324.8330889097888,726.8330889097888,-838,-1021.2636178529306,183.26361785293057,394,801.9672094532984,-407.96720945329844,-1190,-1406.9510957556772,216.95109575567722,1763,1790.9392206298694,-27.939220629869396,-297,402.9498875788737,-699.9498875788737,-41,34.36064642172272,-75.36064642172272,412,72.35858169273388,339.6414183072661,-172,958.8326530363222,-1130.8326530363222,-446,-68.57491786068152,-377.4250821393185,432,1577.4210273691483,-1145.4210273691483,291,-615.2517577217054,906.2517577217054,-710,-1001.0574269117137,291.0574269117137,135,-51.1314520024855,186.1314520024855,-783,56.61542430582381,-839.6154243058238,-732,-827.477540689127,95.47754068912695,1374,766.6898560620125,607.3101439379875,1206,222.82587463558343,983.1741253644166,-857,-757.3255338913527,-99.67446610864727,218,-220.81356068067197,438.81356068067197,-156,317.7242322335991,-473.7242322335991,-330,566.4246145509774,-896.4246145509774,437,1184.7607309448258,-747.7607309448258,233,784.1334534381975,-551.1334534381975,-591,-731.60421055343,140.60421055343,-558,-722.4989677237213,164.4989677237213,200,-426.0236711772943,626.0236711772943,-1284,-1057.936635209656,-226.06336479034394,R1,Admitidos
R1_Desligados,-1357,-1215.3254730743674,-141.67452692563256,-178,-225.623300630485,47.623300630485005,498,95.03043348948152,402.96956651051846,-685,290.35212519103686,-975.3521251910369,274,662.6364909600768,-388.6364909600768,30,316.8838084753186,-286.8838084753186,201,575.3800953174766,-374.3800953174766,-48,18.52772653185741,-66.52772653185741,-281,-717.7975555053629,436.7975555053629,-253,-656.1751410375963,403.1751410375963,431,967.6916165184483,-536.6916165184483,374,315.44499893309586,58.55500106690414,-1003,-780.5699385413008,-222.43006145869924,244,376.9326340560715,-132.9326340560715,313,181.13622634360894,131.86377365639106,-31,368.7003685715998,-399.7003685715998,89,229.4421298602553,-140.4421298602553,-392,-268.80127555294695,-123.19872444705305,131,561.49525410569845,-430.49525410569845,565,-94.13766933267527,659.1376693326753,-437,-1357.3311090323296,920.3311090323296,689,-282.4918339993759,971.4918339993759,-325,-97.28223862064672,-227.71776137935328,1544,283.7563237390894,1260.2436762609107,-939,-2189.137562252246,1250.137562252246,-1421,-579.8635951339478,-841.1364048660522,744,595.9060271307549,148.09397286924514,-911,-492.11944376783015,-418.88055623216985,291,279.56250267321883,11.43749732678117,-365,908.7692548546831,-1273.7692548546831,212,1043.094766735123,-831.0947667351229,563,579.531737512444,-16.53173751244401,-640,-930.6871706907589,290.6871706907589,274,215.2438790800653,58.75612091993469,917,917.3496019996747,-0.34960199967474637,-1120,100.55429280962676,-1220.5542928096268,R1,Desligados
R2_Admitidos,232,39.19422427472122,192.80577572527878,-10,-56.00391922754022,46.00391922754022,-131,-105.22434398385454,-25.77565601614546,27,66.39579182843029,-39.39579182843029,23,-53.604027781103895,76.6040277811039,-52,-41.96737889242006,-10.032621107579942,55,5.990805686124627,49.00919431387537,-50,-55.81069489647119,5.81069489647119,-20,-143.95691142490293,123.95691142490293,-17,-26.950267667100455,9.950267667100455,-19,-93.41821769756771,74.41821769756771,-32,-94.69704046858882,62.697040468588824,75,124.53337805878968,-49.53337805878968,44,23.196660043823016,20.803339956176984,-14,14.067438621397354,-28.067438621397354,-37,-18.5935899403232,-18.4064100596768,2,-7.505666464396668,9.505666464396668,10,52.52966506239444,-42.52966506239444,-40,14.772851215825266,-54.77285121582527,75,9.71794377396725,65.28205622603275,-50,-101.43403789356648,51.43403789356648,19,-38.87482068171433,57.87482068171433,-41,-22.32812801236367,-18.67187198763633,-6,-43.6390379998709,37.6390379998709,30,61.47920158438998,-31.479201584389983,78,16.60470355658839,61.39529644341161,-44,36.83860521977799,-80.83860521977799,-27,15.610022393054109,-42.61002239305411,0,-0.07327076806224397,0.07327076806224397,-35,-54.30367516614359,19.30367516614359,34,68.75570045756842,-34.75570045756842,-31,2.8218346061429997,-33.821834606143,10,-10.312479291209314,20.312479291209314,-18,-38.797106042001055,20.797106042001055,-12,-24.711826170646802,12.711826170646802,-25,-74.64002325151715,49.64002325151715,R2,Admitidos
R2_Desligados,-213,-135.87343010392303,-77.12656989607697,1,-43.58303192866248,44.58303192866248,12,-26.556054585733406,38.556054585733406,-36,-89.97122229463905,53.97122229463905,169,-55.18802841023198,224.188028410232,-119,-131.39882809312144,12.398828093121438,28,-0.39556596362862706,28.395565963628627,-47,-14.406299507360359,-32.59370049263964,-33,-3.4159465600019754,-29.584053439998023,-1,52.95112095900729,-53.95112095900729,45,-21.322194322756648,66.32219432275664,-9,-19.451350392532703,10.451350392532703,-42,17.077282784295285,-59.077282784295285,26,-25.60315700841167,51.60315700841167,-1,-18.475228328815476,17.475228328815476,-1,-6.961668705802381,5.961668705802381,6,-56.06183984949304,62.06183984949304,27,19.526003200451655,7.473996799548345,23,6.565676933799324,16.434323066200676,-49,-72.52760277027483,23.527602770274825,-16,25.534008258188685,-41.534008258188685,19,91.71329117065883,-72.71329117065883,1,-6.337786664504257,7.337786664504257,50,52.533275584192424,-2.533275584192424,-45,-23.84193886772747,-21.15806113227253,-15,-57.97254858650005,42.97254858650005,36,-39.30731123956875,75.30731123956875,-28,-123.93783192946724,95.93783192946724,-9,-34.70994037861419,25.709940378614192,-1,-19.147192325574622,18.147192325574622,-11,-27.743113149465927,16.743113149465927,37,72.21945647142597,-35.21945647142597,-21,-2.0370596272649095,-18.96294037273509,-4,-1.77563543067712,-2.22436456932288,59,6.1794302157040235,52.82056978429598,-44,45.409899500704526,-89.40989950070453,R2,Desligados
R3_Admitidos,917,482.82361601182873,434.17638398817127,21,-100.61121836670588,121.61121836670588,-257,-249.85371942965165,-7.1462805703483525,-163,-68.3083891788857,-94.6916108211143,39,87.83405689235761,-48.83405689235761,-29,-122.31959932143269,93.31959932143269,33,-53.28929571779602,86.28929571779602,-15,122.7366019811519,-137.73660198115192,-75,-147.14572174506898,72.14572174506898,-65,26.706423814269453,-91.70642381426946,-159,16.403682378964845,-175.40368237896485,-218,-282.6532131125826,64.65321311258259,388,639.9290597857059,-251.92905978570593,199,272.16880403466456,-73.16880403466456,67,27.54723532137038,39.45276467862962,-262,-144.21660009987875,-117.78339990012125,103,135.85391300426554,-32.853913004265536,-163,-63.522301242476345,-99.47769875752365,121,71.78433977412121,49.21566022587879,19,98.29578409634232,-79.29578409634232,-77,-99.54750769786956,22.547507697869563,-19,-115.21163619259104,96.21163619259104,-20,-84.29112230396115,64.29112230396115,-277,-392.9918629563852,115.9918629563852,582,292.2167949293995,289.7832050706005,96,72.78768021162495,23.212319788375055,-254,-215.4976877277612,-38.50231227223881,-117,-17.314102620043986,-99.68589737995602,-14,19.84546838814539,-33.84546838814539,25,49.929900060919934,-24.929900060919934,50,115.80688541672495,-65.80688541672495,160,39.797164983773776,120.20283501622623,-126,-147.22252067735087,21.22252067735087,-103,74.1385301730006,-177.13853017300062,-177,-151.18017077130636,-25.819829228693635,-196,-365.031190142577,169.03119014257697,R3,Admitidos
R3_Desligados,-139,-252.53912172798826,113.53912172798826,-100,-62.58401276343727,-37.41598723656273,210,98.04534745614451,111.95465254385549,-223,-277.6075256339618,54.607525633961814,47,208.99232834496814,-161.99232834496814,-66,122.03689417686721,-188.0368941768672,235,165.80922921411775,69.19077078588225,-100,-60.533825905230685,-39.466174094769315,-50,-203.87200977827493,153.87200977827493,62,-49.287545387400314,111.28754538740031,-4,-4.9375701782723525,0.9375701782723525,172,174.81977107535639,-2.8197710753563854,-335,-219.87915606572182,-115.12084393427818,56,40.90788954970597,15.09211045029403,10,139.85233277768523,-129.85233277768523,-97,-61.68257932023514,-35.31742067976486,71,78.12237752525888,-7.122377525258884,0,4.63899676720672,-4.63899676720672,22,21.83080205668287,0.16919794331712978,-1,-67.84172558240037,66.84172558240037,-132,-85.79455633669393,-46.20544366330607,92,-33.59540932191084,125.59540932191084,62,72.95147041517403,-10.951470415174029,-70,125.34664239776107,-195.34664239776106,173,-102.24442291500753,275.24442291500753,49,-68.76988475898595,117.76988475898595,-18,-98.50764278094432,80.50764278094432,-190,-107.83009572725265,-82.16990427274735,5,32.88116511880538,-27.881165118805377,-57,-151.85053799557954,94.85053799557954,29,156.55699705570873,-127.55699705570873,27,47.55021076472758,-20.55021076472758,23,-63.1526127490189,86.1526127490189,43,-35.63725650448378,78.63725650448379,-164,12.913119914401932,-176.91311991440193,250,291.66496093183446,-41.66496093183446,R3,Desligados
R4_Admitidos,984,739.3923819138904,244.6076180861096,93,-433.99891387508876,526.9989138750888,-102,-250.57775167665625,148.57775167665625,-313,-4.344673296797652,-308.6553267032024,-58,-173.4096025742728,115.40960257427281,184,135.21879391703013,48.781206082969874,116,-131.48962289660722,247.48962289660722,-103,-18.111342592583014,-84.88865740741699,463,-612.0908611936056,1075.0908611936056,-377,-501.7572179604677,124.7572179604677,-559,-369.00665019005896,-189.99334980994104,13,-323.1479814846615,336.1479814846615,762,775.5362638636577,-13.536263863657723,-10,-155.96167110770384,145.96167110770384,-31,136.95027315260938,-167.95027315260938,-314,-68.50929929231654,-245.49070070768346,70,159.5508570883093,-89.5508570883093,-396,189.01087730108745,-585.0108773010875,659,538.1526667156895,120.84733328431048,-195,-1.1917744454400747,-193.80822555455993,-190,-433.70025477852124,243.70025477852124,-159,-141.98931489570026,-17.01068510429974,43,-167.8677619704946,210.8677619704946,-452,-697.7631303224935,245.76313032249345,806,840.0953642471025,-34.09536424710245,-53,-218.76491657255522,165.76491657255522,-28,243.52102708348013,-271.52102708348013,400,-107.71300098714698,507.713000987147,109,-147.616924273846,256.616924273846,-324,-350.46295780781116,26.462957807811165,175,-176.0799887456556,351.0799887456556,43,-224.1581915923391,267.1581915923391,-443,-434.18894001543225,-8.811059984567748,97,-12.874018821226755,109.87401882122676,-232,-179.25983222533262,-52.740167774667384,-622,-279.97295460681914,-342.02704539318086,R4,Admitidos
