variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lpim,BR
ln_Selic_aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ln,Selic
ln_IPCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ln,IPCA
R1_Admitidos,2353,1552.3983132141814,800.6016867858186,-178,-505.5978254622551,327.5978254622551,-50,-559.3539933120366,509.35399331203655,-797,-518.9402124179127,-278.0597875820873,497,405.520857591315,91.479142408685,-370,-305.6260414154473,-64.37395858455272,250,73.75354577651983,176.24645422348016,866,-369.8256971150357,1235.8256971150358,-598,-1188.6053938477078,590.6053938477078,-838,-815.1741947645108,-22.825805235489156,394,63.301377384723324,330.6986226152767,-1190,-660.3519051700007,-529.6480948299993,1763,1339.1621760017624,423.8378239982376,-297,-42.29207640847669,-254.7079235915233,-41,-393.2080350940058,352.2080350940058,412,-674.5411139558113,1086.5411139558114,-172,50.08077475240029,-222.0807747524003,-446,-247.2144425567674,-198.7855574432326,432,391.9856588174088,40.01434118259118,291,228.1756279274643,62.82437207253571,-710,-672.7552802701134,-37.24471972988658,135,-208.09513968034028,343.09513968034025,-783,131.47449556495903,-914.474495564959,-732,-525.2067766175439,-206.79322338245606,1374,1408.2204772218147,-34.22047722181469,1206,69.97258272452619,1136.027417275474,-857,-842.1740129248432,-14.825987075156831,218,160.79035761216787,57.20964238783213,-156,-245.70290272556028,89.70290272556028,-330,-344.82706342779983,14.827063427799828,437,589.4883637532911,-152.48836375329108,233,-75.59906102239056,308.5990610223906,-591,-841.7952234896832,250.79522348968317,-558,-294.77902195767587,-263.22097804232413,200,-54.68950336315625,254.68950336315623,-1284,-610.4348674956784,-673.5651325043216,R1,Admitidos
R1_Desligados,-1357,-1653.9706217833757,296.9706217833757,-178,19.125537754585242,-197.12553775458525,498,143.86097402652834,354.1390259734717,-685,-265.1972427622492,-419.8027572377508,274,501.2056180041579,-227.20561800415788,30,-93.50942399328909,123.50942399328909,201,-45.536654855590754,246.53665485559077,-48,-204.3230793355912,156.3230793355912,-281,-140.23006702242324,-140.76993297757676,-253,359.7493166838313,-612.7493166838312,431,641.823980728122,-210.82398072812202,374,88.66345329591435,285.33654670408566,-1003,-1274.9996566088316,271.99965660883163,244,103.49284390567978,140.50715609432024,313,72.2353842941519,240.7646157058481,-31,-134.7072961956374,103.70729619563741,89,153.1118588628328,-64.1118588628328,-392,-358.6258817753508,-33.37411822464918,131,203.1697644198221,-72.16976441982209,565,-34.56939127597222,599.5693912759722,-437,-717.3949712350387,280.3949712350387,689,147.78368395267663,541.2163160473234,-325,-310.8786485228453,-14.12135147715469,1544,-235.91560188400373,1779.9156018840038,-939,-1975.6252743159587,1036.6252743159587,-1421,-1041.3233022856664,-379.6766977143336,744,243.5251238085597,500.47487619144033,-911,-323.56631406769856,-587.4336859323014,291,671.5380813109629,-380.53808131096287,-365,171.39234447591699,-536.392344475917,212,283.95499885546195,-71.95499885546195,563,547.2124186354113,15.787581364588732,-640,-227.6886812156715,-412.3113187843285,274,443.44535480178024,-169.44535480178024,917,648.520153998747,268.479846001253,-1120,-273.9210370943715,-846.0789629056285,R1,Desligados
R2_Admitidos,232,97.38075561574817,134.61924438425183,-10,-34.897516885355245,24.897516885355245,-131,-28.382701478978177,-102.61729852102182,27,-4.177004945260098,31.177004945260098,23,-42.02629212668967,65.02629212668967,-52,-11.414020624142546,-40.585979375857455,55,69.39219026996882,-14.392190269968822,-50,-33.74057337931155,-16.25942662068845,-20,-32.72086010870014,12.720860108700137,-17,21.753850165176146,-38.753850165176146,-19,-64.96470118171405,45.96470118171405,-32,-13.322260282909044,-18.677739717090958,75,132.2779795843142,-57.27797958431421,44,62.113372261419656,-18.113372261419656,-14,-23.27616798573556,9.276167985735562,-37,-30.903855602824528,-6.096144397175472,2,-7.133175051308564,9.133175051308564,10,11.348672454760425,-1.3486724547604254,-40,35.04057745775259,-75.04057745775259,75,58.12100032923276,16.878999670767243,-50,-19.251559003104994,-30.748440996895006,19,0.36403335806866366,18.635966641931336,-41,-36.18606201567563,-4.813937984324369,-6,5.804469656458128,-11.804469656458128,30,48.48480665251936,-18.48480665251936,78,48.0664047045377,29.933595295462297,-44,-32.694972713273515,-11.305027286726485,-27,-4.608453162394063,-22.391546837605937,0,-2.4846944031506055,2.4846944031506055,-35,-9.790122459596121,-25.20987754040388,34,22.695023886059367,11.304976113940633,-31,20.136130834945426,-51.136130834945426,10,22.631081184173205,-12.631081184173205,-18,7.060475452210646,-25.060475452210646,-12,14.79302695402637,-26.79302695402637,-25,17.785785350635336,-42.78578535063534,R2,Admitidos
R2_Desligados,-213,-204.08209952537905,-8.91790047462095,1,8.513835053993379,-7.513835053993379,12,31.530336354825916,-19.530336354825916,-36,-29.554253071095527,-6.445746928904473,169,35.684469134658755,133.31553086534126,-119,-89.10788496568064,-29.89211503431936,28,-0.8839405870263626,28.883940587026363,-47,-34.20898504085797,-12.791014959142032,-33,-7.0439791257691375,-25.956020874230862,-1,83.61864122263668,-84.61864122263668,45,51.86404823520881,-6.864048235208813,-9,34.24202917709137,-43.24202917709137,-42,9.05908294579265,-51.05908294579265,26,17.103581170359107,8.896418829640893,-1,5.787024899764827,-6.787024899764827,-1,-1.4070667258737721,0.40706672587377213,6,16.319849756887617,-10.319849756887617,27,9.88903320989882,17.11096679010118,23,-8.129145856631757,31.12914585663176,-49,-49.212347720116895,0.2123477201168953,-16,-2.9626045313426737,-13.037395468657326,19,17.59269518349622,1.4073048165037783,1,6.417080909513782,-5.417080909513782,50,9.292773555102919,40.70722644489708,-45,-51.68109796832607,6.681097968326071,-15,-13.334124253128444,-1.6658757468715564,36,3.174807264112136,32.82519273588787,-28,-26.51712653329248,-1.4828734667075203,-9,1.5284289112199048,-10.528428911219905,-1,12.562487239218122,-13.562487239218122,-11,19.817232802985945,-30.817232802985945,37,15.903972951120668,21.096027048879332,-21,-24.103644598698796,3.1036445986987964,-4,-3.6333213012592713,-0.36667869874072867,59,9.057829581994717,49.94217041800528,-44,-53.30387524122119,9.303875241221192,R2,Desligados
R3_Admitidos,917,442.2189113789694,474.7810886210306,21,-280.132700923595,301.132700923595,-257,-292.08776646885315,35.08776646885315,-163,41.865297115733824,-204.86529711573382,39,-28.355062068751916,67.35506206875192,-29,7.337513705721025,-36.33751370572102,33,-116.95326393862507,149.95326393862507,-15,1.0382202550877535,-16.038220255087754,-75,-207.28700195170308,132.28700195170308,-65,-186.5963400128303,121.5963400128303,-159,-224.44051756736502,65.44051756736502,-218,-125.53717937444914,-92.46282062555086,388,703.7620921527828,-315.76209215278277,199,268.0070056570756,-69.00700565707558,67,-15.099550772159528,82.09955077215953,-262,-166.41779141058495,-95.58220858941505,103,48.87167111338512,54.12832888661488,-163,-105.30955750082072,-57.690442499179284,121,-10.366161646895954,131.36616164689596,19,-75.66683636079071,94.66683636079071,-77,-126.39675248593053,49.396752485930534,-19,-136.87494311040874,117.87494311040874,-20,-178.98324709450662,158.98324709450662,-277,-273.02856696260665,-3.9714330373933535,582,258.2627870527428,323.7372129472572,96,-11.277879073987744,107.27787907398775,-254,-100.4351979824765,-153.5648020175235,-117,14.856725932677751,-131.85672593267776,-14,125.39652656891619,-139.3965265689162,25,10.815042960573745,14.184957039426255,50,56.428617505779435,-6.428617505779435,160,18.677823021381545,141.32217697861844,-126,-181.55053792646038,55.55053792646038,-103,-75.45350311013888,-27.546496889861118,-177,-67.34074362811707,-109.65925637188293,-196,-141.7855175972724,-54.21448240272761,R3,Admitidos
R3_Desligados,-139,-176.35522181410144,37.35522181410144,-100,-72.63431455981282,-27.36568544018718,210,66.39465912808032,143.60534087191968,-223,-256.2900822041408,33.29008220414079,47,76.60565145107368,-29.605651451073683,-66,30.29998424633815,-96.29998424633814,235,103.60996046584987,131.39003953415013,-100,-119.74709904215217,19.747099042152172,-50,-185.02113934155352,135.02113934155352,62,26.808589901009242,35.19141009899076,-4,121.65316200912429,-125.65316200912429,172,68.60117672122908,103.39882327877092,-335,-290.60868363019665,-44.39131636980335,56,-78.42809361813086,134.42809361813084,10,60.48909619668723,-50.48909619668723,-97,-60.93574770229722,-36.06425229770278,71,62.263257352986074,8.736742647013926,0,-41.487500975949914,41.487500975949914,22,39.05783212762083,-17.057832127620827,-1,-49.72570372959658,48.72570372959658,-132,-85.66120172719071,-46.338798272809285,92,13.186585119036438,78.81341488096356,62,26.744358423425354,35.25564157657465,-70,111.05457636091518,-181.05457636091518,173,-63.09094399484931,236.0909439948493,49,-140.34380164825492,189.34380164825492,-18,-193.53507752125114,175.53507752125114,-190,-208.8796473940871,18.8796473940871,5,70.57344756928913,-65.57344756928913,-57,25.503995763342047,-82.50399576334205,29,87.03047394884008,-58.03047394884008,27,67.62819289919364,-40.628192899193635,23,-73.08714500694214,96.08714500694214,43,1.5645891722864764,41.435410827713525,-164,39.67700686836484,-203.67700686836486,250,148.71374985906436,101.28625014093564,R3,Desligados
R4_Admitidos,984,467.4690445103988,516.5309554896012,93,-231.95190775461955,324.9519077546196,-102,-62.04321137802227,-39.95678862197773,-313,-256.403802007821,-56.596197992178986,-58,-71.16957858992532,13.169578589925322,184,1.9420980827256045,182.0579019172744,116,-93.59589344543518,209.5958934454352,-103,-190.63771098913332,87.63771098913332,463,-260.2577690189057,723.2577690189057,-377,-453.68327955071493,76.68327955071493,-559,-320.10666585989514,-238.89333414010486,13,51.24079121540485,-38.24079121540485,762,583.1647068221507,178.83529317784928,-10,-318.7011390314278,308.7011390314278,-31,-48.6022403392139,17.6022403392139,-314,-143.43418641968864,-170.56581358031136,70,11.339635519616444,58.660364480383556,-396,37.09290020980211,-433.0929002098021,659,400.32865854559356,258.67134145440644,-195,-200.99168848906615,5.991688489066149,-190,89.94024741502757,-279.94024741502756,-159,-79.52282129770353,-79.47717870229647,43,129.9551797501617,-86.9551797501617,-452,-242.3342957321625,-209.6657042678375,806,759.7528840447827,46.24711595521728,-53,-42.781279867659066,-10.218720132340934,-28,50.77839856003831,-78.77839856003831,400,-0.7034093924545062,400.7034093924545,109,-134.2705741192875,243.2705741192875,-324,-430.66765232423387,106.66765232423387,175,35.85774486794427,139.14225513205574,43,-272.1365574628423,315.1365574628423,-443,-346.9359108364004,-96.06408916359959,97,-138.77794027228055,235.77794027228055,-232,-66.21606513560016,-165.78393486439984,-622,-138.44031658094949,-483.55968341905054,R4,Admitidos
