region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
1,2,0.0457,0.0765,TRUE,TRUE,FALSE,0.196,0.2462
2,2,0.0241,0.3721,TRUE,TRUE,FALSE,0.1407,0.5628
3,2,0.0113,0.3568,TRUE,TRUE,FALSE,0.0905,0.6382
4,2,0.0329,0.712,TRUE,TRUE,FALSE,0.1759,0.8492
5,2,9e-4,0.2931,FALSE,TRUE,FALSE,0.0302,0.5176
6,2,0.051,0.365,TRUE,TRUE,FALSE,0.2211,0.5879
7,2,0.0038,0.5786,FALSE,TRUE,FALSE,0.0854,0.7889
8,2,0.1878,0.6524,TRUE,TRUE,FALSE,0.3216,0.7638
9,2,0,0.1312,FALSE,TRUE,FALSE,0.0101,0.2663
10,1,0.0157,NA,TRUE,NA,FALSE,0.0251,0.0503
11,1,0.0269,NA,TRUE,NA,FALSE,0.1156,0.0704
12,2,0.0018,0.0749,FALSE,TRUE,FALSE,0.0352,0.2563
13,NA,NA,NA,NA,NA,TRUE,NA,NA
14,2,0,0.3247,FALSE,TRUE,FALSE,0,0.5477
15,2,0,0.6679,FALSE,TRUE,FALSE,0,0.8844
16,2,0,0.001,FALSE,FALSE,FALSE,0,0.0553
17,NA,NA,NA,NA,NA,FALSE,NA,NA
18,NA,NA,NA,NA,NA,FALSE,NA,NA
19,NA,NA,NA,NA,NA,FALSE,NA,NA
20,NA,NA,NA,NA,NA,FALSE,NA,NA
21,NA,NA,NA,NA,NA,FALSE,NA,NA
22,2,0,0,FALSE,FALSE,FALSE,0.005,0.005
23,NA,NA,NA,NA,NA,FALSE,NA,NA
24,2,0,8e-4,FALSE,FALSE,FALSE,0,0.005
25,NA,NA,NA,NA,NA,FALSE,NA,NA
26,1,1e-4,NA,FALSE,NA,FALSE,0.0302,0.0201
27,2,0.0309,0.172,TRUE,TRUE,FALSE,0.1809,0.3819
28,2,0,2e-4,FALSE,FALSE,FALSE,0,0.0201
29,2,0.0059,0.0106,FALSE,TRUE,FALSE,0.0804,0.0804
30,1,0.8795,NA,TRUE,NA,FALSE,0.9497,0.9497
31,1,0.0012,NA,FALSE,NA,FALSE,0.0352,0.0201
32,1,9e-4,NA,FALSE,NA,FALSE,0.0101,0.0101
33,2,0,0.0156,FALSE,TRUE,FALSE,0.005,0.191
34,1,0.5067,NA,TRUE,NA,FALSE,0.6834,0.7286
35,1,0.0126,NA,TRUE,NA,FALSE,0.0352,0.0402
36,1,0.0099,NA,FALSE,NA,FALSE,0.0905,0.0402
37,2,8e-4,0.6545,FALSE,TRUE,FALSE,0.005,0.7789
38,1,0.1888,NA,TRUE,NA,FALSE,0.397,0.2764
39,2,0.0115,0.1726,TRUE,TRUE,FALSE,0.0704,0.4523
40,1,0.0802,NA,TRUE,NA,FALSE,0.1307,0.1608
41,2,4e-4,0.0278,FALSE,TRUE,FALSE,0.0151,0.1357
42,2,9e-4,0.6668,FALSE,TRUE,FALSE,0.0603,0.8342
43,1,0.0039,NA,FALSE,NA,FALSE,0.0503,0.0553
44,1,0.0064,NA,FALSE,NA,FALSE,0.0251,0.0302
45,2,0.0949,0.3216,TRUE,TRUE,FALSE,0.3065,0.5628
46,2,0.0114,0.3714,TRUE,TRUE,FALSE,0.0854,0.6131
47,2,1e-4,0.0147,FALSE,TRUE,FALSE,0.0101,0.0603
48,2,0.001,0.1632,FALSE,TRUE,FALSE,0.0302,0.4422
49,1,0.0014,NA,FALSE,NA,FALSE,0.0352,0.0452
50,2,0.0158,0.052,TRUE,TRUE,FALSE,0.1206,0.2211
51,2,0,0.0923,FALSE,TRUE,FALSE,0,0.3065
52,NA,NA,NA,NA,NA,TRUE,NA,NA
53,2,0.0536,0.0247,TRUE,TRUE,FALSE,0.2211,0.2161
54,2,0.0041,0.1398,FALSE,TRUE,FALSE,0.0452,0.3417
55,2,0.0121,0.4589,TRUE,TRUE,FALSE,0.1005,0.7186
56,1,0.8538,NA,TRUE,NA,FALSE,0.8693,0.9045
57,1,0.0176,NA,TRUE,NA,FALSE,0.0452,0.0704
58,1,0.0213,NA,TRUE,NA,FALSE,0.1809,0.1759
59,1,0.6259,NA,TRUE,NA,FALSE,0.7387,0.7839
60,2,0.002,0.695,FALSE,TRUE,FALSE,0.0704,0.7839
61,1,0.1453,NA,TRUE,NA,FALSE,0.3317,0.3317
62,1,0.0023,NA,FALSE,NA,FALSE,0.005,0.0151
63,NA,NA,NA,NA,NA,FALSE,NA,NA
64,1,0.2413,NA,TRUE,NA,FALSE,0.4221,0.3819
65,1,0.0054,NA,FALSE,NA,FALSE,0.0251,0.0302
66,2,0.0289,0.013,TRUE,TRUE,FALSE,0.1407,0.0653
67,2,0.1246,9e-4,TRUE,FALSE,FALSE,0.2613,0.005
68,1,0.3932,NA,TRUE,NA,FALSE,0.6482,0.5528
69,1,0.0038,NA,FALSE,NA,FALSE,0.0553,0.0201
70,2,0.0542,0.0638,TRUE,TRUE,FALSE,0.191,0.3015
71,1,0.001,NA,FALSE,NA,FALSE,0.0151,0.0251
72,1,0.0493,NA,TRUE,NA,FALSE,0.1457,0.1558
