region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
1,2,0.0282,0.0656,TRUE,TRUE,FALSE,0.1608,0.2161
2,2,0.0173,0.2371,TRUE,TRUE,FALSE,0.1106,0.4422
3,2,0.0145,0.3438,TRUE,TRUE,FALSE,0.1055,0.6533
4,2,0.0478,0.7037,TRUE,TRUE,FALSE,0.1859,0.8392
5,2,0.0011,0.3215,FALSE,TRUE,FALSE,0.0201,0.5176
6,2,0.0522,0.4549,TRUE,TRUE,FALSE,0.2312,0.6884
7,2,0.0044,0.4754,FALSE,TRUE,FALSE,0.1005,0.7236
8,2,0.2364,0.6419,TRUE,TRUE,FALSE,0.4271,0.799
9,2,0,0.1118,FALSE,TRUE,FALSE,0.005,0.2513
10,1,0.0152,NA,TRUE,NA,FALSE,0.0251,0.0503
11,1,0.0202,NA,TRUE,NA,FALSE,0.1206,0.0754
12,2,9e-4,0.0956,FALSE,TRUE,FALSE,0.005,0.2965
13,NA,NA,NA,NA,NA,FALSE,NA,NA
14,NA,NA,NA,NA,NA,FALSE,NA,NA
15,NA,NA,NA,NA,NA,FALSE,NA,NA
16,2,0,0.0011,FALSE,FALSE,FALSE,0,0.0503
17,NA,NA,NA,NA,NA,FALSE,NA,NA
18,NA,NA,NA,NA,NA,FALSE,NA,NA
19,NA,NA,NA,NA,NA,FALSE,NA,NA
20,NA,NA,NA,NA,NA,FALSE,NA,NA
21,NA,NA,NA,NA,NA,FALSE,NA,NA
22,2,0,0,FALSE,FALSE,FALSE,0.005,0.005
23,NA,NA,NA,NA,NA,FALSE,NA,NA
24,NA,NA,NA,NA,NA,FALSE,NA,NA
25,NA,NA,NA,NA,NA,FALSE,NA,NA
26,1,1e-4,NA,FALSE,NA,FALSE,0.0553,0.0201
27,2,0.0304,0.1462,TRUE,TRUE,FALSE,0.1658,0.3618
28,2,0,0,FALSE,FALSE,FALSE,0.005,0.0101
29,2,0.0015,0.0114,FALSE,TRUE,FALSE,0.0302,0.1005
30,1,0.8293,NA,TRUE,NA,FALSE,0.9598,0.9095
31,1,1e-4,NA,FALSE,NA,FALSE,0,0
32,1,0.002,NA,FALSE,NA,FALSE,0.0251,0.0302
33,2,0,0.0062,FALSE,FALSE,FALSE,0,0.1307
34,1,0.5681,NA,TRUE,NA,FALSE,0.7337,0.6935
35,1,0.0141,NA,TRUE,NA,FALSE,0.0754,0.0553
36,1,0.0125,NA,TRUE,NA,FALSE,0.0754,0.0352
37,2,7e-4,0.3251,FALSE,TRUE,FALSE,0.0151,0.5427
38,1,0.1294,NA,TRUE,NA,FALSE,0.2412,0.1859
