region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
1,2,0.1163,0.1185,TRUE,TRUE,FALSE,0.3015,0.3467
2,2,0.0215,0.8615,TRUE,TRUE,FALSE,0.0955,0.9397
3,2,0.0015,0.231,FALSE,TRUE,FALSE,0.0402,0.4523
4,2,0.0454,0.5057,TRUE,TRUE,FALSE,0.196,0.7186
5,2,2e-4,0.276,FALSE,TRUE,FALSE,0.0101,0.4874
6,2,0.0032,0.2048,FALSE,TRUE,FALSE,0.0302,0.397
7,2,8e-4,0.7145,FALSE,TRUE,FALSE,0.0553,0.8894
8,2,0.046,0.6572,TRUE,TRUE,FALSE,0.201,0.7688
9,2,1e-4,0.0947,FALSE,TRUE,FALSE,0.0101,0.206
10,2,0.0188,0.1038,TRUE,TRUE,FALSE,0.1357,0.2663
11,1,0.0433,NA,TRUE,NA,FALSE,0.1709,0.1307
12,2,0.0043,0.0463,FALSE,TRUE,FALSE,0.0653,0.196
13,1,0.0476,NA,TRUE,NA,TRUE,0.1508,0.1307
14,1,0,NA,FALSE,NA,FALSE,0,0
15,2,0,0.5114,FALSE,TRUE,FALSE,0,0.6834
16,2,0,9e-4,FALSE,FALSE,FALSE,0,0.0452
17,1,0.0469,NA,TRUE,NA,FALSE,0.1558,0.1407
18,2,0.0047,0.2855,FALSE,TRUE,FALSE,0.0603,0.4623
19,NA,NA,NA,NA,NA,FALSE,NA,NA
20,NA,NA,NA,NA,NA,FALSE,NA,NA
21,1,0.232,NA,TRUE,NA,FALSE,0.4271,0.4221
22,2,2e-4,1e-4,FALSE,FALSE,FALSE,0,0
23,2,2e-4,0,FALSE,FALSE,FALSE,0.0352,0
24,2,0,0.0047,FALSE,FALSE,FALSE,0,0.0302
25,NA,NA,NA,NA,NA,FALSE,NA,NA
26,1,1e-4,NA,FALSE,NA,FALSE,0.0201,0.0352
27,2,0.0971,0.0289,TRUE,TRUE,FALSE,0.2663,0.1859
28,1,0,NA,FALSE,NA,FALSE,0,0.005
29,2,0.123,0.0978,TRUE,TRUE,FALSE,0.3869,0.3467
30,1,0.5491,NA,TRUE,NA,FALSE,0.7337,0.7538
31,1,0,NA,FALSE,NA,FALSE,0,0
32,1,0,NA,FALSE,NA,FALSE,0,0
33,2,0,0.134,FALSE,TRUE,FALSE,0.0101,0.397
34,1,0.7188,NA,TRUE,NA,FALSE,0.804,0.799
35,1,0.0343,NA,TRUE,NA,FALSE,0.0955,0.1558
36,1,0,NA,FALSE,NA,FALSE,0,0.005
37,2,8e-4,0.2898,FALSE,TRUE,FALSE,0,0.5176
38,2,0,1e-4,FALSE,FALSE,FALSE,0,0
39,2,0.0205,0.152,TRUE,TRUE,FALSE,0.1055,0.3668
40,1,0.0867,NA,TRUE,NA,FALSE,0.1859,0.1709
41,2,2e-4,0.0116,FALSE,TRUE,FALSE,0.0251,0.1055
42,2,0,0.2676,FALSE,TRUE,FALSE,0.005,0.6382
43,NA,NA,NA,NA,NA,FALSE,NA,NA
44,1,0.093,NA,TRUE,NA,FALSE,0.1608,0.1658
45,2,0.0019,0.5596,FALSE,TRUE,FALSE,0.0452,0.7638
46,1,0.1405,NA,TRUE,NA,FALSE,0.3467,0.3166
47,1,0.4275,NA,TRUE,NA,FALSE,0.5779,0.5779
48,2,1e-4,0.1875,FALSE,TRUE,FALSE,0.0151,0.4171
49,1,0.0029,NA,FALSE,NA,FALSE,0.0402,0.0553
50,2,0.0017,0.0557,FALSE,TRUE,FALSE,0.0352,0.2814
51,1,0,NA,FALSE,NA,FALSE,0.005,0
52,1,0.094,NA,TRUE,NA,FALSE,0.2462,0.2915
