region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
1,2,0.0343,0.3977,TRUE,TRUE,FALSE,0.191,0.6734
2,2,0.0341,0.3127,TRUE,TRUE,FALSE,0.1156,0.4824
3,2,8e-4,0.2546,FALSE,TRUE,FALSE,0.0151,0.4523
4,2,0.0089,0.4325,FALSE,TRUE,FALSE,0.0804,0.6683
5,2,5e-4,0.291,FALSE,TRUE,FALSE,0.005,0.4925
6,2,8e-4,0.1447,FALSE,TRUE,FALSE,0.005,0.3116
7,2,8e-4,0.454,FALSE,TRUE,FALSE,0.0553,0.6734
8,2,0.0431,0.4622,TRUE,TRUE,FALSE,0.1206,0.6683
9,2,1e-4,0.0087,FALSE,FALSE,FALSE,0,0.0503
10,2,0.0032,0.0388,FALSE,TRUE,FALSE,0.0402,0.1307
11,2,0.008,0.0082,FALSE,FALSE,FALSE,0.0603,0.1055
12,2,0.0071,0.0362,FALSE,TRUE,FALSE,0.1055,0.1759
13,1,0.0073,NA,FALSE,NA,FALSE,0.0452,0.0452
14,2,0,0.5513,FALSE,TRUE,FALSE,0,0.6935
15,2,0,0.7909,FALSE,TRUE,FALSE,0,0.8693
16,2,0,8e-4,FALSE,FALSE,FALSE,0,0.1005
17,NA,NA,NA,NA,NA,FALSE,NA,NA
18,2,4e-4,0.7099,FALSE,TRUE,FALSE,0.0201,0.8191
19,NA,NA,NA,NA,NA,FALSE,NA,NA
20,NA,NA,NA,NA,NA,FALSE,NA,NA
21,1,0.2033,NA,TRUE,NA,FALSE,0.4523,0.407
22,2,0,0,FALSE,FALSE,FALSE,0.005,0
23,2,0.0013,0,FALSE,FALSE,FALSE,0.1106,0.0201
24,2,0,0.0052,FALSE,FALSE,FALSE,0,0.0603
25,NA,NA,NA,NA,NA,FALSE,NA,NA
26,1,1e-4,NA,FALSE,NA,FALSE,0.0201,0.0151
27,2,0.1059,0.1641,TRUE,TRUE,FALSE,0.3467,0.3869
28,1,0,NA,FALSE,NA,FALSE,0,0
29,2,0.0058,7e-4,FALSE,FALSE,FALSE,0.0553,0.0151
30,1,0.1204,NA,TRUE,NA,FALSE,0.3166,0.2864
31,1,6e-4,NA,FALSE,NA,FALSE,0.0201,0.0201
32,1,0,NA,FALSE,NA,FALSE,0,0
33,2,0,0.0168,FALSE,TRUE,FALSE,0.005,0.1558
34,1,0.185,NA,TRUE,NA,FALSE,0.402,0.3216
35,2,0,1e-4,FALSE,FALSE,FALSE,0,0.005
36,1,0,NA,FALSE,NA,FALSE,0,0
37,1,0.0028,NA,FALSE,NA,FALSE,0.0251,0.0352
38,2,0,0.0124,FALSE,TRUE,FALSE,0,0.1106
39,2,0.0094,0.18,FALSE,TRUE,FALSE,0.0603,0.4422
40,2,0,0.002,FALSE,FALSE,FALSE,0,0.0201
41,1,0.3766,NA,TRUE,NA,FALSE,0.5327,0.4623
42,2,1e-4,0.2048,FALSE,TRUE,FALSE,0.0251,0.5126
43,1,0.002,NA,FALSE,NA,FALSE,0.0101,0.005
44,2,0,0,FALSE,FALSE,FALSE,0,0
45,2,0,0.0183,FALSE,TRUE,FALSE,0.005,0.1106
46,1,0,NA,FALSE,NA,FALSE,0,0
47,2,1e-4,0.0059,FALSE,FALSE,FALSE,0,0.0452
48,2,4e-4,0.0209,FALSE,TRUE,FALSE,0.0151,0.1307
49,1,0.0427,NA,TRUE,NA,FALSE,0.1307,0.2161
50,1,0.1474,NA,TRUE,NA,FALSE,0.3317,0.2663
51,1,0,NA,FALSE,NA,FALSE,0,0
52,2,0,0.1488,FALSE,TRUE,FALSE,0,0.3618
53,2,0.0757,0.3241,TRUE,TRUE,FALSE,0.1859,0.5377
54,2,0.1293,0.9936,TRUE,TRUE,FALSE,0.3216,1
55,2,0.0186,0.3383,TRUE,TRUE,FALSE,0.1608,0.5477
56,2,0.0995,0.1077,TRUE,TRUE,FALSE,0.2714,0.3065
57,1,0.0231,NA,TRUE,NA,FALSE,0.0503,0.0452
58,1,0.0033,NA,FALSE,NA,FALSE,0.0352,0.0452
59,NA,NA,NA,NA,NA,FALSE,NA,NA
60,1,0.7598,NA,TRUE,NA,FALSE,0.8593,0.8643
61,2,0,0.3651,FALSE,TRUE,FALSE,0,0.5578
62,1,0.0035,NA,FALSE,NA,FALSE,0.0101,0.0201
63,1,0.0107,NA,TRUE,NA,FALSE,0.0704,0.0804
64,1,0.6548,NA,TRUE,NA,FALSE,0.7186,0.7035
65,2,0.0787,0.1372,TRUE,TRUE,FALSE,0.2613,0.4372
66,1,0.0032,NA,FALSE,NA,FALSE,0.0302,0.0201
67,1,0.7216,NA,TRUE,NA,FALSE,0.799,0.8191
68,1,0.3673,NA,TRUE,NA,FALSE,0.5226,0.4623
