region;AIC;BIC;HaQ
1;30,89080;31,76350;31,24110
2;21,38220;22,09620;21,66880
3;24,55180;25,26580;24,83840
4;26,34150;26,89680;26,56450
5;20,28360;21,36780;20,71880
6;25,89080;26,55190;26,15620
7;25,05000;25,79040;25,34720
8;21,70560;22,20810;21,90730
9;21,02730;23,01050;21,82340
10;19,31330;20,71470;19,87580
11;19,05360;20,21710;19,52060
12;29,36480;31,03070;30,03360
13;18,79210;19,66470;19,14240
14;21,72820;22,97110;22,22710
15;5,23811;9,20456;6,83032
16;17,96580;21,19190;19,26080
17;17,34380;19,11550;18,05500
18;19,98100;22,28160;20,90450
19;22,56990;23,65410;23,00510
20;33,87480;35,06470;34,35240
21;24,48950;25,57370;24,92470
22;24,05520;25,64180;24,69210
23;21,20850;24,64610;22,58840
24;13,05760;15,96630;14,22520
25;15,27540;17,31160;16,09280
26;21,26520;23,27490;22,07190
27;26,89160;28,50470;27,53910
28;17,41910;19,29660;18,17280
29;21,03340;22,62000;21,67030
30;14,48060;17,54800;15,71190
31;26,41590;27,23560;26,74500
32;26,64960;28,18330;27,26530
33;12,49650;16,14560;13,96130
34;22,16220;23,66950;22,76730
35;24,16930;25,91450;24,86980
36;18,81890;21,59540;19,93340
37;33,53460;34,35430;33,86370
38;26,62850;27,84490;27,11680
39;24,45740;25,70030;24,95630
40;24,89540;26,58770;25,57470
41;23,55280;25,08650;24,16840
42;26,37650;28,04240;27,04520
43;25,30180;26,91480;25,94930
44;26,07290;27,28930;26,56120
45;25,53580;28,36520;26,67160
46;28,17850;29,20980;28,59250
47;28,20610;28,89360;28,48210
48;23,88250;26,05080;24,75290
49;28,78420;31,56070;29,89870
50;25,98940;28,13130;26,84920
51;25,46430;26,44270;25,85700
52;24,04180;24,94080;24,40270
53;17,69860;19,04720;18,24000
54;20,07530;21,18600;20,52120
55;28,70900;29,79320;29,14420
56;25,44970;26,11080;25,71510
57;24,30190;25,25380;24,68400
58;27,44300;28,68580;27,94180
59;25,82760;26,70030;26,17790
60;24,28290;25,34060;24,70750
61;25,70280;26,78690;26,13800
62;30,80380;31,86150;31,22840
63;20,46300;21,67940;20,95130
64;25,03890;25,72650;25,31490
65;16,70180;18,52640;17,43430
66;32,54940;34,13600;33,18630
67;21,53090;22,90590;22,08280
68;21,08260;23,59470;22,09100
69;23,03810;23,93710;23,39900
70;19,91210;22,37130;20,89930
71;21,42180;22,82320;21,98440
72;24,79770;25,96120;25,26470
73;28,77300;29,85720;29,20820
74;23,56340;24,35670;23,88190
75;24,27160;25,19710;24,64310
76;20,10380;21,00280;20,46470
77;17,25410;18,23250;17,64690
78;20,80360;22,25800;21,38740
79;20,38710;21,41830;20,80100
80;28,20450;29,02430;28,53360
81;22,04140;23,94530;22,80560
82;19,85090;20,43270;20,08440
83;26,79360;28,08930;27,31370
84;24,20560;25,55420;24,74700
85;26,39150;27,55500;26,85860
86;22,22730;23,44370;22,71560
87;23,77030;25,06600;24,29040
88;32,32310;33,40720;32,75830
89;21,29150;22,56070;21,80100
90;18,44120;19,60470;18,90830
91;17,43950;19,02600;18,07630
92;20,97260;22,90290;21,74750
93;17,96980;18,84240;18,32000
94;21,55310;22,87530;22,08380
95;20,52490;21,90000;21,07690
96;22,22890;23,26010;22,64280
97;16,86120;18,89730;17,67860
98;22,15650;23,42570;22,66600
99;17,31320;18,87330;17,93950
100;21,05520;22,82690;21,76640
101;25,89500;27,82540;26,66990
102;24,51360;25,57130;24,93820
103;18,78450;20,90000;19,63370
104;14,14960;16,37080;15,04120
105;29,89930;30,87770;30,29210
106;23,45530;24,59240;23,91180
107;19,85000;21,11930;20,35950
108;24,82450;26,35820;25,44020
109;24,69150;26,48960;25,41330
110;24,18790;25,77450;24,82480
111;21,29060;23,24730;22,07600
112;21,24600;22,59460;21,78740
113;22,84090;24,85060;23,64760
114;24,60170;25,55360;24,98380
115;25,94850;27,19130;26,44740
116;35,39510;36,77010;35,94700
117;25,79730;26,82860;26,21130
118;23,83200;25,12770;24,35210
119;24,99630;26,74160;25,69690
120;20,78440;22,76760;21,58050
121;23,97610;25,61550;24,63420
122;25,65690;27,45500;26,37870
123;28,95500;30,03920;29,39020
124;21,30590;22,25780;21,68800
125;15,86330;17,39700;16,47890
126;26,09830;27,42050;26,62910
127;17,78110;20,05520;18,69400
128;16,39510;18,64270;17,29730
129;21,22810;23,23780;22,03480
130;18,83610;20,84580;19,64280
131;21,95660;23,46380;22,56160
132;28,63400;30,27350;29,29210
133;23,97000;24,65750;24,24600
134;28,15860;28,87250;28,44520
135;20,27020;21,61880;20,81150
136;17,30160;18,86170;17,92790
137;26,39660;27,24280;26,73630
138;15,56840;17,31360;16,26890
139;19,97740;20,82360;20,31710
140;19,36130;20,78930;19,93450
141;26,04520;27,20870;26,51220
142;20,17060;21,17540;20,57400
143;20,22850;21,25980;20,64250
144;23,07190;24,10320;23,48590
145;22,50900;23,38160;22,85930
146;18,70670;20,08170;19,25870
147;22,01330;23,33540;22,54400
148;24,85090;25,82920;25,24360
149;23,92600;26,57030;24,98750
150;26,72070;27,88420;27,18770
151;31,84770;32,58810;32,14490
152;29,67160;31,02020;30,21300
153;19,27120;21,20150;20,04610
154;21,94090;23,23660;22,46100
155;21,87650;23,67470;22,59830
156;21,79430;22,71990;22,16590
157;18,64210;19,77920;19,09860
158;17,96960;19,15960;18,44730
159;17,79820;19,01460;18,28650
160;18,07850;18,79240;18,36510
161;18,92360;19,84910;19,29510
162;20,84810;22,38180;21,46380
163;20,68270;22,03130;21,22400
164;20,94440;22,21360;21,45390
165;20,38890;21,57880;20,86650
166;19,12720;20,92540;19,84910
167;19,44060;20,15460;19,72720
168;21,92870;23,43590;22,53370
169;28,23470;30,11210;28,98830
170;21,85280;22,38170;22,06510
171;15,42240;17,11470;16,10170
172;29,14910;30,44480;29,66920
173;25,51200;26,38460;25,86220
174;32,18120;33,39760;32,66950
175;26,01820;27,60480;26,65510
176;24,16720;25,70090;24,78290
177;23,66550;25,06700;24,22810
178;24,10420;25,58500;24,69870
179;21,65180;23,97870;22,58590
180;31,86330;33,21190;32,40460
181;23,43020;24,88450;24,01400
182;21,46200;22,91630;22,04580
183;27,94700;29,77150;28,67940
184;22,17160;24,55140;23,12690
185;22,15730;23,82320;22,82600
186;23,85270;25,30700;24,43650
187;22,22740;25,50630;23,54360
188;33,93360;35,01770;34,36880
189;27,48410;28,88550;28,04660
190;34,08180;35,19240;34,52760
191;36,43150;37,64790;36,91980
192;15,28120;15,94230;15,54650
193;13,63250;15,58930;14,41800
194;19,75370;22,66250;20,92130
195;17,97170;19,45250;18,56610
196;19,53480;20,48680;19,91700
197;20,10060;21,71360;20,74810
198;26,47640;27,53410;26,90100
199;12,54420;14,60680;13,37220
200;30,60430;31,23890;30,85900
201;30,21980;31,72700;30,82480
202;21,97360;23,11060;22,43000
203;33,28920;34,26760;33,68190
204;34,38640;35,68210;34,90650
205;28,74810;30,22890;29,34250
206;22,82090;23,66710;23,16060
207;18,58110;21,83360;19,88680
208;19,61650;23,02770;20,98580
209;22,87580;23,88060;23,27920
210;21,50840;22,98920;22,10280
211;23,68890;24,69370;24,09230
212;20,81750;21,87520;21,24210
213;22,02690;24,88280;23,17330
214;23,67730;24,99940;24,20800
215;16,25920;17,10540;16,59890
216;32,43330;33,43820;32,83670
217;23,34110;24,87480;23,95680
218;25,04310;26,20660;25,51020
219;29,59840;30,86760;30,10790
220;20,61440;22,17450;21,24060
221;24,48170;25,85680;25,03370
222;27,64080;29,04230;28,20340
223;24,75020;25,49070;25,04750
224;23,38630;24,81420;23,95950
225;22,44180;23,79040;22,98310
226;24,01250;25,17590;24,47950
227;23,77550;24,80680;24,18950
228;24,08000;25,08490;24,48340
229;24,20980;25,84930;24,86790
230;29,60890;30,71950;30,05470
231;21,24350;22,85660;21,89100
232;23,39610;24,63890;23,89500
233;24,51040;25,80610;25,03060
234;25,94330;27,37120;26,51650
235;27,06510;28,12280;27,48970
236;24,07230;25,02430;24,45450
237;28,16000;29,32340;28,62700
238;28,97330;29,79310;29,30240
239;36,79100;37,98090;37,26870
240;21,17540;22,73550;21,80170
241;25,01560;26,23200;25,50390
242;27,67220;28,83570;28,13930
243;20,14980;21,18110;20,56380
244;24,31560;25,63770;24,84630
245;23,17540;25,76680;24,21560
246;28,79480;29,53520;29,09200
247;26,30980;27,18240;26,66010
248;24,46940;26,00310;25,08500
249;29,44210;30,28830;29,78180
250;31,96440;33,07500;32,41020
251;26,60010;27,71070;27,04590
252;29,69580;30,30400;29,94000
253;25,33810;26,36930;25,75200
254;26,40120;27,72330;26,93190
255;25,90000;26,93130;26,31400
256;26,73920;27,47960;27,03640
257;29,78310;30,99950;30,27140
258;22,69300;23,51270;23,02200
259;24,94470;25,84380;25,30560
260;21,69280;22,35380;21,95810
261;26,80350;27,88760;27,23870
262;25,55720;26,74710;26,03480
263;22,14480;23,07030;22,51640
264;24,37000;25,82430;24,95380
265;25,49710;26,23750;25,79430
266;26,07120;27,02310;26,45330
267;27,34430;28,71930;27,89630
268;32,31950;33,29790;32,71220
269;31,18700;32,27110;31,62220
270;30,44610;31,34520;30,80700
271;30,51710;31,52200;30,92050
272;29,89890;30,63930;30,19610
