region;AIC;BIC;HaQ
1;30,66330;31,70870;31,08410
2;21,32840;22,09120;21,63540
3;24,36350;25,12630;24,67060
4;26,37870;26,91550;26,59480
5;20,52850;21,57380;20,94930
6;25,98920;26,55420;26,21660
7;25,10550;25,81180;25,38980
8;21,83220;22,36900;22,04820
9;21,53680;22,78000;22,03720
10;19,37230;20,38940;19,78170
11;18,29020;19,64640;18,83610
12;29,25420;30,52550;29,76590
13;18,42700;19,50060;18,85910
14;19,97660;21,64350;20,64750
15;3,52876;7,37111;5,07537
16;19,22580;21,68380;20,21520
17;17,22300;18,91810;17,90530
18;19,68060;21,71480;20,49940
19;21,79590;22,98250;22,27350
20;34,24090;35,37100;34,69580
21;24,48990;25,64820;24,95610
22;23,80040;25,29780;24,40310
23;22,05940;24,40440;23,00330
24;14,41560;16,16720;15,12060
25;16,22900;17,52860;16,75210
26;21,97590;23,52980;22,60140
27;26,76560;28,34770;27,40240
28;16,87250;18,73720;17,62310
29;20,54120;21,92560;21,09840
30;13,95960;16,92620;15,15370
31;25,74080;26,87090;26,19570
32;26,88880;28,27320;27,44600
33;12,05350;15,78290;13,55470
34;21,75180;23,39050;22,41140
35;23,94860;25,78510;24,68780
36;19,79530;21,68820;20,55720
37;33,29160;34,11090;33,62140
38;26,16330;27,34990;26,64090
39;24,18260;25,42570;24,68300
40;24,33040;26,27980;25,11510
41;22,94730;24,58590;23,60680
42;26,31660;27,70100;26,87380
43;25,28820;26,78560;25,89090
44;26,32890;27,48720;26,79510
45;24,37540;27,25720;25,53540
46;27,93940;28,87170;28,31470
47;28,23150;28,93780;28,51580
48;24,11550;25,72590;24,76370
49;28,13830;30,90710;29,25280
50;26,58620;28,19660;27,23440
51;25,34370;26,30430;25,73030
52;24,03500;24,76960;24,33070
53;17,96580;19,20890;18,46620
54;20,06610;20,99840;20,44140
55;28,70220;29,63460;29,07750
56;25,15210;25,99960;25,49320
57;24,16550;25,01310;24,50660
58;26,89290;28,27730;27,45010
59;25,86190;26,65300;26,18030
60;23,99850;24,98730;24,39650
61;25,56670;26,30130;25,86240
62;30,57370;31,61900;30,99450
63;19,81270;21,22530;20,38130
64;24,83300;25,51110;25,10600
65;15,99720;17,69240;16,67950
66;31,17040;33,82610;32,23930
67;21,60440;22,90400;22,12750
68;18,64130;20,92980;19,56250
69;23,19430;24,15490;23,58100
70;19,96720;22,25570;20,88830
71;21,86110;23,35840;22,46380
72;24,53030;25,83000;25,05350
73;28,58070;29,73900;29,04690
74;23,52030;24,22660;23,80460
75;24,03380;24,90960;24,38640
76;20,10110;21,06170;20,48780
77;14,27250;17,38030;15,52350
78;21,15040;22,28050;21,60530
79;20,27820;21,52130;20,77850
80;27,65940;29,24150;28,29620
81;22,17960;23,93130;22,88470
82;19,97810;20,48660;20,18280
83;26,50370;27,88810;27,06100
84;24,24040;25,48350;24,74080
85;26,16350;27,23710;26,59560
86;22,33830;23,35540;22,74770
87;23,57940;24,68120;24,02290
88;32,19830;33,30020;32,64180
89;21,62130;22,49720;21,97390
90;17,53380;19,11590;18,17060
91;17,51250;18,64260;17,96740
