;SEM IIS;;;;COM IIS;;;;0;1;1
region;AIC;BIC;HaQ;;AIC;BIC;HaQ;;;;
1;31,9471;34,8558;33,1147;;30,8908;31,7635;31,2411;;1;1;1
2;21,995;24,9037;23,1626;;21,3822;22,0962;21,6688;;1;1;1
3;25,0866;27,9954;26,2543;;24,5518;25,2658;24,8384;;1;1;1
4;27,0466;29,9553;28,2142;;26,3415;26,8968;26,5645;;1;1;1
5;22,0564;24,9651;23,224;;20,2836;21,3678;20,7188;;1;1;1
6;26,6556;29,5644;27,8233;;25,8908;26,5519;26,1562;;1;1;1
7;26,2334;29,1421;27,401;;25,05;25,7904;25,3472;;1;1;1
8;21,9134;24,8221;23,081;;21,7056;22,2081;21,9073;;1;1;1
9;23,1141;26,0229;24,2818;;21,0273;23,0105;21,8234;;1;1;1
10;21,3997;24,3084;22,5673;;19,3133;20,7147;19,8758;;1;1;1
11;20,9833;23,892;22,1509;;19,0536;20,2171;19,5206;;1;1;1
12;31,2776;34,1864;32,4452;;29,3648;31,0307;30,0336;;1;1;1
13;19,5175;22,3998;20,6745;;18,7921;19,6647;19,1424;;1;1;1
14;23,9651;26,8739;25,1328;;21,7282;22,9711;22,2271;;1;1;1
15;19,1599;22,0687;20,3276;;5,23811;9,20456;6,83032;;1;1;1
16;25,0308;27,9395;26,1984;;17,9658;21,1919;19,2608;;1;1;1
17;22,0533;24,9356;23,2103;;17,3438;19,1155;18,055;;1;1;1
18;27,1481;30,0568;28,3157;;19,981;22,2816;20,9045;;1;1;1
19;24,3946;27,3033;25,5622;;22,5699;23,6541;23,0051;;1;1;1
20;34,8398;37,7221;35,9968;;33,8748;35,0647;34,3524;;1;1;1
21;26,0606;28,9429;27,2176;;24,4895;25,5737;24,9247;;1;1;1
22;26,1908;29,0995;27,3584;;24,0552;25,6418;24,6921;;1;1;1
23;27,2532;30,1619;28,4208;;21,2085;24,6461;22,5884;;1;1;1
24;18,9635;21,8722;20,1311;;13,0576;15,9663;14,2252;;1;1;1
25;18,7788;21,6875;19,9464;;15,2754;17,3116;16,0928;;1;1;1
26;24,1762;27,0585;25,3332;;21,2652;23,2749;22,0719;;1;1;1
27;28,7053;31,6141;29,8729;;26,8916;28,5047;27,5391;;1;1;1
28;21,6328;24,5415;22,8004;;17,4191;19,2966;18,1728;;1;1;1
29;22,4403;25,3491;23,6079;;21,0334;22,62;21,6703;;1;1;1
30;21,4026;24,2848;22,5596;;14,4806;17,548;15,7119;;1;1;1
31;27,4513;30,3336;28,6083;;26,4159;27,2356;26,745;;1;1;1
32;29,1727;32,055;30,3298;;26,6496;28,1833;27,2653;;1;1;1
33;22,3334;25,2421;23,501;;12,4965;16,1456;13,9613;;1;1;1
34;24,2469;27,1292;25,4039;;22,1622;23,6695;22,7673;;1;1;1
35;27,1377;30,02;28,2947;;24,1693;25,9145;24,8698;;1;1;1
36;25,2891;28,1714;26,4461;;18,8189;21,5954;19,9334;;1;1;1
37;33,7572;36,6394;34,9142;;33,5346;34,3543;33,8637;;1;1;1
38;27,7471;30,6558;28,9147;;26,6285;27,8449;27,1168;;1;1;1
39;25,9679;28,8766;27,1355;;24,4574;25,7003;24,9563;;1;1;1
40;27,4062;30,3149;28,5738;;24,8954;26,5877;25,5747;;1;1;1
41;25,6181;28,5004;26,7751;;23,5528;25,0865;24,1684;;1;1;1
42;29,042;31,9508;30,2097;;26,3765;28,0424;27,0452;;1;1;1
43;27,5598;30,4421;28,7168;;25,3018;26,9148;25,9493;;1;1;1
44;28,0517;30,934;29,2087;;26,0729;27,2893;26,5612;;1;1;1
45;30,7666;33,6753;31,9342;;25,5358;28,3652;26,6716;;1;1;1
46;29,0391;31,9214;30,1961;;28,1785;29,2098;28,5925;;1;1;1
47;28,7689;31,6777;29,9366;;28,2061;28,8936;28,4821;;1;1;1
48;26,4615;29,3703;27,6292;;23,8825;26,0508;24,7529;;1;1;1
49;32,1879;35,0702;33,3449;;28,7842;31,5607;29,8987;;1;1;1
50;29,4883;32,3706;30,6453;;25,9894;28,1313;26,8492;;1;1;1
51;26,7464;29,6551;27,914;;25,4643;26,4427;25,857;;1;1;1
52;25,8438;28,7525;27,0114;;24,0418;24,9408;24,4027;;1;1;1
53;20,0862;22,995;21,2538;;17,6986;19,0472;18,24;;1;1;1
54;21,1927;24,1014;22,3603;;20,0753;21,186;20,5212;;1;1;1
55;29,9097;32,8184;31,0773;;28,709;29,7932;29,1442;;1;1;1
56;26,2834;29,1921;27,451;;25,4497;26,1108;25,7151;;1;1;1
57;25,0441;27,9263;26,2011;;24,3019;25,2538;24,684;;1;1;1
58;28,7826;31,6649;29,9396;;27,443;28,6858;27,9418;;1;1;1
59;26,52;29,4023;27,677;;25,8276;26,7003;26,1779;;1;1;1
60;25,3338;28,2161;26,4908;;24,2829;25,3406;24,7075;;1;1;1
