region,AIC,BIC,HaQ
1,31.9471,34.8558,33.1147
2,21.995,24.9037,23.1626
3,25.0866,27.9954,26.2543
4,27.0466,29.9553,28.2142
5,22.0564,24.9651,23.224
6,26.6556,29.5644,27.8233
7,26.2334,29.1421,27.401
8,21.9134,24.8221,23.081
9,23.1141,26.0229,24.2818
10,21.3997,24.3084,22.5673
11,20.9833,23.892,22.1509
12,31.2776,34.1864,32.4452
13,19.5175,22.3998,20.6745
14,23.9651,26.8739,25.1328
15,19.1599,22.0687,20.3276
16,25.0308,27.9395,26.1984
17,22.0533,24.9356,23.2103
18,27.1481,30.0568,28.3157
19,24.3946,27.3033,25.5622
20,34.8398,37.7221,35.9968
21,26.0606,28.9429,27.2176
22,26.1908,29.0995,27.3584
23,27.2532,30.1619,28.4208
24,18.9635,21.8722,20.1311
25,18.7788,21.6875,19.9464
26,24.1762,27.0585,25.3332
27,28.7053,31.6141,29.8729
28,21.6328,24.5415,22.8004
29,22.4403,25.3491,23.6079
30,21.4026,24.2848,22.5596
31,27.4513,30.3336,28.6083
32,29.1727,32.055,30.3298
33,22.3334,25.2421,23.501
34,24.2469,27.1292,25.4039
35,27.1377,30.02,28.2947
36,25.2891,28.1714,26.4461
37,33.7572,36.6394,34.9142
38,27.7471,30.6558,28.9147
39,25.9679,28.8766,27.1355
40,27.4062,30.3149,28.5738
41,25.6181,28.5004,26.7751
42,29.042,31.9508,30.2097
43,27.5598,30.4421,28.7168
44,28.0517,30.934,29.2087
45,30.7666,33.6753,31.9342
46,29.0391,31.9214,30.1961
47,28.7689,31.6777,29.9366
48,26.4615,29.3703,27.6292
49,32.1879,35.0702,33.3449
50,29.4883,32.3706,30.6453
51,26.7464,29.6551,27.914
52,25.8438,28.7525,27.0114
53,20.0862,22.995,21.2538
54,21.1927,24.1014,22.3603
55,29.9097,32.8184,31.0773
56,26.2834,29.1921,27.451
57,25.0441,27.9263,26.2011
58,28.7826,31.6649,29.9396
59,26.52,29.4023,27.677
60,25.3338,28.2161,26.4908
61,26.9291,29.8378,28.0967
62,32.5403,35.4226,33.6973
63,21.6604,24.5427,22.8174
64,25.4083,28.2905,26.5653
65,19.5629,22.4716,20.7305
66,35.5759,38.4582,36.7329
67,24.3685,27.2508,25.5256
68,23.714,26.5963,24.871
69,24.2571,27.1394,25.4141
70,24.6493,27.558,25.8169
71,23.7494,26.6317,24.9064
72,26.5611,29.4698,27.7287
73,29.8422,32.7245,30.9992
74,24.6511,27.5334,25.8081
75,25.268,28.1503,26.425
76,20.8103,23.7191,21.978
77,18.9577,21.84,20.1147
78,23.152,26.034300000000002,24.309
79,24.1655,27.0743,25.3331
80,28.8449,31.7536,30.0125
81,27.5755,30.4578,28.7325
82,20.2876,23.1963,21.4552
83,28.4923,31.3746,29.6493
84,26.1427,29.0514,27.3103
85,27.0144,29.9231,28.182
86,23.642,26.5243,24.799
87,25.5924,28.4747,26.7494
88,34.2135,37.1222,35.381100000000004
89,23.5777,26.4864,24.7453
90,20.2311,23.1398,21.3987
91,19.2628,22.1451,20.4198
92,23.3782,26.2869,24.5458
93,18.8453,21.7541,20.013
94,23.3031,26.2118,24.4707
95,21.8863,24.795,23.0539
96,23.5,26.4088,24.6677
97,20.1384,23.0471,21.306
98,24.417,27.3257,25.5846
99,20.5401,23.4489,21.7078
100,26.1925,29.1012,27.3601
101,28.9431,31.8254,30.1001
102,26.042,28.9507,27.2096
103,22.6541,25.5364,23.8111
104,20.2276,23.1363,21.3952
105,32.2431,35.1518,33.4107
106,25.0583,27.967,26.2259
107,23.0049,25.9136,24.1725
108,27.6224,30.5047,28.7794
109,26.5878,29.4701,27.7448
110,26.6719,29.5806,27.8395
111,23.527,26.4358,24.6946
112,22.8607,25.7694,24.0283
113,25.7468,28.6291,26.9038
114,26.229,29.1113,27.386
115,27.2602,30.1425,28.4172
116,36.6062,39.5149,37.7738
117,26.4964,29.3787,27.6534
118,25.1261,28.0084,26.2831
119,27.6975,30.5798,28.8545
120,26.3908,29.2731,27.5478
121,25.6466,28.5289,26.8036
122,26.9397,29.822,28.0967
123,29.3879,32.2702,30.5449
124,21.9853,24.894,23.1529
125,19.5986,22.5073,20.7662
126,27.8943,30.7765,29.0513
127,22.4864,25.3687,23.6434
128,22.0499,24.9322,23.2069
129,23.7441,26.6528,24.9117
130,23.9337,26.816,25.0907
131,25.0651,27.9474,26.2221
132,31.0582,33.9669,32.2258
133,24.8556,27.7379,26.0126
134,28.7488,31.6311,29.9058
135,21.9662,24.8485,23.1232
136,20.0159,22.9246,21.1835
