region;Dummies
1; 2000(4) 2009(4) 2009(12) 2010(3) 2010(12) 2011(2) 2011(3) 2011(5) 2012(4) 2012(12) 2013(5) 2013(11) 2015(1) 2000(4) 2009(4) 2009(12) 2010(3) 2010(12) 2011(2) 2011(3) 2011(5) 2012(4) 2012(12) 2013(5) 2013(11) 2015(1)
2; 1998(2) 2011(6) 2011(7) 2013(9) 2013(10) 1998(2) 2011(6) 2011(7) 2013(9) 2013(10)
3; 2012(4) 2013(5) 2013(12) 2015(12) 2012(4) 2013(5) 2013(12) 2015(12)
4; 1996(12) 2012(4) 2012(12) 1996(12) 2012(4) 2012(12)
5; 2009(6) 2009(10) 2009(12) 2010(1) 2010(3) 2010(5) 2010(6) 2010(10) 2011(1) 2011(5) 2011(10) 2011(11) 2011(12) 2012(1) 2012(3) 2012(9) 2012(10) 2009(6) 2009(10) 2009(12) 2010(1) 2010(3) 2010(5) 2010(6) 2010(10) 2011(1) 2011(5) 2011(10) 2011(11) 2011(12) 2012(1) 2012(3) 2012(9) 2012(10)
6;
7; 2010(7) 2011(10) 2011(11) 2013(1) 2015(9) 2016(12) 2010(7) 2011(10) 2011(11) 2013(1) 2015(9) 2016(12)
8;
9; 2007(7) 2008(12) 2009(9) 2009(12) 2010(12) 2011(4) 2011(5) 2012(4) 2012(10) 2013(1) 2013(12) 2014(4) 2015(11) 2016(11) 2007(7) 2008(12) 2009(9) 2009(12) 2010(12) 2011(4) 2011(5) 2012(4) 2012(10) 2013(1) 2013(12) 2014(4) 2015(11) 2016(11)
10; 2010(2) 2010(4) 2010(12) 2011(1) 2012(12) 2013(9) 2013(12) 2014(1) 2014(2) 2014(4) 2014(12) 2015(1) 2015(5) 2015(7) 2015(12) 2016(3) 2016(4) 2016(11) 2016(12) 2010(2) 2010(4) 2010(12) 2011(1) 2012(12) 2013(9) 2013(12) 2014(1) 2014(2) 2014(4) 2014(12) 2015(1) 2015(5) 2015(7) 2015(12) 2016(3) 2016(4) 2016(11) 2016(12)
