ID_Micro,GVAR,Ox
11001,R_11001,R1
11002,R_11002,R2
11003,R_11003,R3
11004,R_11004,R4
11005,R_11005,R5
11006,R_11006,R6
11007,R_11007,R7
11008,R_11008,R8
12001,R_12001,R9
12002,R_12002,R10
12003,R_12003,R11
12004,R_12004,R12
12005,R_12005,R13
13001,R_13001,R14
13002,R_13002,R15
13003,R_13003,R16
13004,R_13004,R17
13005,R_13005,R18
13006,R_13006,R19
13007,R_13007,R20
13008,R_13008,R21
13009,R_13009,R22
13010,R_13010,R23
13011,R_13011,R24
13012,R_13012,R25
13013,R_13013,R26
14001,R_14001,R27
14002,R_14002,R28
14003,R_14003,R29
14004,R_14004,R30
15001,R_15001,R31
15002,R_15002,R32
15003,R_15003,R33
15004,R_15004,R34
15005,R_15005,R35
15006,R_15006,R36
15007,R_15007,R37
15008,R_15008,R38
15009,R_15009,R39
15010,R_15010,R40
15011,R_15011,R41
15012,R_15012,R42
15013,R_15013,R43
15014,R_15014,R44
15015,R_15015,R45
15016,R_15016,R46
15017,R_15017,R47
15018,R_15018,R48
15019,R_15019,R49
15020,R_15020,R50
15021,R_15021,R51
15022,R_15022,R52
16001,R_16001,R53
16002,R_16002,R54
16003,R_16003,R55
16004,R_16004,R56
17001,R_17001,R57
17002,R_17002,R58
17003,R_17003,R59
17004,R_17004,R60
17005,R_17005,R61
17006,R_17006,R62
17007,R_17007,R63
17008,R_17008,R64
21001,R_21001,R65
21002,R_21002,R66
21003,R_21003,R67
21004,R_21004,R68
21005,R_21005,R69
21006,R_21006,R70
21007,R_21007,R71
21008,R_21008,R72
21009,R_21009,R73
21010,R_21010,R74
21011,R_21011,R75
21012,R_21012,R76
21013,R_21013,R77
21014,R_21014,R78
21015,R_21015,R79
21016,R_21016,R80
21017,R_21017,R81
21018,R_21018,R82
21019,R_21019,R83
21020,R_21020,R84
21021,R_21021,R85
22001,R_22001,R86
22002,R_22002,R87
22003,R_22003,R88
22004,R_22004,R89
22005,R_22005,R90
22006,R_22006,R91
22007,R_22007,R92
22008,R_22008,R93
22009,R_22009,R94
22010,R_22010,R95
22011,R_22011,R96
22012,R_22012,R97
22013,R_22013,R98
22014,R_22014,R99
22015,R_22015,R100
23001,R_23001,R101
23002,R_23002,R102
23003,R_23003,R103
23004,R_23004,R104
23005,R_23005,R105
23006,R_23006,R106
23007,R_23007,R107
23008,R_23008,R108
23009,R_23009,R109
23010,R_23010,R110
23011,R_23011,R111
23012,R_23012,R112
23013,R_23013,R113
23014,R_23014,R114
23015,R_23015,R115
23016,R_23016,R116
23017,R_23017,R117
23018,R_23018,R118
23019,R_23019,R119
23020,R_23020,R120
23021,R_23021,R121
23022,R_23022,R122
23023,R_23023,R123
23024,R_23024,R124
23025,R_23025,R125
23026,R_23026,R126
23027,R_23027,R127
23028,R_23028,R128
23029,R_23029,R129
23030,R_23030,R130
23031,R_23031,R131
23032,R_23032,R132
23033,R_23033,R133
24001,R_24001,R134
24002,R_24002,R135
24003,R_24003,R136
24004,R_24004,R137
24005,R_24005,R138
24006,R_24006,R139
24007,R_24007,R140
24008,R_24008,R141
24009,R_24009,R142
24010,R_24010,R143
24011,R_24011,R144
24012,R_24012,R145
24013,R_24013,R146
24014,R_24014,R147
24015,R_24015,R148
24016,R_24016,R149
24017,R_24017,R150
24018,R_24018,R151
24019,R_24019,R152
25001,R_25001,R153
25002,R_25002,R154
25003,R_25003,R155
25004,R_25004,R156
25005,R_25005,R157
25006,R_25006,R158
25007,R_25007,R159
25008,R_25008,R160
25009,R_25009,R161
25010,R_25010,R162
25011,R_25011,R163
25012,R_25012,R164
25013,R_25013,R165
25014,R_25014,R166
25015,R_25015,R167
25016,R_25016,R168
25017,R_25017,R169
25018,R_25018,R170
25019,R_25019,R171
25020,R_25020,R172
25021,R_25021,R173
25022,R_25022,R174
25023,R_25023,R175
26001,R_26001,R176
26002,R_26002,R177
26003,R_26003,R178
26004,R_26004,R179
26005,R_26005,R180
26006,R_26006,R181
26007,R_26007,R182
26008,R_26008,R183
26009,R_26009,R184
26010,R_26010,R185
26011,R_26011,R186
26012,R_26012,R187
26013,R_26013,R188
26014,R_26014,R189
26015,R_26015,R190
26016,R_26016,R191
26017,R_26017,R192
26018,R_26018,R193
26019,R_26019,R194
27001,R_27001,R195
27002,R_27002,R196
27003,R_27003,R197
27004,R_27004,R198
27005,R_27005,R199
27006,R_27006,R200
27007,R_27007,R201
27008,R_27008,R202
27009,R_27009,R203
27010,R_27010,R204
27011,R_27011,R205
27012,R_27012,R206
27013,R_27013,R207
28001,R_28001,R208
28002,R_28002,R209
28003,R_28003,R210
28004,R_28004,R211
28005,R_28005,R212
28006,R_28006,R213
28007,R_28007,R214
28008,R_28008,R215
28009,R_28009,R216
28010,R_28010,R217
28011,R_28011,R218
28012,R_28012,R219
28013,R_28013,R220
29001,R_29001,R221
29002,R_29002,R222
29003,R_29003,R223
29004,R_29004,R224
29005,R_29005,R225
29006,R_29006,R226
29007,R_29007,R227
29008,R_29008,R228
29009,R_29009,R229
29010,R_29010,R230
29011,R_29011,R231
29012,R_29012,R232
29013,R_29013,R233
29014,R_29014,R234
29015,R_29015,R235
29016,R_29016,R236
29017,R_29017,R237
29018,R_29018,R238
29019,R_29019,R239
29020,R_29020,R240
29021,R_29021,R241
29022,R_29022,R242
29023,R_29023,R243
29024,R_29024,R244
29025,R_29025,R245
29026,R_29026,R246
29027,R_29027,R247
29028,R_29028,R248
29029,R_29029,R249
29030,R_29030,R250
29031,R_29031,R251
29032,R_29032,R252
31001,R_31001,R253
31002,R_31002,R254
31003,R_31003,R255
31004,R_31004,R256
31005,R_31005,R257
31006,R_31006,R258
31007,R_31007,R259
31008,R_31008,R260
31009,R_31009,R261
31010,R_31010,R262
31011,R_31011,R263
31012,R_31012,R264
31013,R_31013,R265
31014,R_31014,R266
31015,R_31015,R267
31016,R_31016,R268
31017,R_31017,R269
31018,R_31018,R270
31019,R_31019,R271
31020,R_31020,R272
31021,R_31021,R273
31022,R_31022,R274
31023,R_31023,R275
31024,R_31024,R276
31025,R_31025,R277
31026,R_31026,R278
31027,R_31027,R279
31028,R_31028,R280
31029,R_31029,R281
31030,R_31030,R282
31031,R_31031,R283
31032,R_31032,R284
31033,R_31033,R285
31034,R_31034,R286
31035,R_31035,R287
31036,R_31036,R288
31037,R_31037,R289
31038,R_31038,R290
31039,R_31039,R291
31040,R_31040,R292
31041,R_31041,R293
31042,R_31042,R294
31043,R_31043,R295
31044,R_31044,R296
31045,R_31045,R297
31046,R_31046,R298
31047,R_31047,R299
31048,R_31048,R300
31049,R_31049,R301
31050,R_31050,R302
31051,R_31051,R303
31052,R_31052,R304
31053,R_31053,R305
31054,R_31054,R306
31055,R_31055,R307
31056,R_31056,R308
31057,R_31057,R309
31058,R_31058,R310
31059,R_31059,R311
31060,R_31060,R312
31061,R_31061,R313
31062,R_31062,R314
31063,R_31063,R315
31064,R_31064,R316
31065,R_31065,R317
31066,R_31066,R318
32001,R_32001,R319
32002,R_32002,R320
32003,R_32003,R321
32004,R_32004,R322
32005,R_32005,R323
32006,R_32006,R324
32007,R_32007,R325
32008,R_32008,R326
32009,R_32009,R327
32010,R_32010,R328
32011,R_32011,R329
32012,R_32012,R330
32013,R_32013,R331
33001,R_33001,R332
33002,R_33002,R333
33003,R_33003,R334
33004,R_33004,R335
33005,R_33005,R336
33006,R_33006,R337
33007,R_33007,R338
33008,R_33008,R339
33009,R_33009,R340
33010,R_33010,R341
33011,R_33011,R342
33012,R_33012,R343
33013,R_33013,R344
33014,R_33014,R345
33015,R_33015,R346
33016,R_33016,R347
33017,R_33017,R348
33018,R_33018,R349
35001,R_35001,R350
35002,R_35002,R351
35003,R_35003,R352
35004,R_35004,R353
35005,R_35005,R354
35006,R_35006,R355
35007,R_35007,R356
35008,R_35008,R357
35009,R_35009,R358
35010,R_35010,R359
35011,R_35011,R360
35012,R_35012,R361
35013,R_35013,R362
35014,R_35014,R363
35015,R_35015,R364
35016,R_35016,R365
35017,R_35017,R366
35018,R_35018,R367
35019,R_35019,R368
35020,R_35020,R369
35021,R_35021,R370
35022,R_35022,R371
35023,R_35023,R372
35024,R_35024,R373
35025,R_35025,R374
35026,R_35026,R375
35027,R_35027,R376
35028,R_35028,R377
35029,R_35029,R378
35030,R_35030,R379
35031,R_35031,R380
35032,R_35032,R381
35033,R_35033,R382
35034,R_35034,R383
35035,R_35035,R384
35036,R_35036,R385
35037,R_35037,R386
35038,R_35038,R387
35039,R_35039,R388
35040,R_35040,R389
35041,R_35041,R390
35042,R_35042,R391
35043,R_35043,R392
35044,R_35044,R393
35045,R_35045,R394
35046,R_35046,R395
35047,R_35047,R396
35048,R_35048,R397
35049,R_35049,R398
35050,R_35050,R399
35051,R_35051,R400
35052,R_35052,R401
35053,R_35053,R402
35054,R_35054,R403
35055,R_35055,R404
35056,R_35056,R405
35057,R_35057,R406
35058,R_35058,R407
35059,R_35059,R408
35060,R_35060,R409
35061,R_35061,R410
35062,R_35062,R411
35063,R_35063,R412
41001,R_41001,R413
41002,R_41002,R414
41003,R_41003,R415
41004,R_41004,R416
41005,R_41005,R417
41006,R_41006,R418
41007,R_41007,R419
41008,R_41008,R420
41009,R_41009,R421
41010,R_41010,R422
41011,R_41011,R423
41012,R_41012,R424
41013,R_41013,R425
41014,R_41014,R426
41015,R_41015,R427
41016,R_41016,R428
41017,R_41017,R429
41018,R_41018,R430
41019,R_41019,R431
41020,R_41020,R432
41021,R_41021,R433
41022,R_41022,R434
41023,R_41023,R435
41024,R_41024,R436
41025,R_41025,R437
41026,R_41026,R438
41027,R_41027,R439
41028,R_41028,R440
41029,R_41029,R441
41030,R_41030,R442
41031,R_41031,R443
41032,R_41032,R444
41033,R_41033,R445
41034,R_41034,R446
41035,R_41035,R447
41036,R_41036,R448
41037,R_41037,R449
41038,R_41038,R450
41039,R_41039,R451
42001,R_42001,R452
42002,R_42002,R453
42003,R_42003,R454
42004,R_42004,R455
42005,R_42005,R456
42006,R_42006,R457
42007,R_42007,R458
42008,R_42008,R459
42009,R_42009,R460
42010,R_42010,R461
42011,R_42011,R462
42012,R_42012,R463
42013,R_42013,R464
42014,R_42014,R465
42015,R_42015,R466
42016,R_42016,R467
42017,R_42017,R468
42018,R_42018,R469
42019,R_42019,R470
42020,R_42020,R471
43001,R_43001,R472
43002,R_43002,R473
43003,R_43003,R474
43004,R_43004,R475
43005,R_43005,R476
43006,R_43006,R477
43007,R_43007,R478
43008,R_43008,R479
43009,R_43009,R480
43010,R_43010,R481
43011,R_43011,R482
43012,R_43012,R483
43013,R_43013,R484
43014,R_43014,R485
43015,R_43015,R486
43016,R_43016,R487
43017,R_43017,R488
43018,R_43018,R489
43019,R_43019,R490
43020,R_43020,R491
43021,R_43021,R492
43022,R_43022,R493
43023,R_43023,R494
43024,R_43024,R495
43025,R_43025,R496
43026,R_43026,R497
43027,R_43027,R498
43028,R_43028,R499
43029,R_43029,R500
43030,R_43030,R501
43031,R_43031,R502
43032,R_43032,R503
