Meso,ADM_1995M01,ADM_1995M02,ADM_1995M03,ADM_1995M04,ADM_1995M05,ADM_1995M06,ADM_1995M07,ADM_1995M08,ADM_1995M09,ADM_1995M10,ADM_1995M11,ADM_1995M12,ADM_1996M01,ADM_1996M02,ADM_1996M03,ADM_1996M04,ADM_1996M05,ADM_1996M06,ADM_1996M07,ADM_1996M08,ADM_1996M09,ADM_1996M10,ADM_1996M11,ADM_1996M12,ADM_1997M01,ADM_1997M02,ADM_1997M03,ADM_1997M04,ADM_1997M05,ADM_1997M06,ADM_1997M07,ADM_1997M08,ADM_1997M09,ADM_1997M10,ADM_1997M11,ADM_1997M12,ADM_1998M01,ADM_1998M02,ADM_1998M03,ADM_1998M04,ADM_1998M05,ADM_1998M06,ADM_1998M07,ADM_1998M08,ADM_1998M09,ADM_1998M10,ADM_1998M11,ADM_1998M12,ADM_1999M01,ADM_1999M02,ADM_1999M03,ADM_1999M04,ADM_1999M05,ADM_1999M06,ADM_1999M07,ADM_1999M08,ADM_1999M09,ADM_1999M10,ADM_1999M11,ADM_1999M12,ADM_2000M01,ADM_2000M02,ADM_2000M03,ADM_2000M04,ADM_2000M05,ADM_2000M06,ADM_2000M07,ADM_2000M08,ADM_2000M09,ADM_2000M10,ADM_2000M11,ADM_2000M12,ADM_2001M01,ADM_2001M02,ADM_2001M03,ADM_2001M04,ADM_2001M05,ADM_2001M06,ADM_2001M07,ADM_2001M08,ADM_2001M09,ADM_2001M10,ADM_2001M11,ADM_2001M12,ADM_2002M01,ADM_2002M02,ADM_2002M03,ADM_2002M04,ADM_2002M05,ADM_2002M06,ADM_2002M07,ADM_2002M08,ADM_2002M09,ADM_2002M10,ADM_2002M11,ADM_2002M12,ADM_2003M01,ADM_2003M02,ADM_2003M03,ADM_2003M04,ADM_2003M05,ADM_2003M06,ADM_2003M07,ADM_2003M08,ADM_2003M09,ADM_2003M10,ADM_2003M11,ADM_2003M12,ADM_2004M01,ADM_2004M02,ADM_2004M03,ADM_2004M04,ADM_2004M05,ADM_2004M06,ADM_2004M07,ADM_2004M08,ADM_2004M09,ADM_2004M10,ADM_2004M11,ADM_2004M12,ADM_2005M01,ADM_2005M02,ADM_2005M03,ADM_2005M04,ADM_2005M05,ADM_2005M06,ADM_2005M07,ADM_2005M08,ADM_2005M09,ADM_2005M10,ADM_2005M11,ADM_2005M12,ADM_2006M01,ADM_2006M02,ADM_2006M03,ADM_2006M04,ADM_2006M05,ADM_2006M06,ADM_2006M07,ADM_2006M08,ADM_2006M09,ADM_2006M10,ADM_2006M11,ADM_2006M12,ADM_2007M01,ADM_2007M02,ADM_2007M03,ADM_2007M04,ADM_2007M05,ADM_2007M06,ADM_2007M07,ADM_2007M08,ADM_2007M09,ADM_2007M10,ADM_2007M11,ADM_2007M12,ADM_2008M01,ADM_2008M02,ADM_2008M03,ADM_2008M04,ADM_2008M05,ADM_2008M06,ADM_2008M07,ADM_2008M08,ADM_2008M09,ADM_2008M10,ADM_2008M11,ADM_2008M12,ADM_2009M01,ADM_2009M02,ADM_2009M03,ADM_2009M04,ADM_2009M05,ADM_2009M06,ADM_2009M07,ADM_2009M08,ADM_2009M09,ADM_2009M10,ADM_2009M11,ADM_2009M12,ADM_2010M01,ADM_2010M02,ADM_2010M03,ADM_2010M04,ADM_2010M05,ADM_2010M06,ADM_2010M07,ADM_2010M08,ADM_2010M09,ADM_2010M10,ADM_2010M11,ADM_2010M12,ADM_2011M01,ADM_2011M02,ADM_2011M03,ADM_2011M04,ADM_2011M05,ADM_2011M06,ADM_2011M07,ADM_2011M08,ADM_2011M09,ADM_2011M10,ADM_2011M11,ADM_2011M12,ADM_2012M01,ADM_2012M02,ADM_2012M03,ADM_2012M04,ADM_2012M05,ADM_2012M06,ADM_2012M07,ADM_2012M08,ADM_2012M09,ADM_2012M10,ADM_2012M11,ADM_2012M12,ADM_2013M01,ADM_2013M02,ADM_2013M03,ADM_2013M04,ADM_2013M05,ADM_2013M06,ADM_2013M07,ADM_2013M08,ADM_2013M09,ADM_2013M10,ADM_2013M11,ADM_2013M12,ADM_2014M01,ADM_2014M02,ADM_2014M03,ADM_2014M04,ADM_2014M05,ADM_2014M06,ADM_2014M07,ADM_2014M08,ADM_2014M09,ADM_2014M10,ADM_2014M11,ADM_2014M12,ADM_2015M01,ADM_2015M02,ADM_2015M03,ADM_2015M04,ADM_2015M05,ADM_2015M06,ADM_2015M07,ADM_2015M08,ADM_2015M09,ADM_2015M10,ADM_2015M11,ADM_2015M12,ADM_2016M01,ADM_2016M02,ADM_2016M03,ADM_2016M04,ADM_2016M05,ADM_2016M06,ADM_2016M07,ADM_2016M08,ADM_2016M09,ADM_2016M10,ADM_2016M11,ADM_2016M12,ADM_2017M01,ADM_2017M02,ADM_2017M03,ADM_2017M04,ADM_2017M05,ADM_2017M06,ADM_2017M07,ADM_2017M08,ADM_2017M09,ADM_2017M10,ADM_2017M11,ADM_2017M12,ADM_2018M01,ADM_2018M02,ADM_2018M03,ADM_2018M04,ADM_2018M05,ADM_2018M06,ADM_2018M07,ADM_2018M08,ADM_2018M09,ADM_2018M10,ADM_2018M11,ADM_2018M12
1101,1838,1744,2008,1691,2045,1879,1442,2057,1492,1246,1138,942,1308,1360,1403,1334,1418,1194,1407,1564,1507,1205,1213,1106,1589,1659,1734,4081,4475,2199,2174,2365,2592,2104,1964,1286,1813,2598,2307,2159,2101,2032,2257,1816,1553,1734,1372,1188,1568,1671,2391,1584,1833,1958,1985,1916,1739,1809,1629,1522,2262,2565,2547,2262,2509,2613,2396,2442,1655,1879,1914,1711,2347,2285,2664,2735,2654,2767,2753,2757,2403,2202,2151,1720,2461,2884,3960,2713,3325,2243,2753,3639,2746,2640,2941,1802,3876,3180,2800,2500,4131,2480,2890,2663,2872,2669,2544,1777,3075,2928,4186,3815,3977,3596,5028,3532,3230,2671,2438,2012,3731,3234,3661,4535,4655,3613,3489,4326,3699,2878,2672,2918,3352,3419,4237,3935,3733,3915,3687,3820,3395,3107,2960,2287,3536,3924,4184,4008,4015,4981,4739,4524,4112,3926,3499,2524,4063,4523,5144,4812,4557,5423,5931,5756,6162,6620,5417,3927,6802,7402,8077,8597,7773,7846,8112,8839,9332,9512,8824,5873,8955,9068,11806,10106,11785,10024,11805,11602,10622,11147,10789,7780,11111,13975,11497,9782,11520,11665,11724,11081,10049,9549,8739,6948,10684,10599,9386,10450,10838,10106,10696,10083,9280,8420,8864,5623,9870,9351,9062,10160,8181,8176,10067,8919,7286,7900,7455,5588,7975,8427,7343,7840,8798,8759,8725,8775,7897,7500,7267,5036,6565,7758,7560,7214,7116,7089,7331,8143,7068,5382,5381,3556,5786,5312,5784,5219,5369,5076,5107,5406,4396,3809,3977,2958,5543,5355,5174,4404,4924,4502,4807,5623,5005,4150,4525,3303,5141,4888,4833,5208,5038,4602,4994,5360,4600,4754,3930,3192
1102,1924,2215,2666,2472,2617,2172,2154,2340,1789,1427,1375,769,1516,1677,2025,2090,2290,2719,2593,1936,1646,1326,1344,1022,1995,2220,2781,2676,2838,3365,2982,3102,3175,3292,2372,1392,3144,3300,3168,3896,3529,3225,2895,2495,2369,2229,2082,1548,2226,2759,3634,2844,3115,3554,2956,3292,3059,2683,2396,1841,3159,3774,3829,3652,4251,4630,4338,4228,3777,3602,3100,2071,4390,3741,4709,4731,4554,4302,4260,4451,3828,3566,2872,2047,3738,3494,4980,4935,4258,3959,4484,4406,4422,3613,3510,2501,4636,4111,4558,4059,4747,4876,4939,4739,4247,4308,3798,2495,4370,4493,5620,5085,5413,5504,6945,5672,4918,4473,4625,2956,6392,5292,5534,5350,5829,6607,5443,5681,5102,4507,4318,3028,4877,5617,5378,5272,5755,5485,5861,5825,5052,4642,4408,3221,5309,5929,6353,5884,6818,5837,6357,6040,5736,5843,5038,4231,6588,7172,6904,6987,6839,7385,7613,6910,6562,6100,6079,4428,8121,6684,6829,6340,7542,7897,7762,7967,7275,6731,5936,4286,7907,7333,7935,7617,8352,8358,8765,7902,8039,6969,6837,5264,8046,8331,8403,8262,8803,8517,8522,8762,7835,7574,7719,5797,7797,8250,9116,9428,9095,9703,9629,9357,8036,7984,7795,5862,10363,9721,9091,9692,9625,8455,9276,9241,8431,8357,7433,5412,8737,9184,8821,8313,8998,8772,9580,9628,8755,8302,7744,5426,8567,8982,8567,8083,7600,7752,8128,7973,7671,6865,6564,4598,6900,7873,8017,7063,6900,7292,6908,6850,5913,5308,5035,4025,9215,7852,7201,6319,6558,7002,7608,7942,8175,6751,5747,4652,7630,7805,7555,6740,7237,5836,7863,7471,6795,6519,6147,4666
1201,51,36,65,60,63,43,57,46,25,33,36,43,71,17,120,140,135,171,74,132,73,67,23,34,78,30,50,81,67,75,81,51,94,40,32,23,89,24,144,69,127,71,48,65,49,31,28,36,47,40,60,53,55,67,39,49,60,63,30,36,66,91,129,81,98,153,95,118,188,90,67,40,163,94,233,115,163,206,123,105,75,71,56,133,160,110,590,457,141,90,193,118,78,70,61,35,129,165,187,134,132,327,101,192,157,164,73,61,206,133,294,129,135,94,170,196,204,94,98,62,286,291,313,218,252,251,267,193,278,146,138,144,132,165,199,493,314,217,296,183,120,161,127,111,181,201,156,444,326,295,547,255,179,141,106,76,253,234,328,370,458,503,286,265,255,271,172,160,355,269,393,634,405,413,332,511,514,365,236,118,312,466,338,755,529,566,483,457,383,299,242,195,303,530,486,840,494,605,586,414,475,405,247,199,402,354,635,379,522,557,516,531,393,321,294,205,646,499,742,791,585,741,583,581,587,349,322,251,406,486,671,646,476,526,566,610,433,349,369,274,455,355,481,615,723,516,513,375,382,326,271,189,341,483,587,653,329,379,416,320,305,199,220,138,578,386,758,631,1437,526,419,457,343,296,369,196,586,365,591,920,694,433,534,335,350,285,258,192
1202,781,656,685,603,677,842,921,804,723,721,476,353,974,746,947,928,1172,1277,1287,981,1027,843,713,575,1194,688,887,1109,1030,1096,1217,863,801,873,892,598,1835,1190,1935,1258,1340,1123,1036,980,876,812,742,484,877,873,1093,1037,1013,960,1055,1208,1035,946,886,848,1052,1031,1299,1006,1468,1564,1608,1440,1339,1314,1208,877,1697,1399,1593,1458,1814,1832,1635,1794,1452,1163,1202,941,1431,1307,2234,2038,1703,1788,2162,1956,1605,1252,1275,774,2052,2414,2156,1692,1833,1788,1802,1545,1383,1829,1192,817,1970,2415,2420,1946,1895,2529,2821,2083,1772,1449,1593,1495,3091,2969,2680,1978,3157,2670,2437,2535,2161,1894,2040,1441,4651,2913,3421,3517,2587,3804,3594,2798,2407,2471,2035,1473,3668,3872,3506,3669,2619,3083,2602,3065,2902,2511,2175,1545,3730,4609,3812,3408,3685,3437,3674,3109,3918,2855,2347,1581,3210,4010,3631,4476,3445,3694,3672,3861,4451,3533,4060,2838,3033,5584,4615,5126,5100,3962,3886,4926,3726,3524,3511,3143,4536,6814,4937,5181,5529,4791,4225,4314,4264,4150,3726,2769,4057,7452,5800,5432,4869,4877,4714,4535,4022,3505,3258,2384,4930,6375,6460,5207,4937,4599,4597,4663,4342,4048,3752,2390,4461,8211,5028,4232,4723,6183,5184,4649,3907,3612,3576,2806,4225,5261,8082,5829,4166,4605,4146,5369,4460,3292,2812,2353,3304,4541,5096,3704,3756,3667,4213,3127,2614,2400,2017,1831,4096,4103,7077,4155,3981,4170,3609,3705,3188,3096,2249,1704,3578,4097,6245,3725,3860,2902,3400,3294,2972,3327,2503,1883
1301,9,13,35,5,6,7,4,6,6,21,16,1,14,20,56,37,41,13,13,9,8,2,4,1,11,2,3,4,9,3,6,2,9,4,0,2,7,38,20,5,4,5,4,3,8,4,4,9,6,3,28,1,4,7,17,2,10,3,16,5,61,136,61,17,12,12,20,22,7,14,13,0,23,44,93,107,55,13,5,0,6,9,5,2,19,11,14,127,14,106,13,9,18,12,4,3,40,7,144,40,187,24,18,14,23,17,14,9,14,22,25,151,77,101,30,13,15,44,16,2,84,47,119,34,26,18,30,328,56,22,14,11,276,205,710,169,118,103,28,36,26,43,33,21,476,101,408,125,65,47,50,95,56,39,22,11,494,97,611,235,112,71,72,29,23,23,24,8,534,368,689,104,92,102,52,93,32,29,24,8,79,117,688,365,60,362,34,31,17,24,44,18,83,347,908,144,43,33,37,42,36,44,47,29,127,92,1086,103,121,89,23,47,16,29,29,15,678,137,809,291,68,39,41,55,64,105,33,14,208,82,824,132,96,78,55,59,69,37,29,18,133,114,446,351,52,68,46,59,45,49,43,24,158,344,412,298,106,195,303,80,24,46,36,17,507,437,1259,595,202,67,51,54,53,49,63,113,300,93,863,241,195,107,83,308,84,53,67,187
1302,20,16,4,7,3,4,18,11,20,12,7,7,18,20,24,18,23,66,71,68,26,11,7,46,35,15,19,11,15,17,17,23,38,25,56,103,130,49,107,55,30,13,20,27,35,20,72,23,139,43,83,57,59,58,165,162,123,115,292,68,46,36,41,32,14,31,84,38,17,15,39,15,47,17,81,29,17,50,12,47,13,16,32,12,52,14,129,336,51,85,38,17,29,34,47,46,82,90,193,214,68,55,47,44,33,32,44,14,80,99,181,147,127,133,218,37,41,41,18,73,487,139,154,97,103,85,85,53,46,67,39,29,112,72,275,129,65,99,39,321,75,40,60,23,134,132,290,116,57,98,289,118,71,109,52,44,173,217,288,123,109,92,126,50,49,85,24,24,631,220,261,95,138,127,118,66,63,77,66,54,737,142,446,99,285,130,99,233,187,167,92,32,779,655,157,290,141,94,124,136,109,80,78,26,700,157,1167,268,110,160,204,104,73,56,82,34,1281,659,1516,513,352,241,201,247,265,122,83,36,932,705,1593,333,244,174,141,122,105,98,97,66,1396,992,1200,368,287,189,124,472,201,154,101,51,1015,845,1483,576,214,277,457,160,113,159,75,43,2375,899,1628,1317,883,323,349,315,204,150,133,78,620,586,2550,668,360,271,262,288,315,139,112,55
1303,10250,8759,9597,8165,8102,7238,6842,8587,7405,6942,6544,4143,7690,7891,7387,7806,8702,7696,8876,8628,8908,8510,7632,4423,8239,7069,8717,8037,8335,8260,8428,7895,8680,8301,7489,4594,8834,6302,8286,7566,8313,7893,8731,7898,7825,6754,7521,3884,6743,5523,6654,5705,6770,6973,7336,8707,8505,8404,7429,5343,8534,8262,8151,8629,9849,9297,9077,10219,9136,9133,9247,6115,11539,11107,11255,10222,9802,8940,9840,9728,9558,10692,10809,7288,11473,9651,11476,11933,10965,10926,10452,11756,10803,12002,10005,8412,12450,10392,10980,10913,10677,10673,11106,12911,13429,12735,11928,7429,13916,13499,17250,13753,14154,16016,17006,16173,15729,16102,14164,10268,15627,14783,17804,16581,16009,17088,17257,19432,16656,18338,15831,10409,19021,17007,23319,20652,18543,16118,16777,18862,18752,17796,17175,11202,18208,18975,21713,19904,20218,18572,19773,22232,20203,22481,21501,15299,21468,20712,24031,24797,22049,24746,24309,26848,28189,24179,19251,11377,20431,16657,20588,19830,18250,18844,21847,28024,25505,24857,21648,13913,24935,24008,27867,24984,26532,26361,26023,27920,25919,27390,24506,17964,29985,33213,32485,29026,29501,28585,28683,31760,30158,26487,24305,16788,34473,27720,30708,27242,26234,27036,28654,29352,25219,27940,22798,15636,32859,31424,32863,31295,27130,26868,31242,32476,30083,31684,26959,17450,28457,33995,27012,28523,26841,22254,27313,28295,25644,26854,24227,17402,28106,24194,28463,22346,21275,20230,19822,20999,20920,17678,16359,11632,17908,21252,22102,18763,17255,15430,16410,19968,16981,17763,15667,12729,27243,21061,23010,18192,16932,17033,19361,18486,16925,20159,16444,12222,22229,20796,21517,18192,16371,19004,21071,20457,17120,18675,17748,12608
1304,11,35,28,10,17,6,10,32,19,14,17,8,17,41,32,27,33,18,26,22,16,16,19,7,109,34,68,53,17,62,35,32,150,210,66,13,76,115,50,17,28,51,101,20,55,24,29,5,45,36,41,20,21,26,52,64,31,7,27,17,39,73,75,27,56,132,39,37,35,26,21,8,122,66,133,43,29,82,60,73,46,59,54,8,176,74,227,142,138,87,380,71,84,55,42,26,82,80,106,112,76,41,67,57,46,37,38,20,139,62,133,88,228,277,73,90,48,64,43,13,317,218,198,98,171,134,134,85,110,118,51,28,184,327,286,382,144,174,166,109,82,74,77,52,129,89,335,187,149,110,149,81,125,112,76,67,254,236,406,204,241,264,417,88,93,126,40,50,652,395,563,480,157,149,166,326,142,104,113,42,148,500,600,154,140,143,186,161,185,189,102,55,443,510,777,246,210,219,228,226,232,134,193,100,478,258,1211,291,334,264,325,254,248,205,171,91,955,536,1093,584,504,364,302,274,218,259,204,75,538,727,293,644,571,286,407,281,179,222,189,194,685,787,601,322,587,300,281,267,265,196,185,101,384,482,806,327,901,315,306,173,150,177,258,112,735,692,1506,471,671,279,300,272,235,184,208,162,583,849,1451,459,571,500,463,782,310,237,294,191
1401,836,661,629,586,684,532,559,565,638,468,522,373,1161,731,751,600,769,637,888,738,1452,1334,1721,581,723,756,805,819,880,804,631,646,607,593,642,389,906,697,987,899,787,843,697,790,746,641,655,406,525,485,698,586,665,565,536,597,624,677,633,479,587,651,600,579,746,613,729,716,647,557,594,485,1286,1184,795,807,922,867,727,1081,778,803,659,531,986,960,878,833,924,776,926,1170,870,743,822,625,1545,1053,844,958,931,920,1051,898,1032,863,860,587,1177,1230,1180,878,1068,1126,1072,1118,1120,1020,1012,768,1631,1057,1231,1258,1240,1421,1106,1245,1375,1323,1154,825,1470,1417,1295,1265,1256,1044,1225,1894,1497,1280,1303,785,1831,1586,1447,1491,1695,1373,1514,1523,1297,1687,1737,1034,2759,2028,2211,2175,1683,1788,1793,2189,1816,2232,1792,1077,3848,2811,2393,2263,2129,1893,2201,2140,2128,2375,2025,1564,3117,2181,2783,2518,2297,3861,2524,2738,2453,2444,2905,2269,4012,4737,3127,2676,2326,2192,2691,6227,2725,2490,2856,1771,3603,4903,4512,3271,2975,3061,3734,3165,3028,3033,3134,1969,4640,5233,3805,3536,3131,2819,4003,3578,3155,3499,2779,2182,4473,4914,3354,4091,3247,3051,3813,3353,3357,2855,3413,2374,5919,4869,4712,3663,3137,3236,3332,3029,3135,3005,2806,2084,3273,3269,3635,2903,2800,2558,2655,2559,2564,2303,2389,1741,4469,3322,3439,2878,3358,2376,2752,3120,2588,3185,2755,2321,4163,3145,3261,2960,2551,2394,2163,2694,2404,3967,2628,1890
1402,11,3,4,2,9,2,7,17,5,0,7,6,12,14,7,17,22,45,16,13,6,32,7,28,20,10,11,15,29,8,20,8,16,8,12,2,10,12,125,16,29,9,30,86,30,27,51,13,16,61,29,30,17,16,26,27,38,44,51,37,52,37,25,103,18,30,52,12,55,56,36,20,69,72,36,38,35,18,19,22,22,26,11,13,32,18,34,36,26,17,33,27,27,17,12,20,59,38,25,34,25,69,30,32,7,19,14,12,46,83,34,44,33,26,53,42,26,31,26,7,134,115,99,42,73,76,36,26,34,40,44,13,45,41,60,43,47,69,28,18,27,38,14,14,217,221,175,101,95,103,62,86,98,66,61,24,193,143,105,78,76,114,118,83,116,70,102,27,508,283,219,171,167,109,79,73,138,83,109,74,767,408,481,360,207,163,167,160,175,169,198,146,363,586,512,353,288,245,170,622,532,212,210,106,540,792,370,288,306,235,227,177,177,126,112,60,1135,1382,655,324,232,241,226,237,232,192,141,133,552,840,373,268,213,288,282,248,202,254,189,103,394,608,830,327,225,257,330,340,290,189,200,82,514,563,404,366,239,401,319,220,167,135,189,89,1010,486,763,555,302,251,242,218,198,171,196,112,690,477,388,225,295,177,260,218,161,135,192,118
