ID_Micro,NIV_1995M01,NIV_1995M02,NIV_1995M03,NIV_1995M04,NIV_1995M05,NIV_1995M06,NIV_1995M07,NIV_1995M08,NIV_1995M09,NIV_1995M10,NIV_1995M11,NIV_1995M12,NIV_1996M01,NIV_1996M02,NIV_1996M03,NIV_1996M04,NIV_1996M05,NIV_1996M06,NIV_1996M07,NIV_1996M08,NIV_1996M09,NIV_1996M10,NIV_1996M11,NIV_1996M12,NIV_1997M01,NIV_1997M02,NIV_1997M03,NIV_1997M04,NIV_1997M05,NIV_1997M06,NIV_1997M07,NIV_1997M08,NIV_1997M09,NIV_1997M10,NIV_1997M11,NIV_1997M12,NIV_1998M01,NIV_1998M02,NIV_1998M03,NIV_1998M04,NIV_1998M05,NIV_1998M06,NIV_1998M07,NIV_1998M08,NIV_1998M09,NIV_1998M10,NIV_1998M11,NIV_1998M12,NIV_1999M01,NIV_1999M02,NIV_1999M03,NIV_1999M04,NIV_1999M05,NIV_1999M06,NIV_1999M07,NIV_1999M08,NIV_1999M09,NIV_1999M10,NIV_1999M11,NIV_1999M12,NIV_2000M01,NIV_2000M02,NIV_2000M03,NIV_2000M04,NIV_2000M05,NIV_2000M06,NIV_2000M07,NIV_2000M08,NIV_2000M09,NIV_2000M10,NIV_2000M11,NIV_2000M12,NIV_2001M01,NIV_2001M02,NIV_2001M03,NIV_2001M04,NIV_2001M05,NIV_2001M06,NIV_2001M07,NIV_2001M08,NIV_2001M09,NIV_2001M10,NIV_2001M11,NIV_2001M12,NIV_2002M01,NIV_2002M02,NIV_2002M03,NIV_2002M04,NIV_2002M05,NIV_2002M06,NIV_2002M07,NIV_2002M08,NIV_2002M09,NIV_2002M10,NIV_2002M11,NIV_2002M12,NIV_2003M01,NIV_2003M02,NIV_2003M03,NIV_2003M04,NIV_2003M05,NIV_2003M06,NIV_2003M07,NIV_2003M08,NIV_2003M09,NIV_2003M10,NIV_2003M11,NIV_2003M12,NIV_2004M01,NIV_2004M02,NIV_2004M03,NIV_2004M04,NIV_2004M05,NIV_2004M06,NIV_2004M07,NIV_2004M08,NIV_2004M09,NIV_2004M10,NIV_2004M11,NIV_2004M12,NIV_2005M01,NIV_2005M02,NIV_2005M03,NIV_2005M04,NIV_2005M05,NIV_2005M06,NIV_2005M07,NIV_2005M08,NIV_2005M09,NIV_2005M10,NIV_2005M11,NIV_2005M12,NIV_2006M01,NIV_2006M02,NIV_2006M03,NIV_2006M04,NIV_2006M05,NIV_2006M06,NIV_2006M07,NIV_2006M08,NIV_2006M09,NIV_2006M10,NIV_2006M11,NIV_2006M12,NIV_2007M01,NIV_2007M02,NIV_2007M03,NIV_2007M04,NIV_2007M05,NIV_2007M06,NIV_2007M07,NIV_2007M08,NIV_2007M09,NIV_2007M10,NIV_2007M11,NIV_2007M12,NIV_2008M01,NIV_2008M02,NIV_2008M03,NIV_2008M04,NIV_2008M05,NIV_2008M06,NIV_2008M07,NIV_2008M08,NIV_2008M09,NIV_2008M10,NIV_2008M11,NIV_2008M12,NIV_2009M01,NIV_2009M02,NIV_2009M03,NIV_2009M04,NIV_2009M05,NIV_2009M06,NIV_2009M07,NIV_2009M08,NIV_2009M09,NIV_2009M10,NIV_2009M11,NIV_2009M12,NIV_2010M01,NIV_2010M02,NIV_2010M03,NIV_2010M04,NIV_2010M05,NIV_2010M06,NIV_2010M07,NIV_2010M08,NIV_2010M09,NIV_2010M10,NIV_2010M11,NIV_2010M12,NIV_2011M01,NIV_2011M02,NIV_2011M03,NIV_2011M04,NIV_2011M05,NIV_2011M06,NIV_2011M07,NIV_2011M08,NIV_2011M09,NIV_2011M10,NIV_2011M11,NIV_2011M12,NIV_2012M01,NIV_2012M02,NIV_2012M03,NIV_2012M04,NIV_2012M05,NIV_2012M06,NIV_2012M07,NIV_2012M08,NIV_2012M09,NIV_2012M10,NIV_2012M11,NIV_2012M12,NIV_2013M01,NIV_2013M02,NIV_2013M03,NIV_2013M04,NIV_2013M05,NIV_2013M06,NIV_2013M07,NIV_2013M08,NIV_2013M09,NIV_2013M10,NIV_2013M11,NIV_2013M12,NIV_2014M01,NIV_2014M02,NIV_2014M03,NIV_2014M04,NIV_2014M05,NIV_2014M06,NIV_2014M07,NIV_2014M08,NIV_2014M09,NIV_2014M10,NIV_2014M11,NIV_2014M12,NIV_2015M01,NIV_2015M02,NIV_2015M03,NIV_2015M04,NIV_2015M05,NIV_2015M06,NIV_2015M07,NIV_2015M08,NIV_2015M09,NIV_2015M10,NIV_2015M11,NIV_2015M12,NIV_2016M01,NIV_2016M02,NIV_2016M03,NIV_2016M04,NIV_2016M05,NIV_2016M06,NIV_2016M07,NIV_2016M08,NIV_2016M09,NIV_2016M10,NIV_2016M11,NIV_2016M12,NIV_2017M01,NIV_2017M02,NIV_2017M03,NIV_2017M04,NIV_2017M05,NIV_2017M06,NIV_2017M07,NIV_2017M08,NIV_2017M09,NIV_2017M10,NIV_2017M11,NIV_2017M12,NIV_2018M01,NIV_2018M02,NIV_2018M03,NIV_2018M04,NIV_2018M05,NIV_2018M06,NIV_2018M07,NIV_2018M08,NIV_2018M09,NIV_2018M10,NIV_2018M11,NIV_2018M12
11001,77529,77779,78279,78854,79627,79957,80032,80435,80675,80755,80644,80256,80467,80713,80822,81163,81502,81492,81781,82119,82412,82358,82335,81288,81763,82326,82652,85258,88274,89030,89692,90629,91580,92073,92474,91024,91035,91710,91883,92223,92827,92345,92788,92643,92721,92848,92617,91982,92296,92513,93304,93590,94208,94553,94885,95225,95379,95712,95891,95680,96606,96680,96828,92701,91090,91529,92044,92605,92706,92954,93029,92417,93103,93935,94537,95520,96283,97128,97901,98593,98843,99073,99273,98200,99182,100223,101979,102543,103793,104237,104784,106253,107087,107507,108017,106085,107576,108477,108798,109252,111189,111738,112178,112653,113393,113791,114332,113446,112984,113706,114725,116316,117857,119070,120390,121476,122388,122118,121871,120684,122157,123003,123893,125783,127566,128629,128844,130448,131158,131627,131413,129733,130641,131512,132246,134062,135086,135903,136480,137264,137767,138184,138233,136267,136948,138001,138858,140556,140698,142479,143724,144474,145414,145960,146219,144881,145945,146836,148157,149285,149966,150973,152705,154122,155919,157662,158328,156289,159114,162417,165603,166606,169020,171375,173659,176451,179757,183244,185793,183842,187239,190265,195112,198482,202957,205450,208430,210700,213281,214546,215428,214127,216883,221995,225030,226400,227138,228784,230754,231618,232769,233520,232255,229765,232043,233689,234734,233343,235452,237304,239168,240349,241384,240969,240557,235731,237600,238626,238827,241333,240215,240362,241229,241278,240736,239891,237180,234548,235968,237179,237619,238482,239797,240804,241248,241244,240527,239588,238066,234703,232898,232565,233421,233252,233044,232917,232787,233914,234207,232491,229963,226697,227383,226816,226614,226573,226259,225674,224525,224194,223460,221654,220198,217117,217746,218375,218456,218425,218617,218409,218250,219005,219443,219296,219112,217364,218382,218859,218982,219548,219853,220104,220656,220934,220939,220390,219383,216100
11002,1564,1597,1623,1632,1663,1709,1765,1776,1790,1772,1784,1771,1821,1842,1920,1940,1956,1964,1925,1934,1947,1911,1858,1735,1750,1742,1865,1906,1960,1978,1979,1999,2060,2078,2085,1888,1797,2143,2405,2479,2406,2378,2300,2212,2131,2033,1939,1805,1821,1764,1812,1844,1840,1866,2032,2079,2097,2099,2061,1953,2079,2210,2366,2491,2549,2577,2757,2786,2751,2695,2680,2494,2577,2634,2772,2779,2821,2844,2903,2814,2884,2916,2929,2823,2801,2857,2859,2936,3010,3082,3149,3117,3143,3152,3209,3157,3225,3302,3331,3401,3460,3463,3468,3480,3529,3539,3553,3496,3463,3464,3556,3705,3790,3843,3863,3973,4028,4173,4162,3929,4034,4067,4148,4403,4508,4538,4568,4634,4921,4874,4884,4675,4574,4741,4915,4990,5039,5023,5007,4988,5043,5075,5082,4878,4881,5026,5183,5202,5287,5404,5488,5520,5639,5693,5714,5636,5634,5654,5778,5802,5797,5926,5925,5953,5977,5950,5958,5698,5797,5842,5931,6020,6137,6203,6274,6340,6347,6421,6477,6338,6361,6403,6372,6443,6526,6566,6570,6612,6732,6720,6720,6601,6492,6576,6840,6953,7164,7024,7078,7201,7273,7229,7161,6919,6963,7152,7224,7293,7404,7423,7588,7647,7705,7582,7554,7398,7407,7519,7547,7623,7708,7743,7761,8001,7804,7840,7809,7697,7753,7836,7799,7779,7844,7889,7897,7997,8034,8080,8112,8003,7995,8041,8085,8083,8092,8087,8075,8095,8068,7887,8010,7906,7943,8044,8028,8032,8038,8062,8042,8006,7980,7972,7866,7590,7759,7917,7932,8010,7942,7941,7967,7990,8026,8046,8002,7935,7985,8053,8108,8127,8142,8140,8075,8134,8159,8184,8167,8094
11003,4094,4123,4264,4414,4385,4477,4468,4467,4485,4458,4483,4332,4429,4431,4572,4566,4604,4684,4825,4955,5244,5233,5180,5017,5117,5162,5279,5393,5572,5768,5882,6177,6398,6503,6556,6352,6551,6987,7167,7278,7284,7341,7356,7481,7536,7563,7508,6899,6978,7177,7538,7795,7976,8190,8329,8431,8749,8954,8938,8589,8789,9052,9293,9550,9910,9944,10086,10060,10172,10333,10272,9836,10074,10355,10435,10510,10773,10976,11152,11690,11806,11777,11734,10992,11174,11494,12023,12501,12750,12846,12939,12970,13073,13078,13092,12563,13183,13417,13934,14000,14088,14316,14392,14465,14641,14638,14638,14325,14475,14484,14901,15207,15430,15740,15792,16091,16225,16264,16521,15899,16416,16756,17165,17469,17849,18225,18356,18701,18880,19014,18849,18224,18643,19036,19071,19252,19377,19687,19809,20055,20178,20269,20202,19615,19548,20079,20663,20889,21268,21628,21931,22112,22329,22453,22375,21663,21879,22197,22508,22646,22631,22903,23119,23200,23516,23476,23366,22506,22957,23329,23482,23664,23973,24284,24446,24862,24962,25158,25073,24224,25044,25346,25573,26007,26266,26570,26801,27066,27312,27284,27063,26466,26693,27368,27791,28179,28340,28549,28837,29154,29173,29259,29311,28517,28641,28930,29206,29789,30107,30327,30733,30990,31123,31087,30727,29852,30243,30682,30863,31406,31815,31876,32023,32165,32295,32450,32178,31733,31846,32162,32307,32515,32595,32834,32893,33090,33329,33360,33004,32309,32450,32709,32775,33011,33146,32848,32863,32720,32680,32496,32285,31828,31936,32086,32105,32311,32350,32467,32441,32535,32580,32307,31782,31147,31568,32110,32185,32320,32447,32611,32573,32620,32642,32537,32277,31627,31700,31916,32189,32297,32437,32414,32490,32586,32737,32777,32735,32486
11004,13337,13458,13789,14065,14414,14549,14840,15085,15207,15205,15170,14885,14992,15242,15544,15815,16224,16553,17293,17365,17331,17366,17259,15809,15895,16041,16384,16577,16896,17204,17534,17859,17903,18451,18472,18011,18614,18896,18300,19286,19763,20020,20236,20200,20137,20203,20203,19874,20113,20328,20469,20729,21151,21428,21550,21841,21958,21976,22035,21878,22399,22716,23028,23512,23845,24599,25169,25519,25947,26038,25945,24905,25322,25573,26099,26876,27488,27844,28228,28297,28442,28472,28148,27178,27507,27602,28102,28643,28683,28875,29118,29561,30178,30183,30148,29418,29688,29839,29844,30217,30700,30962,30978,31257,31298,31565,31810,31168,31284,31491,31838,32350,32662,32966,33497,33623,33690,33521,33701,32789,33763,34088,34217,34587,34953,35503,35991,36444,36516,36337,36344,36048,36184,36554,36718,37389,37851,38099,38571,38875,38867,38857,38707,38151,38819,38997,39475,39884,40539,40846,41193,41386,41625,41828,41895,41472,41846,42197,42465,42768,43373,43747,44094,44268,44574,44413,44617,43376,43935,44371,44907,45184,45545,46302,46620,47123,47693,47882,48098,47187,47929,48343,48659,49257,49053,49483,49708,49574,49887,49846,49880,49135,49724,50188,50310,50769,51421,51646,52202,52694,52925,53051,53191,52727,53103,53528,53731,55172,55907,56696,57182,57145,57507,57393,56899,55248,55685,56223,56754,57484,58017,58255,58463,58869,59209,59235,58944,58486,58583,58924,59480,59925,60194,60430,60982,61303,61500,61767,61698,61125,61378,61580,61488,61745,61696,61638,61850,61955,61933,61802,61684,61299,61237,61496,61976,61816,61596,61768,61737,62060,62108,61703,60935,60351,60869,61513,61780,62122,62152,62523,62802,63055,63337,63620,63354,62783,63454,63916,64215,64470,64691,64607,65027,65095,65292,65080,65173,64593
11005,984,1071,1088,1129,1146,1171,1179,1174,1173,1178,1175,1161,1158,1165,1171,1278,1290,1304,1315,1315,1327,1312,1335,1363,1423,1438,1540,1570,1594,1716,1744,1886,2104,2090,2094,1947,1983,2068,2129,2144,2121,2085,2079,2057,2044,2045,2025,1972,1979,1992,2059,2056,2077,2112,2271,2387,2439,2438,2451,2383,2397,2523,2556,2600,2649,2708,2913,3018,3014,2972,2961,2818,2905,2873,2886,2916,2973,3112,3230,3353,3336,3308,3245,3179,3224,3228,3208,3287,3304,3428,3501,3539,3555,3558,3489,3438,3488,3489,3490,3590,3643,3692,3702,3731,3770,3772,3763,3767,3765,3847,3920,3976,4050,4138,4197,4225,4246,4379,4381,4273,4417,4429,4394,4440,4524,4568,4643,4673,4779,4767,4709,4672,4707,4708,4640,4707,4824,4842,4890,4950,4911,4921,4889,4848,4855,4892,4978,5044,5065,5119,5154,5222,5262,5339,5388,5319,5436,5514,5660,5699,5834,5966,5952,5965,6007,5906,5878,5724,5991,6093,6190,6245,6438,6825,7073,7105,7151,7288,7194,6686,6734,6801,7029,7231,7644,7628,7707,7774,7702,7494,7355,7256,7342,7343,7504,7652,7899,8090,8260,8289,8300,8113,7837,7478,7529,7535,8252,8388,8540,8719,8895,8831,8886,8754,8749,8613,8733,8920,8959,9039,9135,9191,9298,9410,9450,9538,9550,9455,9450,9477,9460,9536,9652,9701,9806,9839,9972,9974,10012,9923,9952,9954,10047,10050,10060,10051,10112,10255,10275,10230,10218,10026,10038,10071,10156,10186,10175,10223,10249,10248,10274,10232,10097,9959,10083,10205,10212,10316,10330,10336,10464,10538,10510,10527,10523,10500,10487,10461,10464,10543,10601,10680,10727,10786,10771,10799,10773,10737
11006,7257,7407,7438,7595,7918,7976,8069,8227,8318,8286,8247,7873,7894,7924,8129,8298,8473,9121,9340,9392,9463,9472,9512,9436,9495,9702,9856,10065,10333,11172,11559,11854,12037,12176,12205,11603,11769,11990,12259,12399,12721,12951,13145,13017,13057,13094,13014,12892,12901,13111,13523,13689,14000,14449,14561,14798,14951,15109,15039,14516,14799,14864,15221,15430,15748,16257,16764,17278,17689,17842,17853,17481,17584,17716,18252,18527,18444,18610,18853,19078,19556,19649,19517,19141,19331,19331,19561,19872,20099,20356,20788,20973,21492,21532,21576,21185,21331,21487,21697,21753,21962,22478,23142,23374,23532,23699,23664,22911,23243,23503,23578,23992,24265,24447,24973,25488,25657,25619,25596,24633,25031,25514,25285,25500,25771,26311,26415,26487,26717,26890,27072,26346,26496,26686,26742,27240,27725,28244,28740,29093,29463,29511,29547,28939,29019,29369,29741,30311,31073,31287,31613,31792,32107,32381,32304,31854,32125,32413,32694,33153,33184,33804,34201,34517,34390,33964,34018,33202,33545,33970,33940,34228,34645,35053,35392,35797,35832,35950,35802,34887,35426,36007,36149,36364,36757,37193,37675,37780,38015,37587,37702,37107,37681,37910,38265,38673,39038,39510,39558,39707,39922,40320,40495,40086,40301,40642,40793,40896,41350,41990,42508,42822,42784,42424,42823,42226,42734,43186,43375,43892,44030,44269,44702,45203,45474,45579,45560,44976,45627,46214,46599,47097,47539,47904,48164,48768,49213,49192,49205,48720,48954,49131,49525,49689,49906,50092,50059,49902,49751,49191,48522,47843,47817,48106,48405,48642,48551,48625,48748,48846,49096,48931,48228,47478,47772,48102,48201,48357,48452,48638,48989,49654,49871,49782,49582,49297,49513,49741,49734,49843,50162,49975,50206,50496,50684,50760,50539,50264
11007,7055,7054,7060,7246,7334,7320,7265,7197,7137,7075,6976,6658,6749,6790,6869,6945,7156,7613,7613,7866,7859,7824,7786,7609,7678,7753,7881,8073,8289,8506,8735,8898,9113,9575,9471,9140,9213,9338,9515,9700,9891,9910,10045,10021,10094,10211,10040,9767,9879,9925,10153,10285,10329,10595,10580,10797,10961,11053,10927,10731,10873,11083,11178,11320,11509,11729,11850,12021,12178,12528,12448,12113,12363,12589,12776,13073,13123,13333,13436,13602,13720,13859,13688,13519,13691,13935,14240,14421,14597,14748,14928,15211,15399,15539,15531,15419,15691,15663,15745,15865,16120,16523,16725,17017,17280,17455,17423,17113,17343,17580,17821,17878,18290,18628,18857,19231,19342,19421,19369,18900,19087,19306,19499,19841,19971,20298,20401,20373,20606,20731,20751,20355,20578,20883,21009,21391,21694,21651,21948,22325,22658,22873,22837,22419,22764,23164,23522,23678,23948,24247,24618,24747,24783,25126,25078,24592,25166,25566,25891,26073,26087,26433,26413,26682,26719,26485,26657,26097,26711,27026,27362,27613,28079,28503,28787,29280,29422,29462,29350,29015,29442,29638,29715,29973,30262,30528,30700,30740,31330,31463,31402,31035,31407,31938,31982,32145,32633,32867,32685,32951,32922,32335,32801,32412,32714,32961,33108,33253,33392,33912,34371,35006,35243,34983,34843,34438,35221,35538,35754,35959,36188,36224,36433,36647,36888,37068,36993,36578,36927,37344,37570,37735,38221,38496,38868,39451,39599,39493,39415,38788,38978,39327,39250,39517,39235,39317,39284,39394,39582,39541,39320,38972,39261,39580,39462,39447,39656,39815,39841,39941,40021,39623,39273,37871,39092,39370,39170,39430,39466,39604,39923,40281,40372,40570,40632,40322,40708,41059,41376,41571,41829,41792,42037,42131,42500,42466,42348,42093
11008,1853,1994,2110,2125,2138,2176,2161,2155,2161,2182,2116,2066,2103,2108,2150,2336,2334,2333,2351,2343,2340,2318,2310,2213,2374,2495,2630,2784,2967,2986,3008,2984,2987,3043,3067,2751,2788,3009,3134,3178,3431,3538,3567,3570,3576,3544,3544,3280,3283,3389,3477,3491,3621,3754,3796,3793,3793,3761,3746,3487,3564,3711,3736,3734,3768,3889,3934,3969,4004,4025,4160,3714,3918,4077,4094,4256,4284,4307,4335,4345,4391,4378,4376,4102,4184,4230,4353,4387,4408,4471,4469,4597,4665,4684,4697,4624,4685,4720,4756,4810,4816,5006,5161,5017,5059,5088,5110,4946,5068,5077,5159,5115,5174,5195,5278,5333,5348,5355,5348,5092,5207,5244,5340,5501,5501,5546,5480,5536,5660,5786,5758,5566,5600,5663,5668,5759,5754,5843,5917,5929,6003,5901,5933,5825,5829,5900,5922,5943,6074,6116,6204,6227,6237,6307,6298,6211,6228,6309,6326,6384,6441,6484,6589,6674,6726,6750,6720,6267,6404,6539,6619,6628,6787,6878,6977,7065,7127,7230,7170,7013,7003,7063,7073,7086,7172,6875,6918,6996,6997,6891,6915,6786,6925,7034,7098,7095,7153,7176,7292,7338,7410,7426,7468,7308,7396,7534,7640,7672,7778,7824,8025,8140,8170,8179,8069,7998,8074,8141,8216,8191,8183,8209,8244,8335,8324,8412,8426,8362,8327,8310,8345,8304,8361,8458,8565,8653,8667,8708,8714,8638,8729,8839,8845,8751,8774,8774,8875,8868,8937,8939,8893,8795,8792,8867,8865,8858,8827,8891,8918,8929,8951,8971,8888,8742,8923,9052,9078,8959,8997,9030,9074,9069,9141,9175,9120,9082,9125,9174,9152,9112,9147,9109,9151,9172,9193,9229,9190,9129
12001,1882,1895,1908,1918,1954,1974,2008,2017,2018,2006,2015,2021,2048,2025,2061,2102,2176,2200,2227,2218,2215,2244,2210,2203,2204,2182,2188,2168,2174,2186,2202,2201,2245,2235,2239,2213,2253,2247,2349,2364,2451,2465,2461,2477,2478,2458,2450,2422,2439,2435,2431,2437,2455,2478,2489,2497,2511,2518,2487,2464,2472,2514,2590,2609,2659,2758,2781,2810,2819,2847,2822,2699,2781,2808,2979,3028,3110,3196,3184,3174,3188,3209,3185,2964,2987,2999,3340,3575,3619,3584,3671,3716,3710,3704,3675,3614,3644,3692,3714,3744,3759,3799,3785,3825,3848,3894,3870,3841,3947,3968,4049,4087,4139,4125,4187,4313,4392,4308,4307,4247,4321,4510,4617,4728,4809,4955,5107,5171,5304,5305,5332,5132,5126,5177,5208,5455,5646,5734,5830,5880,5853,5888,5869,5606,5653,5728,5734,6007,6186,6293,6646,6697,6703,6699,6673,6373,6426,6526,6623,6773,7064,7447,7551,7642,7696,7718,7515,7214,7344,7377,7533,7938,8150,8331,8477,8779,8779,8841,8805,8397,8242,8312,8426,8790,9055,9184,9374,9518,9553,9545,9309,8723,8758,8952,8939,9397,9522,9829,10035,10046,10117,10114,9942,9623,9696,9731,9977,10127,10260,10512,10637,10847,10954,10809,10697,10429,10641,10636,10896,11355,11594,11958,12225,12406,12496,12520,12395,11884,11899,11832,12029,12199,12331,12528,12594,12719,12722,12676,12416,12340,12361,12346,12439,12704,12911,13108,13119,13135,13096,13060,12754,12460,12393,12450,12558,12665,12654,12712,12767,12770,12735,12609,12043,11765,12035,12077,12286,12458,13289,13405,13526,13670,13694,13686,13539,13247,13472,13465,13669,14050,14081,14201,14359,14407,14423,14329,13882,13749
12002,507,499,499,495,479,475,478,479,476,474,475,466,472,472,525,594,599,699,685,750,773,601,523,523,551,552,555,595,620,516,549,545,515,480,481,475,483,480,486,493,474,477,476,475,478,475,475,466,464,473,480,479,477,480,475,476,458,457,452,447,456,461,469,484,482,490,480,476,601,561,500,491,509,511,505,507,537,579,617,646,644,629,594,574,590,592,788,918,947,958,985,985,992,992,995,981,1003,979,1055,1081,1093,1254,1265,1331,1329,1360,1362,1351,1380,1402,1512,1524,1536,1546,1565,1578,1583,1565,1557,1509,1617,1630,1699,1702,1778,1784,1798,1802,1791,1801,1804,1722,1733,1748,1742,1868,1887,1901,1936,1946,1947,1959,1951,1846,1853,1854,1842,1888,1886,1928,1965,1992,2004,1994,1949,1919,1919,1946,1984,1999,2023,2040,2052,2061,2067,2104,2113,2051,2094,2172,2209,2277,2274,2267,2258,2271,2332,2380,2380,2371,2356,2506,2500,2715,2741,2812,2820,2815,2823,2846,2858,2600,2618,2680,2679,2766,2870,2861,2896,2956,3048,3076,3069,3056,3086,3147,3262,3282,3327,3360,3417,3441,3437,3450,3437,3144,3147,3318,3490,3476,3546,3614,3653,3701,3894,3855,3816,3488,3494,3569,3633,3800,3794,3844,3892,3996,4018,3977,3944,3644,3665,3677,3720,3774,3979,4007,4135,4162,4192,4222,4185,4015,4089,4185,4327,4550,4520,4426,4446,4454,4466,4365,4070,3554,3628,3659,3866,3924,4197,4303,4335,4378,4376,4341,4153,3812,3830,3808,3810,4041,4143,4149,4167,4177,4194,4178,4115,3661
