variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.009026495845971816,-0.02928447981717386,0.038310975663145674,-0.026009268475117864,0.010993316976564567,-0.03700258545168243,0.11792941639293986,0.1689099794565283,-0.05098056306358845,-0.07410797215372167,-0.004679087368141622,-0.06942888478558004,0.12768203597348915,0.12623849399419784,0.0014435419792913073,-0.019048194970693544,-0.04120065740967327,0.022152462438979725,0.0410029736176627,0.06772544647225709,-0.026722472854594392,0.04873845919798736,0.041803536358367026,0.006934922839620335,-0.03901390930599202,-0.061205653298312235,0.022191743992320212,0.022329476398088133,0.024159289347121426,-0.001829812949033293,-0.04847475650241062,-0.02140665960448892,-0.027068096897921702,-0.11200505837649466,-0.09433418990667425,-0.01767086846982041,0.015921953010584744,0.011013622282383732,0.004908330728201012,-0.06267715208964741,2.7480759220663807e-4,-0.06295195968185405,0.10897622207627133,0.15588257958185545,-0.04690635750558411,0.003474236268186104,-0.007754953632058365,0.01122918990024447,-0.024577012335922355,0.05289612170536968,-0.07747313404129202,0.07639040266400077,0.034453544356274894,0.04193685830772587,0.05030488071090211,0.011620938917083297,0.038683941793818816,0.02474353038360544,-0.01323244888038468,0.037975979263990114,-0.07944885823932868,-0.041905822653661044,-0.037543035585667635,0.05470532785572324,0.07454420982360734,-0.019838881967884095,-0.06802405969600489,-0.07548892061306878,0.007464860917063887,-0.13752979859121783,-0.06956761777030594,-0.06796218082091189,0.03402974858631147,0.03284868062588818,0.0011810679604232904,-0.020025700502294796,-0.05059754088662177,0.030571840384326976,0.02373627989883076,0.10383133246400797,-0.08009505256517721,0.027999394500358044,0.055412873715638106,-0.027413479215280062,0.08841095734405258,-0.004745939359291118,0.09315689670334369,-0.058840500022933284,-0.04744602387047963,-0.011394476152453654,0.08487233874088052,0.08212828098079161,0.0027440577600889027,0.029538012436863603,0.015091711899273766,0.014446300537589838,-0.0468170600452158,-0.08882403891037152,0.042006978865155725,0.05509868087693803,0.06283023183888989,-0.007731550961951855,-0.09737416402517596,-0.038781878078891475,-0.05859228594628448,-0.1348309379666084,-0.07918220138939058,-0.055648736577217806,lpim,BR
ln_Selic_aa,-0.004213875000000006,-0.0030187389224083125,-0.0011951360775916933,-0.0031484620000000046,-0.0047354275429525045,0.0015869655429524999,-0.005924264999999998,-0.0010675380619531764,-0.004856726938046821,-0.004976224000000001,-0.003512125151296607,-0.0014640988487033945,-0.003980978999999996,-0.003211742311317189,-7.692366886828065e-4,-0.009035610999999999,-0.0044963389963525715,-0.004539272003647427,-0.0013030830000000104,-0.006686970796632209,0.005383887796632199,-0.007818501999999991,-0.0013746860631495329,-0.006443815936850459,-0.007362024000000009,-0.007651040072039004,2.89016072038995e-4,-0.0031663519999999973,-0.00390624020379113,7.398882037911326e-4,-0.005634845999999999,-0.0033548802765140722,-0.0022799657234859267,-0.003732608999999998,-0.0050987862170746735,0.0013661772170746756,-9.331519999999927e-4,-0.0027688327017983774,0.0018356807017983847,-0.0016903400000000124,-0.0018103507258930996,1.2001072589308721e-4,-0.0013210030000000011,-0.0010254133594746096,-2.955896405253916e-4,-0.001677178999999994,-0.001566078959241604,-1.1110004075838998e-4,0,-8.284936739986679e-4,8.284936739986679e-4,0,-7.823891472471917e-4,7.823891472471917e-4,0,0.0010142606448129972,-0.0010142606448129972,0,0.002280103143062345,-0.002280103143062345,0,-0.0011025344796046803,0.0011025344796046803,0,0.0012781976137650397,-0.0012781976137650397,0,-0.0016875863985429131,0.0016875863985429131,0,-0.001982619184983391,0.001982619184983391,-1.6609490172125874e-10,-0.001114279230554605,0.0011142790644597033,0,-3.976280229296013e-4,3.976280229296013e-4,0,4.582508761145636e-4,-4.582508761145636e-4,0,0.0012871726966759527,-0.0012871726966759527,0,0.002554718807340896,-0.002554718807340896,0,-0.001225597025430469,0.001225597025430469,0,-0.0025391993516364116,0.0025391993516364116,-0.004708764705697595,8.849187172874587e-4,-0.005593683422985054,-0.0018034466412768999,-0.0038388297691201384,0.0020353831278432386,-0.0031373091634108036,-0.003109394095142781,-2.791506826802263e-5,-0.0045475841696603,-0.0025758942499310186,-0.0019716899197292814,-0.0029572266051162005,-0.001355934707515695,-0.0016012918976005056,ln,Selic
ln_IPCA,7.986689999999186e-4,0.002518983125731797,-0.0017203141257318786,-4.986570000014012e-4,-0.0021736747859252355,0.0016750177859238343,-7.986149999990033e-4,-0.0013730101496181241,5.743951496191208e-4,-0.0010970690000000616,0.0025782578515183424,-0.003675326851518404,0.0016966390000003884,-0.0024469708539889773,0.004143609853989366,-0.00539826500000018,-0.0032359852935284245,-0.0021622797064717553,0.0047003319999987525,-5.614251766595685e-4,0.005261757176658321,-5.001449999983976e-4,-4.7387846771150554e-4,-2.6266532286892022e-5,-2.997950000001026e-4,5.296294768130435e-4,-8.294244768131461e-4,0.0025944189999993483,0.0027757301792630186,-1.8131117926367029e-4,-0.0013955320000000881,9.026102434950259e-4,-0.0022981422434951142,0.0015942280000000864,-1.9774668520712569e-4,0.0017919746852072121,-0.0014945629999996157,0.0029350340874819813,-0.004429597087481597,2.989709999994261e-4,-9.803073735461377e-4,0.0012792783735455639,-0.002296012999998709,-0.0012952414963168575,-0.0010007715036818513,0.0012979419999989972,0.0029456390050523213,-0.0016476970050533241,0.0017953879999996758,-0.0014870690677579934,0.003282457067757669,0.008528869000000938,-0.0021518132740082894,0.010680682274009227,-0.009226204000000848,-0.004318144090545001,-0.004908059909455848,-0.004194633000000891,6.068529165642342e-4,-0.004801485916565125,0.00568764100000152,0.0015603730790727083,0.004127267920928811,-2.9905000000063353e-4,0.0022853468270906726,-0.002584396827091306,-0.0065918249999992184,-3.4063469940411213e-4,-0.006251190300595106,0.00360163399999891,0.0018898589138027263,0.0017117750861961837,0.0016955268209617458,-0.0011480747673592172,0.002843601588320963,0.0010957269304299189,0.0014897191651877635,-3.939922347578446e-4,0.0031813966269407246,-1.7925042717108387e-4,0.0033606470541118084,-0.0017881201567835348,-0.0017453156459874828,-4.280451079605196e-5,-0.004384179882624295,0.001057813621357338,-0.005441993503981633,-0.0011996020379818617,-0.0019412644945090824,7.416624565272207e-4,0.00179901860490439,-0.0035683904620172472,0.005367409066921637,-7.987039756169878e-4,5.82876477101348e-4,-0.0013815804527183358,-0.0014997487402599319,0.001254452879861021,-0.002754201620120953,0.0013996159028231148,-2.68143444645957e-4,0.0016677593474690717,0.004087381290640124,0.0011509853157726047,0.0029363959748675197,0.0063476020149799695,0.00105994698126905,0.00528765503371092,ln,IPCA
R1_Admitidos,2353,1468.5283056188196,884.4716943811804,-178,-516.4937485087539,338.4937485087539,-50,146.81179034372656,-196.81179034372656,-797,49.99043751560279,-846.9904375156028,497,809.4600280797537,-312.46002807975367,-370,-53.38571985675942,-316.6142801432406,250,171.36002705223325,78.63997294776675,866,151.05499346260288,714.9450065373971,-598,-1041.02403033988,443.02403033988,-838,-659.8764091674773,-178.12359083252272,394,284.5031933033445,109.49680669665548,-1190,-536.2775081412971,-653.7224918587029,1763,1643.1723908674044,119.82760913259563,-297,-235.07617545494293,-61.92382454505707,-41,317.9920109368575,-358.9920109368575,412,-134.49607723890438,546.4960772389044,-172,415.17310728725334,-587.1731072872533,-446,79.99289920674323,-525.9928992067432,432,404.2268968398484,27.773103160151607,291,106.99793521226077,184.00206478773924,-710,-938.2222867619404,228.22228676194038,135,-46.6009938833396,181.60099388333958,-783,13.498902220849672,-796.4989022208497,-732,-732.9701649384521,0.9701649384520579,1374,1763.8098357651886,-389.8098357651886,1206,-179.460191558132,1385.460191558132,-857,-472.125466331887,-384.874533668113,218,462.8739971668732,-244.8739971668732,-156,214.9432314246077,-370.9432314246077,-330,-541.892941605995,211.89294160599502,437,280.67663268874065,156.32336731125935,233,267.3038155019691,-34.3038155019691,-591,-1003.0076785582459,412.00767855824586,-558,-120.65730508035524,-437.34269491964477,200,-60.85737366678582,260.8573736667858,-1284,-428.534005847659,-855.465994152341,R1,Admitidos
R1_Desligados,-1357,-1153.8484343758905,-203.15156562410948,-178,-81.16881963539987,-96.83118036460013,498,282.6709079832709,215.32909201672908,-685,-579.1119286709129,-105.8880713290871,274,318.2969195707712,-44.296919570771195,30,-101.10288920135591,131.1028892013559,201,-38.03557496279484,239.03557496279484,-48,-396.05873583514455,348.05873583514455,-281,-390.17567476994566,109.17567476994566,-253,-85.19505225300978,-167.80494774699022,431,301.9754274261516,129.0245725738484,374,632.705229639035,-258.705229639035,-1003,-981.4414542337204,-21.55854576627962,244,488.419734310317,-244.41973431031698,313,41.21163630514917,271.78836369485083,-31,-336.4262688284492,305.4262688284492,89,142.62966153350965,-53.62966153350965,-392,-261.24697734665006,-130.75302265334994,131,328.7900453469604,-197.79004534696043,565,-409.7275525112362,974.7275525112361,-437,-622.6738150841,185.67381508410006,689,225.67989231445085,463.32010768554915,-325,-449.28601670646526,124.28601670646526,1544,278.34023407734156,1265.6597659226584,-939,-1225.6631810172714,286.6631810172714,-1421,-862.5348386289477,-558.4651613710523,744,819.8833231908447,-75.88332319084475,-911,-206.04053445986685,-704.9594655401331,291,137.16086553008864,153.83913446991136,-365,-185.83934564670562,-179.16065435329438,212,297.06152388878814,-85.06152388878814,563,234.5864030592316,328.4135969407684,-640,-481.0209487169855,-158.97905128301448,274,383.54568629277725,-109.54568629277725,917,100.35473649711076,816.6452635028893,-1120,-51.05210614867593,-1068.9478938513241,R1,Desligados
R2_Admitidos,232,48.248205117249995,183.75179488275,-10,-77.36282588487853,67.36282588487853,-131,-65.32764322198612,-65.67235677801388,27,9.638904416769154,17.361095583230846,23,-36.33696178361563,59.33696178361563,-52,-58.50506226982842,6.5050622698284215,55,46.77826981806277,8.221730181937232,-50,3.742704416146735,-53.742704416146736,-20,-15.087743243448063,-4.912256756551937,-17,19.35849851922206,-36.35849851922206,-19,-3.1429538690723144,-15.857046130927685,-32,-24.338924335846084,-7.661075664153916,75,103.1615440707494,-28.1615440707494,44,-15.054030954571077,59.054030954571076,-14,10.055238025113017,-24.055238025113017,-37,-41.52636176671406,4.526361766714061,2,-0.8551482641420871,2.855148264142087,10,-12.270669163591723,22.270669163591723,-40,-17.87923498181982,-22.12076501818018,75,45.073607663560736,29.926392336439264,-50,-44.630253255643176,-5.369746744356824,19,-6.47385598927435,25.473855989274348,-41,-5.931052458933607,-35.06894754106639,-6,-63.41787902336408,57.41787902336408,30,39.69195230434988,-9.691952304349883,78,6.442625677585296,71.5573743224147,-44,-30.474135185201614,-13.525864814798386,-27,-9.191707027462181,-17.80829297253782,0,24.81872462575162,-24.81872462575162,-35,-34.07502470192101,-0.9249752980789907,34,29.109039131953082,4.890960868046918,-31,34.62026588497169,-65.62026588497169,10,-2.600200750268558,12.600200750268558,-18,1.8190494606359233,-19.819049460635924,-12,13.498194347447294,-25.498194347447296,-25,-18.02597254548039,-6.974027454519611,R2,Admitidos
R2_Desligados,-213,-160.42347041193955,-52.57652958806045,1,-31.24915822523997,32.24915822523997,12,13.697228620073433,-1.6972286200734334,-36,-53.83257333207985,17.832573332079853,169,10.778555511021418,158.2214444889786,-119,-115.51859437327707,-3.481405626722932,28,-10.182638448082237,38.18263844808224,-47,-13.038402572198931,-33.96159742780107,-33,-25.308312463231587,-7.691687536768413,-1,26.089671693840764,-27.089671693840764,45,31.570177401827902,13.429822598172098,-9,36.492841782596194,-45.492841782596194,-42,11.337040538777012,-53.33704053877701,26,3.7114326009850647,22.288567399014937,-1,8.528351392000818,-9.528351392000818,-1,-27.72028320449576,26.72028320449576,6,-30.652461580519653,36.652461580519656,27,-1.6858147458758277,28.685814745875827,23,-22.140209319316693,45.140209319316696,-49,-64.10849546020872,15.108495460208715,-16,-16.519809690855457,0.5198096908554568,19,41.46516634676136,-22.465166346761357,1,-28.977230550888894,29.977230550888894,50,51.71619460447529,-1.716194604475291,-45,6.692562408736089,-51.69256240873609,-15,-58.15719656484975,43.15719656484975,36,10.183077277566321,25.81692272243368,-28,-26.196258723421547,-1.803741276578453,-9,-66.33962560210496,57.33962560210496,-1,-30.225379755465664,29.225379755465664,-11,20.337895821103395,-31.337895821103395,37,-5.616825108296103,42.616825108296105,-21,-40.33777212355147,19.337772123551467,-4,12.205201422203183,-16.20520142220318,59,-17.06186556172441,76.0618655617244,-44,-3.443068903768866,-40.55693109623113,R2,Desligados
R3_Admitidos,917,526.67175489186,390.32824510814,21,-114.78511818919839,135.78511818919839,-257,-119.7771548486958,-137.2228451513042,-163,-8.4226859818897,-154.57731401811031,39,125.88494662503572,-86.88494662503572,-29,14.852155628069958,-43.85215562806996,33,73.60473676364936,-40.604736763649356,-15,120.1704674271092,-135.1704674271092,-75,-164.652866843423,89.652866843423,-65,12.368763876932608,-77.3687638769326,-159,-12.095971978437518,-146.90402802156248,-218,-124.27876670192191,-93.72123329807809,388,633.1811142376235,-245.18111423762355,199,100.13527924835384,98.86472075164616,67,113.00212387880191,-46.00212387880191,-262,-118.92328204200578,-143.07671795799422,103,64.82820994660226,38.17179005339774,-163,56.126089451004425,-219.12608945100442,121,106.87629796191692,14.123702038083081,19,75.48500981653345,-56.48500981653345,-77,-88.60501188863566,11.605011888635659,-19,-56.68874736365613,37.68874736365613,-20,-108.54318163937879,88.54318163937879,-277,-238.45312333610346,-38.54687666389654,582,291.01343152714884,290.98656847285116,96,-45.15609376953828,141.15609376953827,-254,-173.7825964454627,-80.2174035545373,-117,133.49912733586223,-250.49912733586223,-14,252.9211563021863,-266.9211563021863,25,31.656291857416434,-6.656291857416434,50,139.19951934154946,-89.19951934154946,160,38.13874635469108,121.86125364530892,-126,-263.5459220125207,137.5459220125207,-103,-111.20932766001005,8.209327660010047,-177,-92.43112319159209,-84.56887680840791,-196,-75.47649280590878,-120.52350719409122,R3,Admitidos
R3_Desligados,-139,-155.5155610735493,16.515561073549293,-100,13.767700595582703,-113.76770059558271,210,173.89429799890044,36.10570200109956,-223,-220.1225108841123,-2.8774891158876983,47,96.36921515319418,-49.369215153194176,-66,28.004088591480645,-94.00408859148064,235,127.5475210918045,107.4524789081955,-100,-112.68657531667893,12.686575316678926,-50,-188.6659443989343,138.6659443989343,62,25.834557239786996,36.165442760213004,-4,75.96995802146014,-79.96995802146014,172,95.67079433860786,76.32920566139214,-335,-299.81010080591767,-35.18989919408233,56,-39.70066701280338,95.70066701280338,10,63.322345585126406,-53.322345585126406,-97,-53.33585505128644,-43.66414494871356,71,-5.698874513388205,76.6988745133882,0,-12.392263422135272,12.392263422135272,22,25.598136142535445,-3.598136142535445,-1,-102.99277735609178,101.99277735609178,-132,-52.29035903671564,-79.70964096328436,92,63.05980431747472,28.940195682525278,62,12.749023463009173,49.25097653699083,-70,146.12807685806717,-216.12807685806717,173,-20.457281104980307,193.4572811049803,49,-77.93748214163901,126.93748214163901,-18,-132.39031772341124,114.39031772341124,-190,-106.69148954322846,-83.30851045677154,5,36.763518073998064,-31.763518073998064,-57,-45.931657026376875,-11.068342973623125,29,52.342386006764976,-23.342386006764976,27,18.57378211496721,8.426217885032791,23,-76.59098691100115,99.59098691100115,43,-24.861777078940072,67.86177707894007,-164,26.220198469496758,-190.22019846949675,250,221.72311104774397,28.27688895225603,R3,Desligados
R4_Admitidos,984,528.0134051072436,455.98659489275644,93,-300.762686990936,393.762686990936,-102,37.83471118683724,-139.83471118683724,-313,24.266838187618085,-337.2668381876181,-58,159.08760020402397,-217.08760020402397,184,-26.6824454963308,210.68244549633079,116,-43.708045473124244,159.70804547312423,-103,-70.69047215830302,-32.309527841696976,463,-240.91493236760337,703.9149323676033,-377,-178.11159534095836,-198.88840465904164,-559,-154.46539055511332,-404.53460944488666,13,-139.13323657085957,152.13323657085957,762,626.1092401271693,135.8907598728307,-10,-224.19750006377862,214.19750006377862,-31,87.19357874021304,-118.19357874021304,-314,-5.995049977470373,-308.0049500225296,70,144.40038844089392,-74.40038844089392,-396,62.80707512114586,-458.8070751211459,659,207.8916083031032,451.1083916968968,-195,-153.133547203605,-41.86645279639501,-190,-227.2489088115182,37.24890881151819,-159,95.92089095200652,-254.92089095200652,43,23.82550059887302,19.17449940112698,-452,-358.60872871774393,-93.39127128225607,806,614.0341961387222,191.96580386127778,-53,-203.2199918383957,150.2199918383957,-28,154.23159272942976,-182.23159272942976,400,200.05170408703688,199.94829591296312,109,-162.79613285134954,271.7961328513495,-324,-393.8306334143764,69.8306334143764,175,109.96069755988273,65.03930244011727,43,-49.910447694234364,92.91044769423436,-443,-291.89900993975516,-151.10099006024484,97,154.99081012797524,-57.99081012797524,-232,-86.49373427277601,-145.506265727224,-622,-196.0378775975868,-425.96212240241323,R4,Admitidos
