variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.009026495845971816,-0.019054811104728477,0.028081306950700293,-0.026009268475117864,-0.018828934840922597,-0.007180333634195266,0.11792941639293986,0.11439687718233817,0.00353253921060169,-0.07410797215372167,-0.03388881665202318,-0.04021915550169849,0.12768203597348915,0.07891651703820855,0.0487655189352806,-0.019048194970693544,-0.03340929667606529,0.014361101705371748,0.0410029736176627,0.03487187013351689,0.006131103484145806,0.04873845919798736,0.05993871944185506,-0.0112002602438677,-0.03901390930599202,-0.048643975509172536,0.009630066203180514,0.022329476398088133,0.03623519252686057,-0.013905716128772436,-0.04847475650241062,-0.033601443736215285,-0.014873312766195336,-0.11200505837649466,-0.12491552054202398,0.012910462165529324,0.015921953010584744,-0.00865616756413487,0.024578120574719614,-0.06267715208964741,-0.027218682576404286,-0.03545846951324313,0.10897622207627133,0.12058456849614432,-0.011608346419872989,0.003474236268186104,-0.032453404340614035,0.03592764060880014,-0.024577012335922355,0.05410725919632855,-0.07868427153225091,0.07639040266400077,0.011669660671078903,0.06472074199292187,0.05030488071090211,0.02749063067140252,0.022814250039499592,0.02474353038360544,0.0168182933635635,0.007925237020041939,-0.07944885823932868,-0.017990585787474644,-0.061458272451854035,0.05470532785572324,0.047028000856035264,0.0076773269996879764,-0.06802405969600489,-0.07148117501914764,0.0034571153231427454,-0.13752979859121783,-0.10493622836821298,-0.03259357022300485,0.03402974858631147,-0.008141188542132763,0.04217093712844423,-0.020025700502294796,-0.041880723389682246,0.02185502288738745,0.02373627989883076,0.11996929309616533,-0.09623301319733457,0.027999394500358044,0.00925304874989389,0.018746345750464154,0.08841095734405258,0.03434130341808209,0.05406965392597048,-0.058840500022933284,-0.026336719202511488,-0.032503780820421796,0.08487233874088052,0.07187357164934025,0.01299876709154027,0.029538012436863603,0.001285044341243824,0.02825296809561978,-0.0468170600452158,-0.03150242689261678,-0.015314633152599018,0.05509868087693803,0.05308710183240594,0.0020115790445320927,-0.09737416402517596,-0.06974928467526814,-0.027624879349907816,-0.1348309379666084,-0.09834069809403889,-0.036490239872569497,lpim,BR
ln_Selic_aa,-0.004213875000000006,-0.0032072732580642567,-0.0010066017419357491,-0.0031484620000000046,-0.0022477699186812788,-9.006920813187259e-4,-0.005924264999999998,-0.003382541152528171,-0.002541723847471827,-0.004976224000000001,-0.004247837581781935,-7.283864182180662e-4,-0.003980978999999996,-0.0021334496050774625,-0.0018475293949225331,-0.009035610999999999,-0.003332500684162909,-0.00570311031583709,-0.0013030830000000104,-0.005499991143731644,0.004196908143731633,-0.007818501999999991,-0.001625881986126278,-0.006192620013873713,-0.007362024000000009,-0.004787710673733494,-0.0025743133262665146,-0.0031663519999999973,-0.0056085495012086805,0.002442197501208683,-0.005634845999999999,-0.0027744736011025358,-0.002860372398897463,-0.003732608999999998,-0.003772943874101762,4.0334874101764e-5,-9.331519999999927e-4,-0.0035727566022945717,0.002639604602294579,-0.0016903400000000124,-2.0967894052705953e-4,-0.001480661059472953,-0.0013210030000000011,-0.0019007493767438932,5.797463767438921e-4,-0.001677178999999994,-6.47569643603944e-4,-0.00102960935639605,0,-9.61388943236526e-4,9.61388943236526e-4,0,0.0010711994614366529,-0.0010711994614366529,0,4.8643906514904303e-4,-4.8643906514904303e-4,0,0.0018471286296560525,-0.0018471286296560525,0,-0.0019053885097518358,0.0019053885097518358,0,6.61276788289851e-4,-6.61276788289851e-4,0,-5.342091229998666e-4,5.342091229998666e-4,0,-8.477799567807903e-4,8.477799567807903e-4,-1.6609490172125874e-10,-0.0019720598124842222,0.0019720596463893205,0,-0.0012678381576495322,0.0012678381576495322,0,7.788301002675024e-4,-7.788301002675024e-4,0,0.002129331642557685,-0.002129331642557685,0,-9.109911985826326e-5,9.109911985826326e-5,0,4.2331619694496535e-4,-4.2331619694496535e-4,0,0.001114803636233987,-0.001114803636233987,-0.004708764705697595,-0.0012523151685280836,-0.0034564495371695115,-0.0018034466412768999,-0.00341564521988015,0.00161219857860325,-0.0031373091634108036,-0.0022024342310169296,-9.34874932393874e-4,-0.0045475841696603,-0.00378588636222508,-7.616978074352202e-4,-0.0029572266051162005,-0.002876425162475055,-8.080144264114566e-5,ln,Selic
ln_IPCA,7.986689999999186e-4,0.001273587971993053,-4.7491897199313437e-4,-4.986570000014012e-4,-0.0020446935186083127,0.0015460365186069115,-7.986149999990033e-4,-6.014928689380752e-4,-1.9712213106092816e-4,-0.0010970690000000616,-3.85642787647448e-4,-7.114262123526136e-4,0.0016966390000003884,-5.260830089304088e-4,0.002222722008930797,-0.00539826500000018,-0.002211677818376796,-0.0031865871816233837,0.0047003319999987525,5.168306040761496e-4,0.004183501395922603,-5.001449999983976e-4,0.001178204045767334,-0.0016783490457657315,-2.997950000001026e-4,-2.584235209837196e-4,-4.1371479016383045e-5,0.0025944189999993483,0.0012810178182996275,0.0013134011816997209,-0.0013955320000000881,-3.6542483315731163e-4,-0.0010301071668427765,0.0015942280000000864,0.0011755056991873923,4.1872230081269404e-4,-0.0014945629999996157,8.205974941852515e-4,-0.002315160494184867,2.989709999994261e-4,-0.0016005524098361076,0.0018995234098355337,-0.002296012999998709,3.776951812860599e-5,-0.002333782518127315,0.0012979419999989972,-4.5294401109556397e-4,0.0017508860110945611,0.0017953879999996758,-8.161252202928083e-4,0.002611513220292484,0.008528869000000938,-0.0020914068067924316,0.01062027580679337,-0.009226204000000848,-0.0023745840805337545,-0.006851619919467094,-0.004194633000000891,2.0474912717976992e-4,-0.004399382127180661,0.00568764100000152,0.0011560165095489065,0.004531624490452613,-2.9905000000063353e-4,0.002165192816429841,-0.0024642428164304746,-0.0065918249999992184,-3.904059648620889e-4,-0.00620141903513713,0.00360163399999891,7.987243753453084e-4,0.0028029096246536015,0.0016955268209617458,0.0019668827011323853,-2.7135588017063953e-4,0.0010957269304299189,-0.0022086136418217406,0.0033043405722516595,0.0031813966269407246,-0.0010561925832817682,0.004237589210222493,-0.0017881201567835348,-0.0012724229231618925,-5.156972336216423e-4,-0.004384179882624295,-0.0016096219789167828,-0.002774557903707512,-0.0011996020379818617,-9.392670080504632e-4,-2.603350299313985e-4,0.00179901860490439,8.142109021237135e-5,0.0017175975146920186,-7.987039756169878e-4,-1.9003296459158686e-4,-6.086710110254009e-4,-0.0014997487402599319,0.0015176634976272832,-0.003017412237887215,0.0013996159028231148,-5.460435248360834e-4,0.0019456594276591982,0.004087381290640124,0.0015511567257387603,0.0025362245649013637,0.0063476020149799695,2.6417523690890597e-4,0.006083426778071064,ln,IPCA
R1_Admitidos,2353,1613.6912375598076,739.3087624401924,-178,-731.2674770567652,553.2674770567652,-50,34.8623052722902,-84.8623052722902,-797,-141.16572240517468,-655.8342775948254,497,837.0675971592541,-340.0675971592541,-370,102.83807615498671,-472.8380761549867,250,324.0697912398824,-74.06979123988242,866,62.793198039801126,803.2068019601988,-598,-1124.2504278520169,526.2504278520169,-838,-903.5690239565001,65.56902395650013,394,91.46470448946104,302.53529551053896,-1190,-657.301043506847,-532.698956493153,1763,1900.8250435366126,-137.8250435366126,-297,-51.20821771791202,-245.79178228208798,-41,147.87197051757948,-188.87197051757948,412,-139.32095447451366,551.3209544745137,-172,619.3999547487108,-791.3999547487108,-446,-566.4959910454279,120.4959910454279,432,961.6349464562161,-529.6349464562161,291,108.38765977450456,182.61234022549544,-710,-808.3054200371886,98.30542003718858,135,-601.9623882700257,736.9623882700257,-783,-241.17984406793857,-541.8201559320614,-732,-773.0303880281893,41.03038802818935,1374,1592.1129981510778,-218.11299815107782,1206,148.09469825180827,1057.9053017481917,-857,-437.92029362618985,-419.07970637381015,218,-166.16713930873897,384.16713930873897,-156,428.3908157439792,-584.3908157439791,-330,-30.9490148867564,-299.0509851132436,437,314.60923886238584,122.39076113761416,233,345.4301882159259,-112.43018821592591,-591,-735.0617693863932,144.06176938639317,-558,-302.8662197324733,-255.13378026752667,200,-156.70741947110037,356.70741947110037,-1284,-805.4510034156045,-478.54899658439547,R1,Admitidos
R1_Desligados,-1357,-1595.6683477317017,238.66834773170172,-178,-206.54794261709117,28.547942617091167,498,118.85862233130825,379.14137766869175,-685,-442.33810727132663,-242.66189272867337,274,200.33071197313973,73.66928802686027,30,-24.303166545880856,54.303166545880856,201,-60.22530982762916,261.2253098276292,-48,-280.80766432390834,232.80766432390834,-281,-503.2362138982894,222.2362138982894,-253,56.126960077307416,-309.12696007730744,431,372.3848784468496,58.6151215531504,374,848.9655887905845,-474.96558879058455,-1003,-1227.0624277087106,224.06242770871063,244,103.07376178250394,140.92623821749606,313,-23.901300497953606,336.9013004979536,-31,-454.27523264181207,423.27523264181207,89,91.72493235119634,-2.724932351196344,-392,-346.81384831662143,-45.18615168337857,131,661.9487641412856,-530.9487641412856,565,-61.53943939186436,626.5394393918643,-437,-690.7338079366428,253.73380793664285,689,-76.66369841017143,765.6636984101715,-325,-242.93021746807733,-82.06978253192267,1544,494.51892416103976,1049.4810758389604,-939,-2015.969792764658,1076.969792764658,-1421,-700.6025717727073,-720.3974282272927,744,629.0895454527779,114.91045454722212,-911,-352.1735322522711,-558.8264677477289,291,454.7350054364103,-163.7350054364103,-365,61.81512853727196,-426.81512853727196,212,280.61538675350846,-68.61538675350846,563,388.6891778732481,174.31082212675187,-640,-501.11909465888004,-138.88090534111996,274,229.55742307812577,44.442576921874235,917,300.74303893490253,616.2569610650975,-1120,275.71633680235124,-1395.7163368023512,R1,Desligados
R2_Admitidos,232,83.3487835556267,148.6512164443733,-10,-88.97367567963506,78.97367567963506,-131,-23.875387174958,-107.12461282504199,27,2.3440293436385913,24.655970656361408,23,-36.070136174708324,59.070136174708324,-52,-17.71424291349746,-34.28575708650254,55,67.06854452409235,-12.068544524092346,-50,-10.869355927609433,-39.13064407239057,-20,-25.01859307682366,5.0185930768236595,-17,1.0617446063082312,-18.06174460630823,-19,-11.626688207328867,-7.373311792671133,-32,-43.00892388408839,11.00892388408839,75,70.16221259764242,4.837787402357577,44,34.517006050448266,9.482993949551734,-14,17.651681241992392,-31.651681241992392,-37,-25.223918030582237,-11.776081969417763,2,4.800836723709979,-2.8008367237099794,10,-12.51321058963052,22.513210589630518,-40,10.793455440842564,-50.793455440842564,75,27.13885394284544,47.861146057154556,-50,-47.52294835421968,-2.477051645780321,19,-24.109731178488563,43.10973117848856,-41,-44.87480771591848,3.874807715918479,-6,-62.23385105668363,56.23385105668363,30,38.70317920784702,-8.703179207847022,78,33.891952328893765,44.108047671106235,-44,13.298123449850294,-57.298123449850294,-27,-7.3752433467652585,-19.62475665323474,0,15.991608486611202,-15.991608486611202,-35,3.0228843554940137,-38.022884355494014,34,52.884751741258185,-18.884751741258185,-31,-3.259186512421799,-27.7408134875782,10,9.600460363437072,0.39953963656292757,-18,-19.53505998114243,1.5350599811424317,-12,-3.768718832995148,-8.231281167004852,-25,-47.910531529264915,22.910531529264915,R2,Admitidos
R2_Desligados,-213,-173.99392687991713,-39.006073120082874,1,-25.937945233850318,26.937945233850318,12,16.61035424632902,-4.61035424632902,-36,-38.36076448295002,2.3607644829500174,169,8.77824948568827,160.22175051431174,-119,-88.92924378065779,-30.070756219342215,28,15.358990047695972,12.641009952304028,-47,-11.681335494661662,-35.31866450533834,-33,-48.397402318343964,15.397402318343964,-1,27.88137350606388,-28.88137350606388,45,5.973207587981165,39.026792412018835,-9,80.19270838389953,-89.19270838389953,-42,-5.030362066501546,-36.969637933498454,26,-10.652316475693855,36.65231647569385,-1,-15.481925432684264,14.481925432684264,-1,-16.3178792732217,15.317879273221699,6,-6.0361992745537165,12.036199274553717,27,-6.033665555308353,33.03366555530835,23,2.8606503904223057,20.139349609577692,-49,-50.8468924640419,1.8468924640419004,-16,-37.76663014975887,21.766630149758868,19,27.415874822126916,-8.415874822126916,1,-25.590344493871257,26.590344493871257,50,88.73628723654848,-38.73628723654848,-45,-34.15151792826832,-10.84848207173168,-15,-28.351974719296745,13.351974719296745,36,-6.617099490822156,42.617099490822156,-28,-25.48508298653342,-2.5149170134665795,-9,-22.339280905817994,13.339280905817994,-1,6.115053143197359,-7.115053143197359,-11,15.882128443853496,-26.882128443853496,37,4.096376528600485,32.90362347139951,-21,-50.55595818179229,29.555958181792292,-4,6.477349228635439,-10.47734922863544,59,-13.291449146192043,72.29144914619204,-44,41.64948904093485,-85.64948904093485,R2,Desligados
R3_Admitidos,917,540.2231109042265,376.7768890957735,21,-170.83136274465016,191.83136274465016,-257,-149.74698891114187,-107.25301108885813,-163,22.418724904053764,-185.41872490405376,39,147.31775850536346,-108.31775850536346,-29,25.56132507958288,-54.56132507958288,33,-44.02293866752403,77.02293866752403,-15,119.22585184191554,-134.22585184191553,-75,-112.45953594435292,37.45953594435292,-65,-39.28008245589396,-25.71991754410604,-159,-46.97043790840934,-112.02956209159066,-218,-162.98912396466085,-55.01087603533915,388,611.2199374064808,-223.21993740648077,199,183.38930297245346,15.610697027546536,67,47.04605573248003,19.953944267519972,-262,-180.20883367540785,-81.79116632459215,103,110.59826632917213,-7.598266329172134,-163,7.604136143200137,-170.60413614320015,121,70.38564414600057,50.61435585399943,19,50.46340207507025,-31.46340207507025,-77,-81.76980887333528,4.769808873335279,-19,-83.04647060733215,64.04647060733215,-20,-106.36258771169034,86.36258771169034,-277,-357.3518897168491,80.35188971684909,582,421.38586399780513,160.61413600219487,96,45.578371609358726,50.421628390641274,-254,-49.4803635753166,-204.5196364246834,-117,87.62575177658418,-204.6257517765842,-14,165.35851596741497,-179.35851596741497,25,91.91703104519735,-66.91703104519735,50,41.87060540367889,8.129394596321113,160,39.24739447299792,120.75260552700209,-126,-210.49950936213838,84.49950936213838,-103,-90.717171770515307,-12.282828229484693,-177,-97.18583080240558,-79.81416919759442,-196,-191.36528570117105,-4.634714298828953,R3,Admitidos
R3_Desligados,-139,-207.48949791111892,68.48949791111892,-100,-14.587396250099463,-85.41260374990054,210,137.8477982796579,72.1522017203421,-223,-164.3582160334547,-58.64178396654529,47,129.55909753231097,-82.55909753231097,-66,58.48144219180351,-124.48144219180351,235,53.09944349753275,181.90055650246725,-100,-92.4685300551638,-7.5314699448362035,-50,-140.85751886317323,90.85751886317323,62,24.17054893644256,37.82945106355744,-4,-8.846129315627266,4.846129315627266,172,228.13907909120644,-56.13907909120644,-335,-294.7852257902682,-40.214774209731786,56,2.6279953387985096,53.37200466120149,10,43.07628699819462,-33.07628699819462,-97,-82.91948091874193,-14.080519081258075,71,43.52554356011365,27.474456439886353,0,-9.215049397891136,9.215049397891136,22,-7.978592243351047,29.978592243351045,-1,-56.30422091181887,55.30422091181887,-132,-64.4409541542138,-67.5590458457862,92,80.46618238155779,11.533817618442214,62,96.58803592700392,-34.588035927003915,-70,203.86304247355184,-273.86304247355184,173,-58.746791279471836,231.74679127947184,49,-73.87894981082118,122.87894981082118,-18,-99.4235007108366,81.4235007108366,-190,-123.25219353180061,-66.74780646819939,5,61.23147205919041,-56.23147205919041,-57,20.834700902531935,-77.83470090253194,29,34.24883258556261,-5.24883258556261,27,-3.130474107597152,30.130474107597152,23,-93.60039248698577,116.60039248698577,43,-35.69889899716211,78.6988989971621,-164,-1.6275039745766477,-162.37249602542335,250,402.4166866022591,-152.41668660225912,R3,Desligados
R4_Admitidos,984,521.1323940758979,462.8676059241021,93,-342.2693344861938,435.2693344861938,-102,-50.50285629270064,-51.49714370729936,-313,46.85944541905583,-359.8594454190558,-58,214.64832090400324,-272.64832090400324,184,85.9862799225908,98.0137200774092,116,58.563277832209295,57.436722167790705,-103,-87.86281665418315,-15.137183345816851,463,-225.17791845978897,688.177918459789,-377,-289.6858468198437,-87.31415318015632,-559,-69.61205104512926,-489.38794895487075,13,-54.61104971800796,67.61104971800796,762,583.8279457133876,178.17205428661237,-10,-273.1157991482764,263.1157991482764,-31,83.60106348053802,-114.60106348053802,-314,18.709379292926172,-332.7093792929262,70,248.52420614288314,-178.52420614288314,-396,10.213687324134932,-406.2136873241349,659,401.26481453177263,257.73518546822737,-195,-256.20406023109035,61.20406023109035,-190,-187.58610491615593,-2.413895083844068,-159,-37.64944879107321,-121.35055120892679,43,72.66245195461426,-29.662451954614255,-452,-423.1891548201044,-28.81084517989558,806,623.3171253488754,182.68287465112462,-53,-58.10306513602052,5.103065136020518,-28,152.5703492056603,-180.5703492056603,400,107.61628481698594,292.38371518301403,109,-9.71696539633038,118.71696539633038,-324,-198.79463789246813,-125.20536210753187,175,231.35894555399298,-56.35894555399298,43,-61.80522316208218,104.80522316208217,-443,-262.1187225719948,-180.8812774280052,97,25.386075168201955,71.61392483179804,-232,-69.32897274019005,-162.67102725980993,-622,-284.065233767857,-337.934766232143,R4,Admitidos
