variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lpim,BR
ln_Selic_aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ln,Selic
ln_IPCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ln,IPCA
R1_Admitidos,2353,1650.1250431783253,702.8749568216747,-178,-382.0550769914041,204.05507699140412,-50,-455.65679302465543,405.65679302465543,-797,-399.3809593310755,-397.6190406689245,497,494.3729971705958,2.627002829404205,-370,-217.9929599390053,-152.0070400609947,250,143.43542976955115,106.56457023044885,866,-304.7397373117831,1170.739737311783,-598,-1117.7177517321043,519.7177517321043,-838,-735.9645787673563,-102.03542123264367,394,141.77083263996627,252.22916736003373,-1190,-603.6968994064513,-586.3031005935487,1763,1389.5819923978709,373.41800760212914,-297,-1.4079795366483996,-295.5920204633516,-41,-374.0272843226625,333.0272843226625,412,-635.3753504693058,1047.3753504693059,-172,96.35281118393496,-268.35281118393493,-446,-180.45771950606925,-265.5422804939308,432,435.3917573888858,-3.3917573888858215,291,258.38907194637494,32.61092805362506,-710,-632.8273862693799,-77.17261373062013,135,-172.98001510214857,307.98001510214857,-783,195.98735238120173,-978.9873523812017,-732,-458.7645813876239,-273.2354186123761,1374,1494.9525616780027,-120.95256167800267,1206,180.3828474479578,1025.6171525520422,-857,-749.5948487544712,-107.40515124552883,218,283.15967829632547,-65.15967829632547,-156,-156.04094836570798,0.04094836570797611,-330,-268.6446302626738,-61.355369737326214,437,647.8657325217749,-210.86573252177493,233,-23.258191175128587,256.25819117512856,-591,-807.2757555330828,216.27575553308282,-558,-278.13919757138774,-279.86080242861226,200,-37.78316620125036,237.78316620125037,-1284,-608.5699069766935,-675.4300930233065,R1,Admitidos
R1_Desligados,-1357,-1544.1089180404877,187.10891804048765,-178,138.95692180549676,-316.9569218054968,498,242.2476594371511,255.7523405628489,-685,-142.20211944226094,-542.7978805577391,274,595.8352570793672,-321.83525707936724,30,-5.919586550135676,35.919586550135676,201,32.81070218846017,168.18929781153983,-48,-129.15654111382335,81.15654111382335,-281,-40.0061575255408,-240.9938424744592,-253,469.3759539315747,-722.3759539315747,431,745.8222482794025,-314.8222482794025,374,178.00757438806866,195.99242561193134,-1003,-1209.2296406593468,206.22964065934684,244,158.21925851205643,85.78074148794357,313,87.71839648612772,225.28160351387228,-31,-103.1174594606739,72.1174594606739,89,213.4630961702155,-124.4630961702155,-392,-293.525793490962,-98.47420650903803,131,245.56699313477301,-114.56699313477301,565,-0.6628787820293098,565.6628787820293,-437,-678.9875329440024,241.9875329440024,689,174.27908935035467,514.7209106496454,-325,-258.58276654514106,-66.41723345485894,1544,-197.33764414379928,1741.3376441437993,-939,-1930.2814150416207,991.2814150416207,-1421,-982.3774780082092,-438.6225219917908,744,305.76326019570354,438.23673980429646,-911,-227.5845301217704,-683.4154698782296,291,747.9993676104709,-456.9993676104709,-365,240.42333926379987,-605.4233392637999,212,343.92431730516046,-131.92431730516046,563,601.8729642120566,-38.87296421205656,-640,-182.1609481170021,-457.83905188299786,274,490.592173722147,-216.59217372214698,917,689.7848163534501,227.21518364654992,-1120,-240.81733494175538,-879.1826650582447,R1,Desligados
R2_Admitidos,232,97.8363960529571,134.1636039470429,-10,-34.37025630293885,24.37025630293885,-131,-28.00108742968733,-102.99891257031267,27,-3.7230628947101856,30.723062894710186,23,-41.56647714560567,64.56647714560566,-52,-11.005282157172383,-40.99471784282762,55,69.69548582159898,-14.695485821598979,-50,-33.353574947268676,-16.646425052731324,-20,-32.34255274987628,12.342552749876283,-17,21.981883877428196,-38.981883877428196,-19,-64.92856053816371,45.92856053816371,-32,-13.52234911345184,-18.47765088654816,75,132.03542087926576,-57.03542087926576,44,61.73321632433753,-17.733216324337533,-14,-23.7633913462125,9.7633913462125,-37,-31.244588173763773,-5.755411826236227,2,-7.307361972292286,9.307361972292286,10,11.09560801187886,-1.0956080118788591,-40,34.76482806183572,-74.76482806183571,75,58.12577835226333,16.874221647736668,-50,-19.26907330960308,-30.73092669039692,19,0.5227336697272733,18.477266330272727,-41,-36.044327121700796,-4.955672878299204,-6,5.9319388177604715,-11.931938817760471,30,48.64047501195595,-18.64047501195595,78,48.24154771604558,29.75845228395442,-44,-32.670489294236525,-11.329510705763475,-27,-4.56859137167921,-22.43140862832079,0,-2.3871328487497347,2.3871328487497347,-35,-9.700604875449502,-25.2993951245505,34,22.750525714021023,11.249474285978977,-31,20.118808195392965,-51.118808195392965,10,22.731275370189685,-12.731275370189685,-18,7.1266594365776506,-25.12665943657765,-12,14.958255632600858,-26.95825563260086,-25,18.003254584995325,-43.003254584995325,R2,Admitidos
R2_Desligados,-213,-202.99356058135382,-10.006439418646181,1,10.010102183142553,-9.010102183142553,12,32.956582580985994,-20.956582580985994,-36,-28.304362109311032,-7.6956378906889675,169,37.015621311028795,131.98437868897122,-119,-87.52250160869525,-31.47749839130475,28,0.5046156222792337,27.495384377720768,-47,-32.7511110519212,-14.2488889480788,-33,-5.603985396108705,-27.396014603891295,-1,84.94882523452262,-85.94882523452262,45,52.74342916869827,-7.74342916869827,-9,35.034469011177265,-44.034469011177265,-42,9.765803001338295,-51.7658030013383,26,17.462217410038345,8.537782589961655,-1,5.846153032787527,-6.846153032787527,-1,-1.1493013616168746,0.14930136161687457,6,16.774808656077948,-10.774808656077948,27,10.259345158964383,16.740654841035617,23,-7.656488915109184,30.656488915109186,-49,-48.725217195176,-0.2747828048239995,-16,-2.4424926750201763,-13.557507324979824,19,18.17510681672606,0.8248931832739395,1,7.011273743021423,-6.011273743021423,50,9.873542095085064,40.126457904914936,-45,-51.009254021231115,6.009254021231115,-15,-12.689305404850773,-2.3106945951492275,36,3.7410620775542647,32.25893792244574,-28,-25.844141417452587,-2.1558585825474132,-9,2.225200129570325,-11.225200129570325,-1,13.258366950313544,-14.258366950313544,-11,20.416628346144062,-31.416628346144062,37,16.438925714401616,20.561074285598384,-21,-23.553822996822866,2.5538229968228663,-4,-3.1585350440729663,-0.8414649559270337,59,9.580634095074085,49.41936590492591,-44,-52.6803854646283,8.680385464628301,R2,Desligados
R3_Admitidos,917,474.37324453221237,442.62675546778763,21,-234.2305576297848,255.2305576297848,-257,-252.3740119518482,-4.625988048151811,-163,77.67005400524329,-240.6700540052433,39,-2.405886790422625,41.40588679042263,-29,32.702862868584155,-61.702862868584155,33,-91.65254004809086,124.65254004809086,-15,27.50168308580883,-42.50168308580883,-75,-182.50790175443854,107.50790175443854,-65,-160.6398182797823,95.6398182797823,-159,-194.47006661496707,35.47006661496707,-218,-102.02413043134415,-115.97586956865585,388,724.8525583387725,-336.8525583387725,199,279.3783574509152,-80.37835745091519,67,-9.294233069039457,76.29423306903945,-262,-152.27466648911076,-109.72533351088924,103,69.68426768983714,33.31573231016286,-163,-85.58885170076161,-77.41114829923839,121,10.196616438333194,110.8033835616668,19,-56.952212599900356,75.95221259990035,-77,-106.78301142014718,29.783011420147176,-19,-118.21343476304715,99.21343476304715,-20,-160.4223231089674,140.4223231089674,-277,-252.98162428386192,-24.01837571613808,582,271.3724054071015,310.6275945928985,96,8.424047996443953,87.57595200355604,-254,-79.43947424173197,-174.56052575826803,-117,33.76121886085107,-150.76121886085107,-14,143.64300520149976,-157.64300520149976,25,33.060468255286516,-8.060468255286516,50,72.68984899461832,-22.689848994618316,160,34.38967314994608,125.61032685005392,-126,-169.91916134562115,43.91916134562115,-103,-60.98550737616251,-42.01449262383749,-177,-52.95505368382946,-124.04494631617054,-196,-137.4281864847942,-58.571813515205804,R3,Admitidos
R3_Desligados,-139,-179.2025728769314,40.20257287693141,-100,-66.80343258050803,-33.19656741949197,210,76.77032279198906,133.22967720801094,-223,-247.17306453400093,24.17306453400093,47,79.6454866413005,-32.645486641300494,-66,33.393322385071016,-99.39332238507102,235,106.27421127682612,128.72578872317388,-100,-114.97595659942672,14.975956599426723,-50,-180.99965963672395,130.99965963672395,62,32.41231475095411,29.58768524904589,-4,129.319801023288,-133.319801023288,172,76.43522646476262,95.56477353523738,-335,-285.09941051497253,-49.90058948502747,56,-80.1951602295069,136.19516022950688,10,56.41871934889137,-46.41871934889137,-97,-61.91431284322769,-35.08568715677231,71,62.33553858778026,8.664461412219737,0,-41.738071955506996,41.738071955506996,22,38.53105725556911,-16.53105725556911,-1,-48.62136422594067,47.62136422594067,-132,-82.22648985260136,-49.77351014739864,92,16.641682394497593,75.3583176055024,62,31.141299954455945,30.858700045544055,-70,117.2164309096525,-187.2164309096525,173,-58.303577934466205,231.3035779344662,49,-131.13375210933225,180.13375210933225,-18,-185.16076238459684,167.16076238459684,-190,-204.38559180806558,14.385591808065584,5,72.53362805347246,-67.53362805347246,-57,26.080957573197125,-83.08095757319713,29,86.9677547618918,-57.9677547618918,27,68.2083781451037,-41.208378145103694,23,-70.63623435973633,93.63623435973633,43,5.199040366157689,37.80095963384231,-164,42.4896148151348,-206.48961481513481,250,149.44334956743288,100.55665043256712,R3,Desligados
R4_Admitidos,984,509.9774714428298,474.0225285571702,93,-187.5767528152905,280.5767528152905,-102,-17.10264002155602,-84.89735997844397,-313,-221.21817663012513,-91.78182336987487,-58,-38.140963992655,-19.859036007344997,184,38.277423915448054,145.72257608455195,116,-60.94079212241514,176.94079212241513,-103,-168.5834361149696,65.5834361149696,463,-236.63098175876098,699.630981758761,-377,-421.7974885868371,44.79748858683712,-559,-286.08450936901676,-272.91549063098324,13,68.18233568959354,-55.18233568959354,762,601.6422657633127,160.3577342366873,-10,-311.7251663069812,301.7251663069812,-31,-47.48077791346183,16.48077791346183,-314,-142.73701369762898,-171.26298630237102,70,18.31987961401358,51.68012038598642,-396,38.49622773459973,-434.49622773459976,659,400.4624039933688,258.5375960066312,-195,-205.07925734952994,10.07925734952994,-190,99.62051932371025,-289.62051932371025,-159,-79.709126149788,-79.290873850212,43,131.6092167867749,-88.60921678677491,-452,-236.04963219654098,-215.95036780345902,806,772.3748803337336,33.625119666266414,-53,-28.76250799027983,-24.23749200972017,-28,67.06297168668416,-95.06297168668416,400,21.22530791502087,378.7746920849791,109,-99.56757121832666,208.56757121832666,-324,-391.44200094694185,67.44200094694185,175,70.50668915969072,104.49331084030928,43,-240.82130287864896,283.82130287864896,-443,-325.55149563834294,-117.44850436165706,97,-120.559071785546,217.559071785546,-232,-54.01864238396491,-177.9813576160351,-622,-125.99034169565286,-496.0096583043471,R4,Admitidos
