variavel,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lpim,BR
ln_Selic_aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ln,Selic
ln_IPCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ln,IPCA
R1_Admitidos,1374,1472.4071430674728,-98.40714306747282,1206,83.47497866203628,1122.5250213379636,-857,-796.1394752423682,-60.860524757631765,218,216.9022203641041,1.097779635895904,-156,-230.48204610385557,74.48204610385557,-330,-329.67902403391145,-0.32097596608855383,437,613.3396390226426,-176.3396390226426,233,2.8148914222107484,230.18510857778926,-591,-779.1413276165731,188.1413276165731,-558,-235.3979548499325,-322.6020451500675,200,-34.69052402756009,234.6905240275601,-1284,-650.3531500224992,-633.6468499775008,R1,Admitidos
R1_Desligados,-939,-1947.8770009160946,1008.8770009160946,-1421,-1000.832593456184,-420.167406543816,744,263.4329470070222,480.5670529929778,-911,-303.52434433375106,-607.4756556662489,291,674.8399883226502,-383.83998832265024,-365,199.622505760376,-564.622505760376,212,297.8936148600415,-85.89361486004151,563,584.0761951083027,-21.076195108302727,-640,-193.53046669538958,-446.4695333046104,274,428.1625150563609,-154.16251505636092,917,633.5149821599371,283.48501784006294,-1120,-248.95179485898808,-871.048205141012,R1,Desligados
R2_Admitidos,30,50.0767567866981,-20.0767567866981,78,46.32711972378371,31.67288027621629,-44,-35.52479526328969,-8.47520473671031,-27,-2.882599088889222,-24.117400911110778,0,1.7123610280658106,-1.7123610280658106,-35,-10.730072459492234,-24.269927540507766,34,19.701823504919663,14.298176495080337,-31,18.43840491782789,-49.43840491782789,10,23.12496808444216,-13.124968084442159,-18,9.056687027005527,-27.056687027005527,-12,13.356451898175369,-25.35645189817537,-25,21.40666307465365,-46.40666307465365,R2,Admitidos
R2_Desligados,-45,-53.19199500129381,8.191995001293812,-15,-13.963489633237028,-1.0365103667629718,36,1.6538087828663484,34.34619121713365,-28,-28.2658838902397,0.2658838902396994,-9,2.561152930664856,-11.561152930664857,-1,12.917704010793518,-13.917704010793518,-11,18.711865891945685,-29.711865891945685,37,16.218213451427108,20.781786548572892,-21,-24.12335303709197,3.12335303709197,-4,-5.900136878980856,1.900136878980856,59,6.979267089308798,52.0207329106912,-44,-54.55726751495446,10.55726751495446,R2,Desligados
R3_Admitidos,582,258.07402030752206,323.92597969247794,96,-2.566530777403403,98.5665307774034,-254,-79.16632804038922,-174.8336719596108,-117,21.873282623712623,-138.8732826237126,-14,144.45183143962237,-158.45183143962237,25,18.300377112571933,6.699622887428067,50,63.50565504327431,-13.50565504327431,160,15.049547084166317,144.9504529158337,-126,-174.25786117485006,48.25786117485006,-103,-53.664623431455276,-49.335376568544724,-177,-39.73044304926697,-137.26955695073303,-196,-117.78487546400655,-78.21512453599345,R3,Admitidos
R3_Desligados,173,-54.40471178883301,227.40471178883303,49,-141.26848366872147,190.26848366872147,-18,-188.702151951341,170.702151951341,-190,-199.5084177895842,9.5084177895842,5,59.243442460373316,-54.243442460373316,-57,29.913077648768493,-86.91307764876849,29,93.3891580441386,-64.3891580441386,27,77.0850415447465,-50.0850415447465,23,-64.63769628902699,87.63769628902699,43,7.981578693390276,35.018421306609724,-164,30.243295719673597,-194.2432957196736,250,158.21079981982066,91.78920018017934,R3,Desligados
R4_Admitidos,806,831.3972773081953,-25.39727730819527,-53,9.163110767727854,-62.16311076772786,-28,79.86413323400083,-107.86413323400083,400,-26.299632075476996,426.299632075477,109,-145.10404192733446,254.10404192733446,-324,-402.39728473174176,78.39728473174176,175,63.05728655378692,111.94271344621308,43,-239.31543417494228,282.3154341749423,-443,-315.0491482663426,-127.95085173365737,97,-126.1953788566567,223.1953788566567,-232,-57.842243087620375,-174.15775691237963,-622,-102.07486648724151,-519.9251335127585,R4,Admitidos
R4_Desligados,53,-257.4374876955586,310.4374876955586,-27,-322.2054954968642,295.2054954968642,49,-76.70132778949562,125.70132778949562,59,-273.50000005970253,332.50000005970253,-109,-166.3890282083881,57.38902820838811,-124,-41.9610401937917,-82.0389598062083,159,77.75302415564047,81.24697584435953,132,63.539014790746705,68.4609852092533,-237,-105.97081581873248,-131.0291841812675,166,236.04041996261756,-70.04041996261756,-31,-4.034051002697982,-26.965948997302018,-152,89.46347721474619,-241.4634772147462,R4,Desligados
R5_Admitidos,37,51.93944859770763,-14.939448597707631,27,36.95051277836514,-9.950512778365137,-29,21.237349375005447,-50.23734937500545,102,33.595076975302234,68.40492302469777,-72,-42.194291974859766,-29.805708025140234,-37,80.46528081981515,-117.46528081981515,88,71.48038972816073,16.51961027183927,-19,0.8183816996773565,-19.818381699677357,-2,-7.527380767126289,5.527380767126289,-20,7.711446382435398,-27.711446382435398,-3,9.612768799501346,-12.612768799501346,-113,-26.914132338072598,-86.08586766192741,R5,Admitidos
R5_Desligados,-2,2.6084897468185755,-4.6084897468185755,31,-21.876063426749056,52.876063426749056,67,-5.46144656959016,72.46144656959017,-74,-104.3192243760763,30.319224376076306,-19,-16.98856689580802,-2.0114331041919797,43,-14.115833212432511,57.11583321243251,-5,-38.98028570927575,33.98028570927575,-33,-47.5425059711665,14.542505971166499,-17,19.224184453196465,-36.224184453196465,68,35.381175110491,32.618824889509,-44,-51.539385822105416,7.539385822105416,55,-28.20422423408108,83.20422423408108,R5,Desligados
