variavel,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,regiao
lpim_BR,0.03402974858631147,0.012773751242364385,0.021255997343947085,-0.020025700502294796,-0.04586903403182307,0.02584333352952827,0.02373627989883076,0.11395164707250771,-0.09021536717367695,0.027999394500358044,0.029056160487365076,-0.0010567659870070328,0.08841095734405258,0.05819310544925631,0.03021785189479627,-0.058840500022933284,-0.08214539872267373,0.02330489869974045,0.08487233874088052,0.10864792240485507,-0.02377558366397456,0.029538012436863603,0.02722413273402342,0.002313879702840183,-0.0468170600452158,-0.061388925477786085,0.014571865432570288,0.05509868087693803,0.044169439750224485,0.010929241126713549,-0.09737416402517596,-0.05560387225528683,-0.041770291769889126,-0.1348309379666084,-0.11056000280052641,-0.024270935166081975,lpim
ln_Selic_aa,-1.6609490172125874e-10,0.014057189750526234,-0.014057189916621136,0,0.006821557959113184,-0.006821557959113184,0,-0.00264730472193221,0.00264730472193221,0,-0.004899740035281731,0.004899740035281731,0,-0.02340805986829163,0.02340805986829163,0,0.0014575340347230924,-0.0014575340347230924,0,0.005053894221760882,-0.005053894221760882,-0.004708764705697595,-0.009684853374643098,0.004976088668945503,-0.0018034466412768999,-0.007737568772890236,0.0059341221316133366,-0.0031373091634108036,6.215149974101979e-4,-0.0037588241608210015,-0.0045475841696603,-0.0017782165991023155,-0.0027693675705579845,-0.0029572266051162005,0.007612055964096226,-0.010569282569212426,ln
ln_IPCA,0.0016955268209617458,0.0018799161705546593,-1.843893495929135e-4,0.0010957269304299189,-0.0011250330336143631,0.002220759964044282,0.0031813966269407246,9.705410737628978e-4,0.0022108555531778267,-0.0017881201567835348,-9.82548510338608e-4,-8.055716464449268e-4,-0.004384179882624295,-0.0016870937221443024,-0.0026970861604799926,-0.0011996020379818617,0.0011433714160700567,-0.0023429734540519184,0.00179901860490439,-5.181100635561426e-4,0.0023171286684605325,-7.987039756169878e-4,-0.003230608085507618,0.0024319041098906304,-0.0014997487402599319,0.002084148793388597,-0.003583897533648529,0.0013996159028231148,6.151598926227098e-4,7.84456010200405e-4,0.004087381290640124,0.0011572692577536462,0.0029301120328864777,0.0063476020149799695,0.0013999721473744778,0.004947629867605491,ln
R1_Admitidos,1374,702.409110551846,671.590889448154,1206,269.0489398001135,936.9510601998866,-857,-779.377213843346,-77.622786156654,218,-244.2298164355616,462.2298164355616,-156,205.49717535559168,-361.4971753555917,-330,319.33123907301,-649.33123907301,437,1220.0944063548052,-783.0944063548052,233,990.8353063791503,-757.8353063791503,-591,-735.4254330192986,144.42543301929857,-558,-698.3761297173435,140.37612971734347,200,-472.1077395318521,672.1077395318521,-1284,-1125.472661866911,-158.52733813308896,R1
R1_Desligados,-939,-2365.958401969843,1426.9584019698432,-1421,-659.5219126969904,-761.4780873030096,744,530.0132001355853,213.9867998644147,-911,-584.2296407637482,-326.7703592362518,291,150.5495497662713,140.4504502337287,-365,695.2693376146041,-1060.269337614604,212,1084.7452106134517,-872.7452106134517,563,631.0558938490886,-68.05589384908865,-640,-899.5635165383758,259.5635165383758,274,289.8807503723842,-15.880750372384227,917,820.6474627194278,96.35253728057216,-1120,22.980258646147718,-1142.9802586461478,R1
R2_Admitidos,30,64.16748540078487,-34.16748540078487,78,13.980595646567462,64.01940435343253,-44,27.47928229425849,-71.4792822942585,-27,0.6284725471843728,-27.628472547184373,0,-19.30993429770122,19.30993429770122,-35,-41.85900184253645,6.8590018425364505,34,66.41158448214193,-32.41158448214193,-31,15.922766453802623,-46.92276645380262,10,7.061949829417557,2.938050170582443,-18,-14.531909803523767,-3.4680901964762327,-12,-11.685298506280866,-0.31470149371913436,-25,-61.446113467529536,36.446113467529536,R2
R2_Desligados,-45,-35.85943277193197,-9.14056722806803,-15,-58.3312901917928,43.3312901917928,36,-25.653088676718404,61.653088676718404,-28,-78.65465507591588,50.65465507591588,-9,-5.4957084149145246,-3.5042915850854754,-1,19.86026952008106,-20.86026952008106,-11,-4.574397327836877,-6.425602672163123,37,59.85270994657615,-22.852709946576148,-21,-14.538193291697922,-6.461806708302078,-4,-8.366233695590616,4.366233695590616,59,-7.0288214384442576,66.02882143844425,-44,42.531531795711764,-86.53153179571177,R2
R3_Admitidos,582,319.27264402495894,262.72735597504106,96,88.63879032994416,7.3612096700558425,-254,-207.95554737663795,-46.04445262336205,-117,-45.736076732953535,-71.26392326704647,-14,23.889921434506775,-37.889921434506775,25,93.31095435831847,-68.31095435831847,50,100.71590079750447,-50.715900797504474,160,12.886026181277117,147.11397381872288,-126,-129.16514568015725,3.165145680157252,-103,49.916603419513116,-152.9166034195131,-177,-177.09135627043133,0.09135627043133354,-196,-355.68309221824893,159.68309221824893,R3
R3_Desligados,173,-86.21159784883585,259.2115978488358,49,-93.12806739384044,142.12806739384044,-18,-89.98432782782498,71.98432782782498,-190,-131.2352339835865,-58.76476601641349,5,21.753697189555567,-16.753697189555567,-57,-154.0092474343645,97.00924743436451,29,151.19953416656435,-122.19953416656435,27,67.13782897313013,-40.13782897313013,23,-47.51936429441327,70.51936429441326,43,-36.97984328729501,79.97984328729501,-164,30.246327798680667,-194.24632779868068,250,303.8950066757583,-53.89500667575828,R3
R4_Admitidos,806,812.1565565387598,-6.156556538759787,-53,-45.86431228764168,-7.135687712358319,-28,202.77736456701757,-230.77736456701757,400,-169.68482993879223,569.6848299387923,109,-139.50381345700276,248.50381345700276,-324,-365.57142536669807,41.571425366698065,175,-127.00210977142802,302.002109771428,43,-147.16356082344373,190.16356082344373,-443,-253.44556274656674,-189.55443725343326,97,25.0753394408581,71.9246605591419,-232,-158.45719033687288,-73.54280966312712,-622,-216.6645612293463,-405.3354387706537,R4
