variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
R1_EmpLiqui,3710,2859.303669266369,-850.6963307336309,0,-963.8318191097932,-963.8318191097932,-548,-784.2648189825242,-236.26481898252416,-112,-187.8896448363496,-75.88964483634959,223,-425.6765013552468,-648.6765013552467,-400,-557.3045483753629,-157.30454837536286,49,-284.3249400445576,-333.3249400445576,914,-232.59827153748427,-1146.5982715374844,-317,-855.1412463806003,-538.1412463806003,-585,-1329.3720121088054,-744.3720121088054,-37,-539.9213319789731,-502.92133197897306,-1564,-1159.5259872384809,404.47401276151913,2766,2204.8413789690308,-561.1586210309692,-541,-288.6877308513838,252.31226914861622,-354,-404.8644089441662,-50.8644089441662,443,-134.94173107038225,-577.9417310703823,-261,-373.98197971474184,-112.98197971474184,-54,-235.08102936525157,-181.08102936525157,301,-6.916594064404521,-307.91659406440453,-274,-14.120902287276921,259.8790977127231,-273,161.02411552627947,434.0241155262795,-554,-248.0325387330334,305.9674612669666,-458,199.42131146965772,657.4213114696577,-2276,-126.59891239217404,2149.401087607826,2313,3001.840665977354,688.8406659773541,2627,629.5697677464859,-1997.430232253514,-1601,-1336.9231101629816,264.07688983701837,1129,188.4015764216589,-940.5984235783411,-447,-928.7588783244305,-481.7588783244305,35,-392.7361469018486,-427.7361469018486,225,13.76186898862716,-211.23813101137284,-330,-681.3226797652515,-351.32267976525145,49,-459.7333289783108,-508.7333289783108,-832,-714.730690668397,117.26930933160304,-717,-604.6969155888542,112.30308441114585,-164,-872.3820021835105,-708.3820021835105,R1,EmpLiqui
R2_EmpLiqui,445,237.4877947521428,-207.5122052478572,-11,-119.14863747621774,-108.14863747621774,-143,-133.99073357596572,9.00926642403428,63,-3.8729611699871556,-66.87296116998715,-146,-83.29767219272742,62.70232780727258,67,49.51321858922427,-17.486781410775727,27,33.18735984542316,6.18735984542316,-3,-32.66403075205915,-29.664030752059148,13,-40.32226655901071,-53.32226655901071,-16,-75.75638861281953,-59.756388612819535,-64,-98.1031708658687,-34.103170865868705,-23,-36.247324994610125,-13.247324994610125,117,135.6407915430682,18.64079154306819,18,52.99004618836559,34.99004618836559,-13,-37.40176759795419,-24.40176759795419,-36,-27.19255949225533,8.80744050774467,-4,-43.496927841339,-39.496927841339,-17,-15.341523287893205,1.6584767121067951,-63,36.44975967504617,99.44975967504617,124,82.73313321927121,-41.26686678072879,-34,-34.83964070200024,-0.8396407020002385,0,-25.38965822200252,-25.38965822200252,-42,-42.47975203777436,-0.47975203777436093,-56,-7.753540122439701,48.2464598775603,75,88.89739258184932,13.897392581849317,93,49.444186402925936,-43.555813597074064,-80,-51.637565934141904,28.362434065858096,1,4.923407157351291,3.923407157351291,9,-20.929445872532778,-29.929445872532778,-34,-32.456818549808766,1.5431814501912342,45,2.754566330993893,-42.245433669006104,-68,8.450730815462132,76.45073081546214,31,44.9180000372389,13.918000037238897,-14,2.051216376512114,16.051216376512116,-71,-6.111821445917429,64.88817855408257,19,48.143993961885485,29.143993961885485,R2,EmpLiqui
R3_EmpLiqui,1056,644.6874107918604,-411.31258920813957,121,-262.60431095414003,-383.60431095414003,-467,-419.0522198152051,47.94778018479491,60,149.2711119188988,89.27111191889881,-8,-119.04278182343927,-111.04278182343927,37,-66.44938900554395,-103.44938900554395,-202,-176.2058698003707,25.794130199629308,85,103.24817906471655,18.248179064716552,-25,1.4056247992855058,26.405624799285505,-127,-260.66046884729184,-133.66046884729184,-155,-340.79275899949465,-185.79275899949465,-390,-186.15006598458476,203.84993401541524,723,970.6311243208016,247.63112432080163,143,324.1974394568922,181.1974394568922,57,-162.55845537375353,-219.55845537375353,-165,-100.41260162314691,64.58739837685309,32,1.7450447932291202,-30.25495520677088,-163,-20.45275835380571,142.5472416461943,99,-44.907368193152855,-143.90736819315285,20,-47.83312187289237,-67.83312187289238,55,-63.68798585266439,-118.68798585266438,-111,-207.08135737345424,-96.08135737345424,-82,-267.7153227661812,-185.7153227661812,-207,-426.38123887831915,-219.38123887831915,409,328.7543676974693,-80.24563230253068,47,54.676476045870935,7.676476045870935,-236,34.7468877859415,270.7468877859415,73,130.11530934260693,57.115309342606935,-19,45.61643234707992,64.61643234707992,82,-50.177260668921946,-132.17726066892195,21,-29.096900635943413,-50.09690063594341,133,-30.26905986921166,-163.26905986921167,-149,-92.06009254320516,56.93990745679484,-146,-64.44105539781908,81.55894460218092,-13,-26.246497691981933,-13.246497691981933,-446,-141.46946517421256,304.5305348257874,R3,EmpLiqui
R4_EmpLiqui,1102,460.9519849010791,-641.0480150989209,126,-371.5189342763546,-497.5189342763546,-377,-281.8122843088544,95.18771569114563,75,-268.85651253889296,-343.85651253889296,-312,-404.46953407757064,-92.46953407757064,341,117.93564793103702,-223.064352068963,-92,-282.76249822333995,-190.76249822333995,-26,-20.91771530605835,5.082284693941649,29,-257.18480052873235,-286.18480052873235,1,-589.9882369144799,-590.9882369144799,-549,-702.6599637753341,-153.65996377533406,-305,21.387984963954164,326.3879849639542,1242,933.7304503434924,-308.2695496565076,-209,-233.00993829332057,-24.009938293320573,-163,-198.35125705086222,-35.351257050862216,-44,56.456184571641764,100.45618457164176,-34,-121.56348262465849,-87.56348262465849,-305,63.96744952333568,368.9674495233357,504,335.18564837904506,-168.81435162095494,-352,-145.81224545128808,206.18775454871192,129,118.77671070928507,-10.22328929071493,-409,-37.39929504551305,371.60070495448696,305,42.61807705538409,-262.3819229446159,-673,-360.0115856269352,312.9884143730648,753,999.4819093576871,246.48190935768707,-26,155.47542896963955,181.47542896963955,-77,42.14761342593391,119.14761342593391,341,133.64283047018037,-207.35716952981963,218,-213.97143051059493,-431.9714305105949,-200,-547.3719415574185,-347.3719415574185,16,-54.60319143585934,-70.60319143585934,-89,-254.82277247965968,-165.82277247965968,-206,-184.57508844663778,21.42491155336222,-69,-243.6801106114338,-174.6801106114338,-201,-13.725237838952852,187.27476216104714,-470,-199.3369990791181,270.6630009208819,R4,EmpLiqui
R5_EmpLiqui,262,113.47611134500198,-148.52388865499802,-2,-103.21871766480551,-101.21871766480551,-115,-51.465534513124176,63.534465486875824,97,29.037725382099083,-67.96227461790092,-90,-45.038962635818976,44.961037364181024,-8,-3.5734367488251615,4.426563251174839,122,-20.410537118315847,-142.41053711831586,-54,-106.03679539131912,-52.03679539131912,-102,-71.1677583745714,30.832241625428594,45,-22.22774053253566,-67.22774053253566,-21,-42.767967058321766,-21.767967058321766,-19,-10.105048188165174,8.894951811834826,10,26.018753456102633,16.018753456102633,-13,46.89294124663905,59.89294124663905,29,75.64242273975175,46.64242273975175,76,55.00600146844369,-20.993998531556308,-21,-26.16572937899092,-5.165729378990921,21,9.386418122227013,-11.613581877772987,-32,-22.68359932327395,9.316400676726051,12,-11.076056388146846,-23.076056388146846,-74,-35.83080197083744,38.16919802916256,43,16.315997222288797,-26.684002777711203,-54,-42.84428214478652,11.155717855213481,-10,16.93674707357483,26.93674707357483,39,15.995278609517062,-23.00472139048294,-4,10.985320274996473,14.985320274996473,-96,19.497632494161227,115.49763249416122,176,120.44811901756243,-55.55188098243757,-53,-26.217856139884272,26.782143860115728,-80,43.88168840648205,123.88168840648206,93,65.45421774587774,-27.54578225412226,14,9.59814988175943,-4.401850118240571,15,-39.4834103513359,-54.4834103513359,-88,-48.253420888684666,39.746579111315334,41,0.8450214758101906,-40.15497852418981,-168,-22.40229313360665,145.59770686639334,R5,EmpLiqui
R6_EmpLiqui,1044,599.0734422678291,-444.92655773217086,36,-53.21712811123119,-89.21712811123119,-231,-38.62170094241188,192.37829905758812,57,105.7719729376639,48.771972937663904,-61,-199.7329392352045,-138.7329392352045,91,-13.739324973490241,-104.73932497349024,165,-81.979016452344,-246.979016452344,314,-239.79973239421784,-553.7997323942178,-448,-410.0503900337941,37.94960996620591,-306,-299.1567931046096,6.843206895390381,-111,-379.5195441985848,-268.5195441985848,-85,-304.66285367496454,-219.66285367496454,501,469.28446420614466,-31.715535793855338,12,45.41193027328634,33.41193027328634,-235,-80.95424254709177,154.04575745290822,116,154.03170036925454,38.03170036925454,210,5.219943079403675,-204.78005692059634,-506,-90.22982799865466,415.7701720013454,418,411.40064323045925,-6.599356769540748,59,230.2837289071881,171.2837289071881,-102,-123.52418442550407,-21.524184425504075,-112,-199.43937711636144,-87.43937711636144,-297,-184.62256877982583,112.37743122017417,-54,21.496195099056944,75.49619509905695,523,367.0098686478833,-155.9901313521167,88,-45.36794757362757,-133.36794757362756,-149,-249.11943139347485,-100.11943139347485,73,-40.37211450365373,-113.37211450365373,21,15.434102578386085,-5.565897421613915,296,-329.2508060113692,-625.25080601136915,-196,-280.6681125529724,-84.66811255297239,-594,-94.65755408251627,499.3424459174837,215,292.27577279237937,77.27577279237937,-98,17.643915217113886,115.64391521711389,21,-51.46128595617292,-72.46128595617293,-86,-75.08515647138131,10.91484352861869,R6,EmpLiqui
R7_EmpLiqui,2623,1372.5791125760147,-1250.4208874239853,-943,-927.3592597295199,15.640740270480137,-478,-353.73338795822144,124.26661204177856,460,308.4064380437492,-151.59356195625082,-224,-242.13781107770478,-18.137811077704782,102,194.68420716456114,92.68420716456114,181,-153.15017142546913,-334.1501714254691,39,-196.1834782964337,-235.1834782964337,-267,-200.42693623227223,66.57306376772777,107,-292.49665562773436,-399.49665562773436,-136,-486.5569641069831,-350.5569641069831,-372,-825.8272920359287,-453.82729203592874,696,1061.431641746899,365.431641746899,-35,-154.6294336191888,-119.6294336191888,-34,-384.0369710192294,-350.0369710192294,-122,-54.731435962740484,67.26856403725952,63,-129.83111442847402,-192.83111442847402,-295,-58.817686153689166,236.18231384631082,282,272.3667023088265,-9.633297691173482,-151,50.32946168771332,201.32946168771332,275,15.007061980901684,-259.9929380190983,-403,-130.20638913907825,272.7936108609217,-84,57.43574789077046,141.43574789077047,-137,-20.814172924591972,116.18582707540803,672,446.98847937379736,-225.01152062620264,98,-95.9377481242121,-193.9377481242121,-337,-232.55126316282193,104.44873683717807,-85,63.208928353300514,148.2089283533005,8,86.35021163306325,78.35021163306325,0,-57.01473212525683,-57.01473212525683,149,80.19414477580149,-68.80585522419851,-54,-108.6457906514425,-54.645790651442496,-123,103.08400101825788,226.08400101825788,64,-38.15466364645361,-102.15466364645361,-281,-203.78836730130675,77.21163269869325,-47,6.439930839951513,53.439930839951515,R7,EmpLiqui
R8_EmpLiqui,327,138.62521856099988,-188.37478143900012,-52,-141.45446942446713,-89.45446942446713,-103,-133.73257242585564,-30.732572425855636,-145,-28.058803217640303,116.9411967823597,157,118.66467530555448,-38.33532469444552,-5,3.686959736896561,8.686959736896561,11,-10.354434935161125,-21.354434935161123,-49,-33.30893005005668,15.69106994994332,77,27.740713452954466,-49.259286547045534,-38,-60.63466220043047,-22.63466220043047,-89,-82.95255043749341,6.047449562506586,17,-25.478626319083496,-42.478626319083496,81,142.5674605908672,61.5674605908672,6,48.10688522839562,42.10688522839562,-71,-19.80883081703743,51.19116918296257,-18,-36.80367679042622,-18.803676790426223,75,57.917692059095856,-17.082307940904144,-73,-12.13837298689049,60.86162701310951,80,67.52110947799072,-12.47889052200928,-21,-33.48393383446081,-12.483933834460807,0,25.25742173963653,25.25742173963653,15,2.2820984571759935,-12.717901542824006,-75,-59.21575437302747,15.784245626972528,-22,15.29981453628579,37.299814536285794,180,87.09185696009392,-92.90814303990608,-57,-87.1120849195649,-30.112084919564893,-118,-74.18969487925885,43.81030512074115,-28,36.521836543035135,64.52183654303514,40,107.45074205457787,67.45074205457787,60,26.064022881170494,-33.935977118829506,15,3.9835392217355374,-11.016460778264463,-31,-19.65826964088544,11.34173035911456,-27,16.339064593851294,43.33906459385129,109,49.61367698924144,-59.38632301075856,-70,-102.58778486541685,-32.58778486541685,-60,-45.859310974165055,14.140689025834945,R8,EmpLiqui
R9_EmpLiqui,548,204.0658123802428,-343.9341876197572,-228,-235.9457281129627,-7.945728112962712,167,58.65736614509077,-108.34263385490922,-37,-80.72991637585805,-43.72991637585805,659,-165.5855058713637,-824.5855058713637,-715,-629.1618354665956,85.83816453340444,5,-20.991432878709038,-25.991432878709038,23,-59.76280191221876,-82.76280191221876,-120,-336.6108930471289,-216.6108930471289,-32,-192.1486844089482,-160.1486844089482,-139,-319.4574513949674,-180.4574513949674,-145,46.71743897200169,191.71743897200167,517,257.45060522487483,-259.54939477512517,-232,-126.79335827607426,105.20664172392574,211,248.04508667094953,37.04508667094953,177,122.55322182096349,-54.446778179036514,-350,130.39402031734997,480.39402031734994,89,66.44256353025283,-22.557436469747174,38,118.9645936602392,80.9645936602392,-110,-45.34738292932004,64.65261707067995,-32,-66.56811225209114,-34.56811225209114,-110,-33.881635218621696,76.1183647813783,-353,-61.24627707267519,291.7537229273248,314,241.59010773410014,-72.40989226589986,269,260.1787631174885,-8.821236882511528,-130,-121.2947670963539,8.705232903646106,705,230.22739878872082,-474.77260121127915,-225,-381.71282938297105,-156.71282938297105,-236,-376.54099289279714,-140.54099289279714,-44,-9.866841399299098,34.1331586007009,-280,-68.44241820404216,211.55758179595784,274,64.94111030388744,-209.05888969611254,-40,-217.40958785004176,-177.40958785004176,-234,-274.6961311430231,-40.69613114302308,4,-230.76834666280325,-234.76834666280325,-48,3.5107664766507725,51.51076647665077,R9,EmpLiqui
R10_EmpLiqui,590,430.89059577181837,-159.10940422818163,-43,-10.38118426682173,32.618815733178266,176,123.6022263644509,-52.3977736355491,-149,-60.265758220833675,88.73424177916633,215,-97.63706229327488,-312.6370622932749,-167,-323.55761214137294,-156.55761214137294,-74,-21.828750817607908,52.17124918239209,11,63.774883599950726,52.774883599950726,-45,-23.726980428329203,21.273019571670797,-33,-129.30389638670687,-96.30389638670687,-153,-231.59718485654875,-78.59718485654875,-153,-74.28782584734405,78.71217415265595,359,286.9489037484966,-72.0510962515034,-40,2.340044738379201,42.3400447383792,24,143.82223184827967,119.82223184827967,229,89.34551083642661,-139.65448916357337,-129,-44.04120027837847,84.95879972162153,-96,-45.98927591087287,50.01072408912713,12,32.29675903147251,20.29675903147251,-8,43.95924030277609,51.95924030277609,7,-16.582558262729357,-23.582558262729357,-33,-59.129789762343556,-26.129789762343556,-47,-134.5894406486706,-87.5894406486706,-391,-133.04937641063546,257.95062358936457,433,343.28801861990274,-89.71198138009726,-48,-38.98738814422793,9.012611855772072,50,119.63910081182169,69.63910081182169,421,154.37852930265097,-266.621470697349,-57,-271.24713210696063,-214.24713210696063,-330,-277.4218123210683,52.57818767893173,-239,17.83856710603594,256.83856710603595,255,219.2062327136928,-35.7937672863072,-77,-47.80227939023697,29.19772060976303,69,53.06143232058993,-15.93856767941007,-56,-92.66532887257863,-36.66532887257863,-5,-220.50169313047985,-215.50169313047985,R10,EmpLiqui
