variavel,Actual_2017M01,Forecast_2017M01,Error_2017M01,Actual_2017M02,Forecast_2017M02,Error_2017M02,Actual_2017M03,Forecast_2017M03,Error_2017M03,Actual_2017M04,Forecast_2017M04,Error_2017M04,Actual_2017M05,Forecast_2017M05,Error_2017M05,Actual_2017M06,Forecast_2017M06,Error_2017M06,Actual_2017M07,Forecast_2017M07,Error_2017M07,Actual_2017M08,Forecast_2017M08,Error_2017M08,Actual_2017M09,Forecast_2017M09,Error_2017M09,Actual_2017M10,Forecast_2017M10,Error_2017M10,Actual_2017M11,Forecast_2017M11,Error_2017M11,Actual_2017M12,Forecast_2017M12,Error_2017M12,Actual_2018M01,Forecast_2018M01,Error_2018M01,Actual_2018M02,Forecast_2018M02,Error_2018M02,Actual_2018M03,Forecast_2018M03,Error_2018M03,Actual_2018M04,Forecast_2018M04,Error_2018M04,Actual_2018M05,Forecast_2018M05,Error_2018M05,Actual_2018M06,Forecast_2018M06,Error_2018M06,Actual_2018M07,Forecast_2018M07,Error_2018M07,Actual_2018M08,Forecast_2018M08,Error_2018M08,Actual_2018M09,Forecast_2018M09,Error_2018M09,Actual_2018M10,Forecast_2018M10,Error_2018M10,Actual_2018M11,Forecast_2018M11,Error_2018M11,Actual_2018M12,Forecast_2018M12,Error_2018M12,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.009026495845971816,-0.022465199733515136,0.03149169557948695,-0.026009268475117864,-0.021540278132097655,-0.0044689903430202085,0.11792941639293986,0.11500129084367447,0.002928125549265387,-0.07410797215372167,-0.021992350599867844,-0.052115621553853825,0.12768203597348915,0.08151617092172352,0.046165865051765634,-0.019048194970693544,-0.03025095056093122,0.011202755590237676,0.0410029736176627,0.029178024675360056,0.01182494894230264,0.04873845919798736,0.06324754601003801,-0.014509086812050653,-0.03901390930599202,-0.030259355965523205,-0.008754553340468818,0.022329476398088133,0.03790554144719431,-0.015576065049106178,-0.04847475650241062,-0.02487919985137753,-0.023595556651033092,-0.11200505837649466,-0.10783523425066506,-0.004169824125829599,0.015921953010584744,-0.011983579192665548,0.027905532203250292,-0.06267715208964741,-0.012291225739002015,-0.0503859263506454,0.10897622207627133,0.12506775150727534,-0.016091529431004004,0.003474236268186104,-0.014454118532056325,0.01792835480024243,-0.024577012335922355,0.03935480805953272,-0.06393182039545507,0.07639040266400077,0.010792819425085906,0.06559758323891486,0.05030488071090211,0.022540129537896532,0.02776475117300558,0.02474353038360544,4.210899824558939e-4,0.024322440401149545,-0.07944885823932868,-6.283227614548026e-6,-0.07944257501171413,0.05470532785572324,0.0620732787333506,-0.007367950877627358,-0.06802405969600489,-0.05279357568555801,-0.015230484010446882,-0.13752979859121783,-0.12295585259042298,-0.014573946000794855,0.03402974858631147,0.0018041703549508403,0.03222557823136063,-0.020025700502294796,-0.03591211964203662,0.01588641913974182,0.02373627989883076,0.10005641271990907,-0.07632013282107832,0.027999394500358044,0.009998352121214317,0.018001042379143725,0.08841095734405258,0.04980283891042296,0.038608118433629615,-0.058840500022933284,-0.05795418042829759,-8.863195946356914e-4,0.08487233874088052,0.0733890351219182,0.011483303618962312,0.029538012436863603,0.022231307936805302,0.007306704500058301,-0.0468170600452158,-0.04143502168698062,-0.005382038358235176,0.05509868087693803,0.04973300401279284,0.005365676864145193,-0.09737416402517596,-0.0478015665790059,-0.049572597446170055,-0.1348309379666084,-0.09625183575780123,-0.038579102208807156,lpim,BR
ln_Selic_aa,-0.004213875000000006,-0.002647095157246985,-0.001566779842753021,-0.0031484620000000046,-0.0028232044224001654,-3.252575775998393e-4,-0.005924264999999998,-0.0031619102242408156,-0.0027623547757591824,-0.004976224000000001,-0.004069880861976769,-9.063431380232322e-4,-0.003980978999999996,-0.003865819062730091,-1.1515993726990458e-4,-0.009035610999999999,-0.003691581873572493,-0.005344029126427506,-0.0013030830000000104,-0.005587496846233808,0.004284413846233797,-0.007818501999999991,-0.0012013622252291484,-0.006617139774770842,-0.007362024000000009,-0.005771248410428634,-0.0015907755895713744,-0.0031663519999999973,-0.0043150435860872405,0.0011486915860872433,-0.005634845999999999,-0.0035544850649325784,-0.0020803609350674205,-0.003732608999999998,-0.003762906095275944,3.0297095275946297e-5,-9.331519999999927e-4,-0.0034441400967243946,0.002510988096724402,-0.0016903400000000124,-7.917576234822629e-4,-8.985823765177495e-4,-0.0013210030000000011,-0.00144526146714155,1.242584671415489e-4,-0.001677178999999994,-0.0015567174417035119,-1.2046155829648205e-4,0,-0.0016236251435429875,0.0016236251435429875,0,8.160761344739526e-4,-8.160761344739526e-4,0,-8.109903057232004e-4,8.109903057232004e-4,0,0.002101084771212662,-0.002101084771212662,0,-6.052123921162116e-4,6.052123921162116e-4,0,-2.56168424171818e-4,2.56168424171818e-4,0,-4.534716089673521e-4,4.534716089673521e-4,0,-0.001285598401783968,0.001285598401783968,-1.6609490172125874e-10,-9.441299724848391e-4,9.441298063899374e-4,0,-4.26313472391077e-5,4.26313472391077e-5,0,-5.059278776582348e-4,5.059278776582348e-4,0,4.4804458808603265e-4,-4.4804458808603265e-4,0,-4.7255683462793193e-4,4.7255683462793193e-4,0,6.414570602449952e-4,-6.414570602449952e-4,0,-6.583751366275726e-4,6.583751366275726e-4,-0.004708764705697595,-2.57119932747075e-4,-0.00445164477295052,-0.0018034466412768999,-0.0024140582756792535,6.106116344023536e-4,-0.0031373091634108036,-0.002401551562859764,-7.357576005510395e-4,-0.0045475841696603,-0.0030139032944346326,-0.0015336808752256675,-0.0029572266051162005,-0.0021295355493316376,-8.276910557845629e-4,ln,Selic
ln_IPCA,7.986689999999186e-4,0.002586245580969352,-0.0017875765809694335,-4.986570000014012e-4,-0.0013946924081114686,8.960354081100673e-4,-7.986149999990033e-4,-3.579905719880669e-4,-4.406244280109364e-4,-0.0010970690000000616,9.186245648659965e-4,-0.0020156935648660583,0.0016966390000003884,-0.00153638765552333,0.0032330266555237186,-0.00539826500000018,-0.0013924500299886881,-0.004005814970011491,0.0047003319999987525,-1.3976935771650842e-4,0.004840101357715261,-5.001449999983976e-4,0.0014884114641384241,-0.0019885564641368217,-2.997950000001026e-4,-9.091237486694727e-4,6.093287486693701e-4,0.0025944189999993483,0.0014593941773708068,0.0011350248226285416,-0.0013955320000000881,-3.2934006292070577e-4,-0.0010661919370793824,0.0015942280000000864,-1.5859929739233313e-4,0.0017528272973924195,-0.0014945629999996157,0.0024761920797346983,-0.003970755079734314,2.989709999994261e-4,-0.002814429935019923,0.003113400935019349,-0.002296012999998709,2.7145304937783174e-4,-0.0025674660493765406,0.0012979419999989972,-4.268421749642192e-4,0.0017247841749632163,0.0017953879999996758,-4.6600277590413573e-4,0.0022613907759038115,0.008528869000000938,-0.0017312497998074063,0.010260118799808345,-0.009226204000000848,-1.9337725422776493e-4,-0.009032826745773083,-0.004194633000000891,-0.0016435194539854451,-0.0025511135460154462,0.00568764100000152,0.0015574334707939902,0.00413020752920753,-2.9905000000063353e-4,0.001775465331172601,-0.0020745153311732345,-0.0065918249999992184,-0.0012258303486504575,-0.005365994651348761,0.00360163399999891,6.710170615976998e-4,0.00293061693840121,0.0016955268209617458,-1.7670144515259217e-4,0.001872228266114338,0.0010957269304299189,0.00125632185499583,-1.6059492456591104e-4,0.0031813966269407246,7.960033148339163e-4,0.0023853933121068083,-0.0017881201567835348,-0.0020040361045057017,2.1591594772216692e-4,-0.004384179882624295,-0.0020813956764608437,-0.0023027842061634513,-0.0011996020379818617,6.783405291461353e-4,-0.001877942567127997,0.00179901860490439,-9.326973790502375e-4,0.0027317159839546274,-7.987039756169878e-4,-4.6688477045841656e-5,-7.520154985711461e-4,-0.0014997487402599319,0.0011161094076914844,-0.0026158581479514163,0.0013996159028231148,-0.0012210657393356293,0.0026206816421587443,0.004087381290640124,0.0013201182282425797,0.0027672630623975444,0.0063476020149799695,0.00163537904449964,0.004712222970480329,ln,IPCA
R1_Admitidos,2353,1227.203421282199,1125.796578717801,-178,-768.6247017059333,590.6247017059333,-50,33.72126201645426,-83.72126201645426,-797,-243.47304774679895,-553.526952253201,497,768.1622746324342,-271.1622746324342,-370,-177.21996532020776,-192.78003467979224,250,187.0454338576056,62.95456614239441,866,214.91457407232403,651.0854259276759,-598,-1009.8281940041047,411.8281940041047,-838,-1356.359222617582,518.359222617582,394,177.97616412048512,216.02383587951488,-1190,-710.7055397075317,-479.29446029246833,1763,1789.263111900633,-26.26311190063302,-297,35.19638933423596,-332.19638933423596,-41,15.454094026566509,-56.45409402656651,412,-238.17139877532668,650.1713987753267,-172,493.85651844703386,-665.8565184470339,-446,-197.05277794447173,-248.94722205552827,432,1005.4156941180528,-573.4156941180528,291,-238.91163548774148,529.9116354877415,-710,-783.267651647292,73.26765164729204,135,-471.54528319161295,606.545283191613,-783,-298.1591047551537,-484.8408952448463,-732,-769.6996981520592,37.69969815205923,1374,1673.008917438565,-299.00891743856505,1206,-114.39386975584944,1320.3938697558494,-857,-387.42601403836113,-469.57398596163887,218,-190.70726226407783,408.7072622640778,-156,220.35780521480726,-376.3578052148073,-330,62.9424028682593,-392.9424028682593,437,449.29444625664735,-12.294446256647348,233,123.24023544986576,109.75976455013424,-591,-766.4351435639765,175.43514356397645,-558,-465.0064476414118,-92.9935523585882,200,8.496425235844242,191.50357476415576,-1284,-796.1946767592904,-487.80532324070964,R1,Admitidos
R1_Desligados,-1357,-1420.2889768504429,63.28897685044285,-178,-680.2050534581495,502.20505345814945,498,105.54419274530542,392.4558072546946,-685,-327.2073514446444,-357.7926485553556,274,93.86657782819424,180.13342217180576,30,121.97704138746288,-91.97704138746288,201,-30.06535334117876,231.06535334117876,-48,-260.90236743619346,212.90236743619346,-281,-457.34549466639123,176.34549466639123,-253,-137.86245371814317,-115.13754628185683,431,99.19781220329952,331.8021877967005,374,531.3516052124337,-157.3516052124337,-1003,-783.5845377916045,-219.41546220839552,244,347.611447987692,-103.61144798769197,313,-39.424911573361385,352.4249115733614,-31,-469.7053640776899,438.7053640776899,89,94.71715402199374,-5.717154021993736,-392,-280.56368447082866,-111.43631552917134,131,525.0370320624841,-394.03703206248406,565,-199.7509538927672,764.7509538927673,-437,-616.3425655346316,179.3425655346316,689,-427.2571895437451,1116.257189543745,-325,-62.32705236203236,-262.67294763796764,1544,374.70243837089214,1169.2975616291078,-939,-1588.9109736722685,649.9109736722685,-1421,-922.2580961328936,-498.74190386710643,744,454.4830791917142,289.5169208082858,-911,-352.8601445496814,-558.1398554503186,291,425.6493792265874,-134.64937922658743,-365,191.31141700258974,-556.3114170025897,212,506.7005166871065,-294.7005166871065,563,81.10893581346642,481.8910641865336,-640,-523.3067111616838,-116.69328883831622,274,345.7481580441402,-71.74815804414021,917,80.52841551902986,836.4715844809701,-1120,143.8500936132769,-1263.8500936132768,R1,Desligados
R2_Admitidos,232,48.30192103533075,183.69807896466926,-10,-57.88472383467139,47.88472383467139,-131,-54.87828747007548,-76.12171252992452,27,7.735303731894232,19.264696268105766,23,-48.077881086853736,71.07788108685374,-52,-21.53603495655721,-30.46396504344279,55,65.4731630445771,-10.473163044577106,-50,-19.792970728649713,-30.207029271350287,-20,-21.616786691815243,1.6167866918152427,-17,8.929257760351376,-25.929257760351376,-19,-28.216208310182672,9.216208310182672,-32,-47.88489491645668,15.88489491645668,75,99.9778509989824,-24.977850998982404,44,28.64695478010627,15.35304521989373,-14,26.449420400739488,-40.449420400739484,-37,-22.716134633319676,-14.283865366680324,2,-10.270443574494868,12.270443574494868,10,-21.045177332652194,31.045177332652194,-40,5.883677954721723,-45.88367795472172,75,20.412643609615763,54.58735639038424,-50,-43.00810743922526,-6.991892560774737,19,-41.2470557282175,60.2470557282175,-41,-41.104215336654676,0.10421533665467564,-6,-82.66091032507342,76.66091032507342,30,62.20086414000151,-32.20086414000151,78,34.41925988549895,43.58074011450105,-44,-6.160838896569501,-37.8391611034305,-27,-10.977310332833962,-16.022689667166038,0,5.024195352058863,-5.024195352058863,-35,-9.339458059411536,-25.660541940588466,34,51.20844035600877,-17.208440356008772,-31,0.5761918237636792,-31.57619182376368,10,8.235275915000251,1.7647240849997488,-18,-24.625628191881468,6.625628191881468,-12,-12.485847536974784,0.48584753697478433,-25,-52.630838896879865,27.630838896879865,R2,Admitidos
R2_Desligados,-213,-168.25189207157064,-44.74810792842936,1,-40.94819967428189,41.94819967428189,12,17.67657042267542,-5.676570422675422,-36,-42.93973601623858,6.939736016238577,169,9.508156144963259,159.49184385503673,-119,-89.59966153361721,-29.40033846638279,28,18.263952420988954,9.736047579011046,-47,-8.247608312790664,-38.75239168720934,-33,-49.19362450130685,16.19362450130685,-1,19.779904506517575,-20.779904506517575,45,8.545516767770785,36.454483232229215,-9,69.4484699053317,-78.4484699053317,-42,-0.8443167921804111,-41.15568320781959,26,1.4438266209875632,24.556173379012435,-1,-13.298168153433682,12.298168153433682,-1,-15.978674138551238,14.978674138551238,6,-6.035401034538143,12.035401034538143,27,-6.607174908006978,33.607174908006975,23,5.877140766812744,17.122859233187256,-49,-59.169181573942865,10.169181573942865,-16,-36.19994561627405,20.19994561627405,19,18.429493376292648,0.5705066237073524,1,-29.179944493083003,30.179944493083003,50,82.57715017018884,-32.577150170188844,-45,-38.51766128082943,-6.482338719170571,-15,-30.3554834758423,15.355483475842298,36,-3.934987772697763,39.93498777269777,-28,-30.79986577962933,2.7998657796293287,-9,-23.021444567106478,14.021444567106478,-1,0.191692740000728,-1.191692740000728,-11,19.36130824713505,-30.36130824713505,37,0.6104319289317495,36.389568071068254,-21,-56.543847500834204,35.543847500834204,-4,2.711249840863424,-6.711249840863424,59,-17.77441111408637,76.77441111408638,-44,30.290897454967087,-74.29089745496708,R2,Desligados
R3_Admitidos,917,506.4310144678391,410.5689855321609,21,-147.198946040922,168.198946040922,-257,-186.79302473390067,-70.20697526609933,-163,5.92599466542535,-168.92599466542535,39,98.81158276084335,-59.81158276084335,-29,5.645399066555626,-34.645399066555626,33,75.88799896427062,-42.88799896427062,-15,154.3749790483368,-169.3749790483368,-75,-115.69855439206815,40.69855439206815,-65,-71.81963034008164,6.819630340081645,-159,-37.59227276385752,-121.40772723614248,-218,-167.62479314734813,-50.37520685265187,388,593.2007676999692,-205.20076769996922,199,180.29729330157897,18.702706698421025,67,66.13059545301556,0.8694045469844411,-262,-173.87250523371972,-88.12749476628028,103,77.6059822722863,25.394017727713702,-163,69.2401949701484,-232.2401949701484,121,-14.498442496705724,135.49844249670574,19,128.69106489330198,-109.69106489330198,-77,-65.14624853363924,-11.853751466360762,-19,-30.126493102597465,11.126493102597465,-20,-209.93170947281232,189.93170947281232,-277,-336.16664227818694,59.16664227818694,582,463.4481030724322,118.55189692756778,96,13.273834462563912,82.72616553743609,-254,-113.58161408798571,-140.4183859120143,-117,109.85843506220063,-226.8584350622006,-14,93.63382825869795,-107.63382825869795,25,148.71047147891315,-123.71047147891315,50,115.87939442424641,-65.87939442424641,160,41.727846969253605,118.2721530307464,-126,-203.5050111161674,77.5050111161674,-103,-116.63968777098471,13.639687770984708,-177,-120.02578646400696,-56.974213535993044,-196,-177.9682072591663,-18.03179274083371,R3,Admitidos
R3_Desligados,-139,-265.17156492256015,126.17156492256015,-100,-66.70871584491846,-33.29128415508154,210,86.59126471306386,123.40873528693614,-223,-244.7937068941,21.793706894100012,47,58.92487242822162,-11.924872428221619,-66,47.05174107143294,-113.05174107143294,235,122.28716662871022,112.71283337128978,-100,-75.77531234799868,-24.22468765200132,-50,-164.8938924216933,114.8938924216933,62,-21.751495325850314,83.75149532585031,-4,-63.012290661448546,59.012290661448546,172,183.57736320417797,-11.57736320417797,-335,-326.748700248708,-8.251299751291981,56,-4.9259722443649,60.9259722443649,10,33.85187027703253,-23.851870277032532,-97,-96.49886875856221,-0.5011312414377898,71,23.904801872205635,47.09519812779436,0,-45.86870442395002,45.86870442395002,22,-45.95329620671619,67.95329620671619,-1,-66.83877392531082,65.83877392531082,-132,-87.4587333115058,-44.541266688494204,92,14.414600427264105,77.5853995727359,62,60.71336765108123,1.286632348918772,-70,216.25230254143779,-286.25230254143776,173,-53.5312009973361,226.5312009973361,49,-123.20468157529835,172.20468157529837,-18,-123.77802118169977,105.77802118169977,-190,-170.0549715928139,-19.9450284071861,5,43.532773529591154,-38.532773529591154,-57,-12.262276602415511,-44.73772339758449,29,46.49969946139399,-17.499699461393988,27,18.57759396068593,8.422406039314069,23,-107.60666997270933,130.6066699727093,43,-60.987068174994036,103.98706817499404,-164,-67.64923420199504,-96.35076579800496,250,375.6188271809756,-125.61882718097559,R3,Desligados
R4_Admitidos,984,515.2196377569184,468.78036224308164,93,-333.55548917221415,426.55548917221415,-102,-75.04403550174891,-26.95596449825109,-313,-4.246682755845853,-308.7533172441541,-58,176.31371749907254,-234.31371749907254,184,73.11584651287555,110.88415348712445,116,49.15641979750637,66.84358020249363,-103,-121.06219048468353,18.062190484683526,463,-240.6448495651406,703.6448495651406,-377,-343.18315616023983,-33.81684383976017,-559,-143.58285299122593,-415.41714700877407,13,-77.36810927857573,90.36810927857573,762,608.0790145880408,153.92098541195924,-10,-244.51055356066797,234.51055356066797,-31,35.22905371838925,-66.22905371838925,-314,0.21494228847612362,-314.2149422884761,70,197.65706998671996,-127.65706998671996,-396,20.5724137990469,-416.5724137990469,659,398.01237419663164,260.98762580336836,-195,-283.5717876415258,88.57178764152582,-190,-170.65531106508996,-19.34468893491004,-159,-97.84891555424497,-61.15108444575503,43,61.365417716400174,-18.365417716400174,-452,-391.01620801981653,-60.98379198018347,806,620.407619767516,185.59238023248395,-53,-92.36092742061973,39.36092742061973,-28,154.72388110000674,-182.72388110000674,400,52.013763065183156,347.9862369348168,109,-69.2782539379665,178.2782539379665,-324,-256.5344801217609,-67.46551987823909,175,156.05864225290213,18.941357747097868,43,-66.54056822066369,109.54056822066369,-443,-249.60174265938196,-193.39825734061804,97,20.460028265707763,76.53997173429224,-232,-120.40919822475516,-111.59080177524484,-622,-214.45775805351747,-407.54224194648253,R4,Admitidos
