variavel,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
D_lpim_BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,lpim
D_ln_Selic_aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,ln
D_ln_IPCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,ln
R1_Admitidos,1374,2677.901461600518,-1303.901461600518,1206,682.7038442021096,523.2961557978904,-857,-34.4311120719399,-822.5688879280601,218,-408.9404798100562,626.9404798100562,-156,178.41909022548856,-334.41909022548856,-330,-669.866325041824,339.866325041824,437,463.2945651712251,-26.294565171225088,233,553.8566323898106,-320.85663238981056,-591,-1145.842885413143,554.842885413143,-558,31.71089216035972,-589.7108921603597,200,-584.1335891836243,784.1335891836243,-1284,-2019.3671942003518,735.3671942003518,R1,Admitidos
R1_Desligados,-939,-1972.087341640423,1033.087341640423,-1421,496.5318859481192,-1917.5318859481192,744,124.44068122315115,619.5593187768488,-911,257.14146107286007,-1168.14146107286,291,240.19857325541318,50.80142674458682,-365,-204.7463242674375,-160.2536757325625,212,779.4034715098776,-567.4034715098776,563,-317.4939860646359,880.4939860646359,-640,-174.27880095787418,-465.7211990421258,274,-51.90572591080394,325.90572591080394,917,634.9488867378304,282.05111326216957,-1120,60.09938640537055,-1180.0993864053705,R1,Desligados
R2_Admitidos,30,116.78715892289952,-86.78715892289952,78,106.76662463464282,-28.766624634642824,-44,-56.39844461700888,12.398444617008877,-27,7.985900841087343,-34.98590084108734,0,-72.70127656898578,72.70127656898578,-35,29.401212039265896,-64.4012120392659,34,-26.192068748887543,60.19206874888754,-31,64.67093349603371,-95.67093349603371,10,-93.88147396903074,103.88147396903074,-18,7.9970557715618185,-25.99705577156182,-12,-51.30052596732365,39.30052596732365,-25,-51.661976239415495,26.661976239415495,R2,Admitidos
R2_Desligados,-45,-118.00052424715678,73.00052424715678,-15,-11.536152001911086,-3.463847998088914,36,18.462792480376482,17.537207519623518,-28,32.29978592597937,-60.29978592597937,-9,-17.880111498141275,8.880111498141275,-1,31.235038636760823,-32.23503863676082,-11,22.23645685569076,-33.23645685569076,37,-28.554900555203556,65.55490055520356,-21,0.4130809092579524,-21.413080909257953,-4,-2.430195736885949,-1.569804263114051,59,-25.233810078520232,84.23381007852024,-44,97.96147384206576,-141.96147384206574,R2,Desligados
R3_Admitidos,582,794.2694475688222,-212.26944756882222,96,151.6462399626683,-55.64623996266829,-254,-35.39743756667551,-218.6025624333245,-117,-216.11167335938697,99.11167335938697,-14,53.09839110159521,-67.09839110159521,25,-135.9910840956208,160.9910840956208,50,61.783196761275136,-11.783196761275136,160,64.2463257474222,95.7536742525778,-126,-104.69623995360845,-21.303760046391545,-103,-135.07922807133681,32.079228071336814,-177,-80.74162779863806,-96.25837220136194,-196,-474.80963344190104,278.80963344190104,R3,Admitidos
R3_Desligados,173,-415.70933885951695,588.709338859517,49,39.638846853220564,9.361153146779436,-18,129.8244994983694,-147.8244994983694,-190,-106.96971523500963,-83.03028476499037,5,144.94836990966584,-139.94836990966584,-57,-50.81043876391286,-6.189561236087137,29,47.38372281844023,-18.383722818440233,27,22.3531194669688,4.646880533031201,23,-53.536105988514535,76.53610598851454,43,-89.66785647355903,132.66785647355903,-164,202.56628887389445,-366.56628887389445,250,127.38640818387599,122.61359181612401,R3,Desligados
R4_Admitidos,806,1042.4908520724687,-236.49085207246867,-53,-151.09250429435036,98.09250429435036,-28,133.43200389568065,-161.43200389568065,400,-258.36533413392624,658.3653341339262,109,-54.80027218853371,163.8002721885337,-324,-179.24534462600113,-144.75465537399887,175,425.9254575246305,-250.92545752463047,43,-104.92430832156667,147.92430832156668,-443,-125.52055624316081,-317.4794437568392,97,-73.90764321664474,170.90764321664474,-232,-209.2059029791975,-22.794097020802496,-622,-601.6206610938491,-20.379338906150906,R4,Admitidos
R4_Desligados,53,-544.6059464792291,597.6059464792291,-27,-24.087571415956756,-2.9124285840432442,49,223.4680955369422,-174.4680955369422,59,-183.3039417544855,242.3039417544855,-109,170.9737664578918,-279.97376645789177,-124,-48.29244379577469,-75.70755620422531,159,264.4056807830277,-105.40568078302772,132,1.9489903952628325,130.05100960473717,-237,-42.78722678925831,-194.2127732107417,166,-36.584806131365745,202.58480613136575,-31,84.000197831127835,-115.00019783112784,-152,142.9836419041411,-294.9836419041411,R4,Desligados
