Data,YearMonth,Valor,ln_ICPA
1995-01-01,199501,1033.74,6.94093857277237
1995-02-01,199502,1044.28,6.951082931717315
1995-03-01,199503,1060.47,6.966467485061469
1995-04-01,199504,1086.24,6.990477470553337
1995-05-01,199505,1115.24,7.016824907368757
1995-06-01,199506,1140.44,7.039169431835525
1995-07-01,199507,1167.35,7.062491501631446
1995-08-01,199508,1178.91,7.072345561745777
1995-09-01,199509,1190.58,7.082195862325216
1995-10-01,199510,1207.37,7.096199719275439
1995-11-01,199511,1225.12,7.1107940773648135
1995-12-01,199512,1244.23,7.126272143669352
1996-01-01,199601,1260.9,7.139581030679181
1996-02-01,199602,1273.89,7.149830490175204
1996-03-01,199603,1278.35,7.153325462857904
1996-04-01,199604,1294.46,7.165848898752803
1996-05-01,199605,1310.25,7.177973237682275
1996-06-01,199606,1325.84,7.189801499815289
1996-07-01,199607,1340.56,7.200842716092469
1996-08-01,199608,1346.46,7.20523420516354
1996-09-01,199609,1348.48,7.206733311175769
1996-10-01,199610,1352.53,7.209732191620664
1996-11-01,199611,1356.86,7.212928485758002
1996-12-01,199612,1363.24,7.217619498367567
1997-01-01,199701,1379.33,7.229353153008069
1997-02-01,199702,1386.23,7.2343431111484175
1997-03-01,199703,1393.3,7.239430313119546
1997-04-01,199704,1405.56,7.248191078869784
1997-05-01,199705,1411.32,7.2522807156509455
1997-06-01,199706,1418.94,7.257665392967982
1997-07-01,199707,1422.06,7.259861803565867
1997-08-01,199708,1421.78,7.259664886720402
1997-09-01,199709,1422.63,7.260262550225524
1997-10-01,199710,1425.9,7.262558472288074
1997-11-01,199711,1428.32,7.264254207431052
1997-12-01,199712,1434.46,7.268543750752409
1998-01-01,199801,1444.64,7.275615434559169
1998-02-01,199802,1451.29,7.280208095078431
1998-03-01,199803,1456.22,7.283599316243441
1998-04-01,199804,1459.71,7.285993064835818
1998-05-01,199805,1467.01,7.290981594752332
1998-06-01,199806,1467.3,7.291179256213421
1998-07-01,199807,1465.54,7.289979054217219
1998-08-01,199808,1458.07,7.28486892239005
1998-09-01,199809,1454.86,7.282664955044887
1998-10-01,199810,1455.15,7.282864267075403
1998-11-01,199811,1453.4,7.281660918182536
1998-12-01,199812,1458.2,7.28495807737233
1999-01-01,199901,1468.41,7.291935461732969
1999-02-01,199902,1483.83,7.302381861909306
1999-03-01,199903,1500.15,7.313320382090635
1999-04-01,199904,1508.55,7.318904203558599
1999-05-01,199905,1513.08,7.321902587473136
1999-06-01,199906,1515.95,7.323797584128071
1999-07-01,199907,1532.47,7.334636091762313
1999-08-01,199908,1541.05,7.340219281257076
1999-09-01,199909,1545.83,7.343316261911024
1999-10-01,199910,1564.23,7.355148969116697
1999-11-01,199911,1579.09,7.364604010731376
1999-12-01,199912,1588.56,7.370583224478777
2000-01-01,200001,1598.41,7.376764664130975
2000-02-01,200002,1600.49,7.378065111342914
2000-03-01,200003,1604.01,7.380262022820991
2000-04-01,200004,1610.75,7.384455188018752
2000-05-01,200005,1610.91,7.384554515694628
2000-06-01,200006,1614.62,7.386854913853106
2000-07-01,200007,1640.62,7.402829498156297
2000-08-01,200008,1662.11,7.415843158544135
