Conexao;Conexao;Conexao;Conexao;Conexao;Conexao;;PIB;PIB;PIB;PIB;PIB;PIB;PIB;;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta
region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank
1;2;0.034;0.398;1;1;;1;2;0.0282;0.0656;1;1;0;;1;2;0.0457;0.0765;1;1;0;;1;2;0.1163;0.1185;1;1;0
2;2;0.034;0.313;1;1;;2;2;0.0173;0.2371;1;1;0;;2;2;0.0241;0.3721;1;1;0;;2;2;0.0215;0.8615;1;1;0
3;2;0.001;0.255;0;1;;3;2;0.0145;0.3438;1;1;0;;3;2;0.0113;0.3568;1;1;0;;3;2;0.0015;0.231;0;1;0
4;2;0.009;0.433;0;1;;4;2;0.0478;0.7037;1;1;0;;4;2;0.0329;0.712;1;1;0;;4;2;0.0454;0.5057;1;1;0
5;2;0.001;0.291;0;1;;5;2;0.0011;0.3215;0;1;0;;5;2;9.00E-04;0.2931;0;1;0;;5;2;2.00E-04;0.276;0;1;0
6;2;0.001;0.145;0;1;;6;2;0.0522;0.4549;1;1;0;;6;2;0.051;0.365;1;1;0;;6;2;0.0032;0.2048;0;1;0
7;2;0.001;0.454;0;1;;7;2;0.0044;0.4754;0;1;0;;7;2;0.0038;0.5786;0;1;0;;7;2;8.00E-04;0.7145;0;1;0
8;2;0.043;0.462;1;1;;8;2;0.2364;0.6419;1;1;0;;8;2;0.1878;0.6524;1;1;0;;8;2;0.046;0.6572;1;1;0
9;2;0;0.009;0;0;;9;2;0;0.1118;0;1;0;;9;2;0;0.1312;0;1;0;;9;2;1.00E-04;0.0947;0;1;0
10;2;0.003;0.039;0;1;;10;1;0.0152;NA;1;NA;0;;10;1;0.0157;NA;1;NA;0;;10;2;0.0188;0.1038;1;1;0
11;2;0.008;0.008;0;0;;11;1;0.0202;NA;1;NA;0;;11;1;0.0269;NA;1;NA;0;;11;1;0.0433;NA;1;NA;0
12;2;0.007;0.036;0;1;;12;2;9.00E-04;0.0956;0;1;0;;12;2;0.0018;0.0749;0;1;0;;12;2;0.0043;0.0463;0;1;0
13;1;0.007;NA;0;NA;;13;NA;NA;NA;NA;NA;0;;13;NA;NA;NA;NA;NA;1;;13;1;0.0476;NA;1;NA;1
14;2;0;0.551;0;1;;14;NA;NA;NA;NA;NA;0;;14;2;0;0.3247;0;1;0;;14;1;0;NA;0;NA;0
15;2;0;0.791;0;1;;15;NA;NA;NA;NA;NA;0;;15;2;0;0.6679;0;1;0;;15;2;0;0.5114;0;1;0
16;2;0;0.001;0;0;;16;2;0;0.0011;0;0;0;;16;2;0;0.001;0;0;0;;16;2;0;9.00E-04;0;0;0
17;NA;NA;NA;NA;NA;;17;NA;NA;NA;NA;NA;0;;17;NA;NA;NA;NA;NA;0;;17;1;0.0469;NA;1;NA;0
18;2;0;0.71;0;1;;18;NA;NA;NA;NA;NA;0;;18;NA;NA;NA;NA;NA;0;;18;2;0.0047;0.2855;0;1;0
19;NA;NA;NA;NA;NA;;19;NA;NA;NA;NA;NA;0;;19;NA;NA;NA;NA;NA;0;;19;NA;NA;NA;NA;NA;0
20;NA;NA;NA;NA;NA;;20;NA;NA;NA;NA;NA;0;;20;NA;NA;NA;NA;NA;0;;20;NA;NA;NA;NA;NA;0
21;1;0.203;NA;1;NA;;21;NA;NA;NA;NA;NA;0;;21;NA;NA;NA;NA;NA;0;;21;1;0.232;NA;1;NA;0
22;2;0;0;0;0;;22;2;0;0;0;0;0;;22;2;0;0;0;0;0;;22;2;2.00E-04;1.00E-04;0;0;0
23;2;0.001;0;0;0;;23;NA;NA;NA;NA;NA;0;;23;NA;NA;NA;NA;NA;0;;23;2;2.00E-04;0;0;0;0
24;2;0;0.005;0;0;;24;NA;NA;NA;NA;NA;0;;24;2;0;8.00E-04;0;0;0;;24;2;0;0.0047;0;0;0
25;NA;NA;NA;NA;NA;;25;NA;NA;NA;NA;NA;0;;25;NA;NA;NA;NA;NA;0;;25;NA;NA;NA;NA;NA;0
26;1;0;NA;0;NA;;26;1;1.00E-04;NA;0;NA;0;;26;1;1.00E-04;NA;0;NA;0;;26;1;1.00E-04;NA;0;NA;0
27;2;0.106;0.164;1;1;;27;2;0.0304;0.1462;1;1;0;;27;2;0.0309;0.172;1;1;0;;27;2;0.0971;0.0289;1;1;0
28;1;0;NA;0;NA;;28;2;0;0;0;0;0;;28;2;0;2.00E-04;0;0;0;;28;1;0;NA;0;NA;0
29;2;0.006;0.001;0;0;;29;2;0.0015;0.0114;0;1;0;;29;2;0.0059;0.0106;0;1;0;;29;2;0.123;0.0978;1;1;0
30;1;0.12;NA;1;NA;;30;1;0.8293;NA;1;NA;0;;30;1;0.8795;NA;1;NA;0;;30;1;0.5491;NA;1;NA;0
31;1;0.001;NA;0;NA;;31;1;1.00E-04;NA;0;NA;0;;31;1;0.0012;NA;0;NA;0;;31;1;0;NA;0;NA;0
32;1;0;NA;0;NA;;32;1;0.002;NA;0;NA;0;;32;1;9.00E-04;NA;0;NA;0;;32;1;0;NA;0;NA;0
33;2;0;0.017;0;1;;33;2;0;0.0062;0;0;0;;33;2;0;0.0156;0;1;0;;33;2;0;0.134;0;1;0
34;1;0.185;NA;1;NA;;34;1;0.5681;NA;1;NA;0;;34;1;0.5067;NA;1;NA;0;;34;1;0.7188;NA;1;NA;0
35;2;0;0;0;0;;35;1;0.0141;NA;1;NA;0;;35;1;0.0126;NA;1;NA;0;;35;1;0.0343;NA;1;NA;0
36;1;0;NA;0;NA;;36;1;0.0125;NA;1;NA;0;;36;1;0.0099;NA;0;NA;0;;36;1;0;NA;0;NA;0
37;1;0.003;NA;0;NA;;37;2;7.00E-04;0.3251;0;1;0;;37;2;8.00E-04;0.6545;0;1;0;;37;2;8.00E-04;0.2898;0;1;0
38;2;0;0.012;0;1;;38;1;0.1294;NA;1;NA;0;;38;1;0.1888;NA;1;NA;0;;38;2;0;1.00E-04;0;0;0
39;2;0.009;0.18;0;1;;39;2;0.007;0.1776;0;1;0;;39;2;0.0115;0.1726;1;1;0;;39;2;0.0205;0.152;1;1;0
40;2;0;0.002;0;0;;40;1;0.0895;NA;1;NA;0;;40;1;0.0802;NA;1;NA;0;;40;1;0.0867;NA;1;NA;0
41;1;0.377;NA;1;NA;;41;2;4.00E-04;0.0653;0;1;0;;41;2;4.00E-04;0.0278;0;1;0;;41;2;2.00E-04;0.0116;0;1;0
42;2;0;0.205;0;1;;42;2;1.00E-04;0.5728;0;1;0;;42;2;9.00E-04;0.6668;0;1;0;;42;2;0;0.2676;0;1;0
43;1;0.002;NA;0;NA;;43;1;0.0018;NA;0;NA;0;;43;1;0.0039;NA;0;NA;0;;43;NA;NA;NA;NA;NA;0
