region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
1,2,0.0457,0.0765,TRUE,TRUE,FALSE
2,2,0.0241,0.3721,TRUE,TRUE,FALSE
3,2,0.0113,0.3568,TRUE,TRUE,FALSE
4,2,0.0329,0.712,TRUE,TRUE,FALSE
5,2,9e-4,0.2931,FALSE,TRUE,FALSE
6,2,0.051,0.365,TRUE,TRUE,FALSE
7,2,0.0038,0.5786,FALSE,TRUE,FALSE
8,2,0.1878,0.6524,TRUE,TRUE,FALSE
9,2,0,0.1312,FALSE,TRUE,FALSE
10,1,0.0157,NA,TRUE,NA,FALSE
11,1,0.0269,NA,TRUE,NA,FALSE
12,2,0.0018,0.0749,FALSE,TRUE,FALSE
13,NA,NA,NA,NA,NA,TRUE
14,2,0,0.3247,FALSE,TRUE,FALSE
15,2,0,0.6679,FALSE,TRUE,FALSE
16,2,0,0.001,FALSE,FALSE,FALSE
17,NA,NA,NA,NA,NA,FALSE
18,NA,NA,NA,NA,NA,FALSE
19,NA,NA,NA,NA,NA,FALSE
20,NA,NA,NA,NA,NA,FALSE
21,NA,NA,NA,NA,NA,FALSE
22,2,0,0,FALSE,FALSE,FALSE
23,NA,NA,NA,NA,NA,FALSE
24,2,0,8e-4,FALSE,FALSE,FALSE
25,NA,NA,NA,NA,NA,FALSE
26,1,1e-4,NA,FALSE,NA,FALSE
27,2,0.0309,0.172,TRUE,TRUE,FALSE
28,2,0,2e-4,FALSE,FALSE,FALSE
29,2,0.0059,0.0106,FALSE,TRUE,FALSE
30,1,0.8795,NA,TRUE,NA,FALSE
31,1,0.0012,NA,FALSE,NA,FALSE
32,1,9e-4,NA,FALSE,NA,FALSE
33,2,0,0.0156,FALSE,TRUE,FALSE
34,1,0.5067,NA,TRUE,NA,FALSE
35,1,0.0126,NA,TRUE,NA,FALSE
36,1,0.0099,NA,FALSE,NA,FALSE
37,2,8e-4,0.6545,FALSE,TRUE,FALSE
38,1,0.1888,NA,TRUE,NA,FALSE
39,2,0.0115,0.1726,TRUE,TRUE,FALSE
40,1,0.0802,NA,TRUE,NA,FALSE
41,2,4e-4,0.0278,FALSE,TRUE,FALSE
42,2,9e-4,0.6668,FALSE,TRUE,FALSE
43,1,0.0039,NA,FALSE,NA,FALSE
44,1,0.0064,NA,FALSE,NA,FALSE
45,2,0.0949,0.3216,TRUE,TRUE,FALSE
46,2,0.0114,0.3714,TRUE,TRUE,FALSE
