region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
1,2,0.0282,0.0656,TRUE,TRUE,FALSE
2,2,0.0173,0.2371,TRUE,TRUE,FALSE
3,2,0.0145,0.3438,TRUE,TRUE,FALSE
4,2,0.0478,0.7037,TRUE,TRUE,FALSE
5,2,0.0011,0.3215,FALSE,TRUE,FALSE
6,2,0.0522,0.4549,TRUE,TRUE,FALSE
7,2,0.0044,0.4754,FALSE,TRUE,FALSE
8,2,0.2364,0.6419,TRUE,TRUE,FALSE
9,2,0,0.1118,FALSE,TRUE,FALSE
10,1,0.0152,NA,TRUE,NA,FALSE
11,1,0.0202,NA,TRUE,NA,FALSE
12,2,9e-4,0.0956,FALSE,TRUE,FALSE
13,NA,NA,NA,NA,NA,FALSE
14,NA,NA,NA,NA,NA,FALSE
15,NA,NA,NA,NA,NA,FALSE
16,2,0,0.0011,FALSE,FALSE,FALSE
17,NA,NA,NA,NA,NA,FALSE
18,NA,NA,NA,NA,NA,FALSE
19,NA,NA,NA,NA,NA,FALSE
20,NA,NA,NA,NA,NA,FALSE
21,NA,NA,NA,NA,NA,FALSE
22,2,0,0,FALSE,FALSE,FALSE
23,NA,NA,NA,NA,NA,FALSE
24,NA,NA,NA,NA,NA,FALSE
25,NA,NA,NA,NA,NA,FALSE
26,1,1e-4,NA,FALSE,NA,FALSE
27,2,0.0304,0.1462,TRUE,TRUE,FALSE
28,2,0,0,FALSE,FALSE,FALSE
29,2,0.0015,0.0114,FALSE,TRUE,FALSE
30,1,0.8293,NA,TRUE,NA,FALSE
31,1,1e-4,NA,FALSE,NA,FALSE
32,1,0.002,NA,FALSE,NA,FALSE
33,2,0,0.0062,FALSE,FALSE,FALSE
34,1,0.5681,NA,TRUE,NA,FALSE
35,1,0.0141,NA,TRUE,NA,FALSE
36,1,0.0125,NA,TRUE,NA,FALSE
37,2,7e-4,0.3251,FALSE,TRUE,FALSE
38,1,0.1294,NA,TRUE,NA,FALSE
39,2,0.007,0.1776,FALSE,TRUE,FALSE
40,1,0.0895,NA,TRUE,NA,FALSE
41,2,4e-4,0.0653,FALSE,TRUE,FALSE
42,2,1e-4,0.5728,FALSE,TRUE,FALSE
43,1,0.0018,NA,FALSE,NA,FALSE
44,2,5e-4,0.003,FALSE,FALSE,FALSE
45,2,0.1034,0.1898,TRUE,TRUE,FALSE
46,2,0.0144,0.3774,TRUE,TRUE,FALSE
47,2,1e-4,0.0606,FALSE,TRUE,FALSE
48,2,5e-4,0.2251,FALSE,TRUE,FALSE
49,1,0.003,NA,FALSE,NA,FALSE
50,2,0.0153,0.0234,TRUE,TRUE,FALSE
51,NA,NA,NA,NA,NA,FALSE
52,NA,NA,NA,NA,NA,FALSE
53,2,0.0438,0.0207,TRUE,TRUE,FALSE
54,2,0.0041,0.1491,FALSE,TRUE,FALSE
55,2,0.012,0.4592,TRUE,TRUE,FALSE
56,2,0.0165,0.6993,TRUE,TRUE,FALSE
57,1,0.0091,NA,FALSE,NA,FALSE
58,1,0.0202,NA,TRUE,NA,FALSE
59,1,0.5165,NA,TRUE,NA,FALSE
60,2,7e-4,0.6718,FALSE,TRUE,FALSE
61,1,0.1969,NA,TRUE,NA,FALSE
62,1,0.0039,NA,FALSE,NA,FALSE
63,NA,NA,NA,NA,NA,FALSE
64,1,0.2698,NA,TRUE,NA,FALSE
65,1,0.0075,NA,FALSE,NA,FALSE
66,2,0.0097,0.0183,FALSE,TRUE,FALSE
67,2,0.2123,4e-4,TRUE,FALSE,FALSE
68,1,0.4428,NA,TRUE,NA,FALSE
69,1,6e-4,NA,FALSE,NA,FALSE
70,2,0.0148,0.0628,TRUE,TRUE,FALSE
71,1,9e-4,NA,FALSE,NA,FALSE
72,1,0.1169,NA,TRUE,NA,FALSE
73,1,0.2309,NA,TRUE,NA,FALSE
74,1,0.1135,NA,TRUE,NA,FALSE
75,1,0.1427,NA,TRUE,NA,FALSE
76,2,0.0058,0.0144,FALSE,TRUE,FALSE
77,NA,NA,NA,NA,NA,FALSE
78,1,0.8015,NA,TRUE,NA,FALSE
79,2,0.0061,1e-4,FALSE,FALSE,FALSE
80,2,0.4892,0.3133,TRUE,TRUE,FALSE
81,NA,NA,NA,NA,NA,FALSE
82,1,0.2717,NA,TRUE,NA,FALSE
83,1,0.0428,NA,TRUE,NA,FALSE
84,2,3e-4,0.206,FALSE,TRUE,FALSE
85,2,0.0154,0.0416,TRUE,TRUE,FALSE
86,1,0.0099,NA,FALSE,NA,FALSE
87,1,9e-4,NA,FALSE,NA,FALSE
88,1,0.431,NA,TRUE,NA,FALSE
89,1,0.2319,NA,TRUE,NA,FALSE
90,2,0.1811,0.3273,TRUE,TRUE,FALSE
91,NA,NA,NA,NA,NA,FALSE
92,2,0.0232,0.6363,TRUE,TRUE,FALSE
93,2,0.0044,0.0723,FALSE,TRUE,FALSE
94,1,0.0017,NA,FALSE,NA,FALSE
95,1,0.0015,NA,FALSE,NA,FALSE
96,2,0.3053,0.8599,TRUE,TRUE,FALSE
97,2,2e-4,0.2876,FALSE,TRUE,FALSE
98,2,0.0024,0.085,FALSE,TRUE,FALSE
99,NA,NA,NA,NA,NA,FALSE
100,2,1e-4,0.163,FALSE,TRUE,FALSE
101,1,0.1277,NA,TRUE,NA,FALSE
102,1,0.052,NA,TRUE,NA,FALSE
103,1,0.0034,NA,FALSE,NA,FALSE
104,2,0.0391,0.0209,TRUE,TRUE,FALSE
105,2,0.5887,0.0028,TRUE,FALSE,FALSE
106,2,0.01,2e-4,TRUE,FALSE,FALSE
107,2,5e-4,0.0012,FALSE,FALSE,FALSE
108,1,0.4797,NA,TRUE,NA,FALSE
109,2,0.0017,0.0279,FALSE,TRUE,FALSE
110,1,0.5592,NA,TRUE,NA,FALSE
111,1,0.6584,NA,TRUE,NA,FALSE
112,1,0.2182,NA,TRUE,NA,FALSE
113,1,0.3163,NA,TRUE,NA,FALSE
114,NA,NA,NA,NA,NA,FALSE
115,NA,NA,NA,NA,NA,FALSE
116,2,4e-4,5e-4,FALSE,FALSE,FALSE
117,1,0.4554,NA,TRUE,NA,TRUE
118,1,0.287,NA,TRUE,NA,TRUE
119,1,0.1676,NA,TRUE,NA,FALSE
120,1,0.0014,NA,FALSE,NA,FALSE
121,1,0.2147,NA,TRUE,NA,FALSE
122,1,0.6916,NA,TRUE,NA,FALSE
123,1,0.1075,NA,TRUE,NA,FALSE
124,1,0.0579,NA,TRUE,NA,FALSE
125,2,0.0825,0.0073,TRUE,FALSE,FALSE
126,1,5e-4,NA,FALSE,NA,FALSE
127,1,0.2804,NA,TRUE,NA,FALSE
128,1,0.3376,NA,TRUE,NA,FALSE
129,2,6e-4,1e-4,FALSE,FALSE,FALSE
130,1,0.0798,NA,TRUE,NA,FALSE
131,2,0.024,0.0024,TRUE,FALSE,FALSE
132,2,0.3058,0.0145,TRUE,TRUE,FALSE
133,1,0.9598,NA,TRUE,NA,FALSE
134,1,0.4822,NA,TRUE,NA,FALSE
135,1,0.0019,NA,FALSE,NA,FALSE
136,2,0,2e-4,FALSE,FALSE,FALSE
137,1,4e-4,NA,FALSE,NA,FALSE
138,2,0.0163,5e-4,TRUE,FALSE,FALSE
139,1,0.2102,NA,TRUE,NA,FALSE
140,2,0.0041,0,FALSE,FALSE,FALSE
141,2,0.4425,0.1962,TRUE,TRUE,FALSE
142,1,0.9367,NA,TRUE,NA,FALSE
143,1,0.0199,NA,TRUE,NA,TRUE
144,1,0.1959,NA,TRUE,NA,FALSE
145,2,0.7912,0.053,TRUE,TRUE,FALSE
146,2,9e-4,0.0019,FALSE,FALSE,FALSE
147,2,8e-4,0.0146,FALSE,TRUE,FALSE
148,1,0.015,NA,TRUE,NA,FALSE
149,1,0.6594,NA,TRUE,NA,FALSE
150,1,0.0046,NA,FALSE,NA,FALSE
151,2,6e-4,0.8222,FALSE,TRUE,FALSE
152,2,0.0097,0.9856,FALSE,TRUE,FALSE
153,2,0,0.0015,FALSE,FALSE,FALSE
154,1,0.1437,NA,TRUE,NA,FALSE
155,2,0.0179,0.8214,TRUE,TRUE,FALSE
156,2,0.1279,0.0228,TRUE,TRUE,FALSE
157,2,0.4766,0.5289,TRUE,TRUE,FALSE
158,2,0,0,FALSE,FALSE,FALSE
159,1,0.0187,NA,TRUE,NA,FALSE
160,1,0.0152,NA,TRUE,NA,FALSE
161,1,0.0167,NA,TRUE,NA,FALSE
162,1,0.0262,NA,TRUE,NA,FALSE
163,1,0.1552,NA,TRUE,NA,FALSE
164,1,0.9179,NA,TRUE,NA,FALSE
165,1,2e-4,NA,FALSE,NA,FALSE
166,2,0.0985,0.024,TRUE,TRUE,FALSE
167,2,0.3466,0.2654,TRUE,TRUE,FALSE
168,1,0.01,NA,TRUE,NA,FALSE
169,2,0.0109,0.0861,TRUE,TRUE,FALSE
170,2,0.1223,8e-4,TRUE,FALSE,FALSE
171,2,0,2e-4,FALSE,FALSE,FALSE
172,1,0.5769,NA,TRUE,NA,FALSE
173,2,0.3786,0.6125,TRUE,TRUE,FALSE
174,2,0.0016,0.0062,FALSE,FALSE,FALSE
175,2,0.0658,0.0292,TRUE,TRUE,FALSE
176,1,0.0737,NA,TRUE,NA,FALSE
177,2,0,0.0217,FALSE,TRUE,FALSE
178,2,3e-4,0.0597,FALSE,TRUE,FALSE
179,1,0.0011,NA,FALSE,NA,FALSE
180,2,0.0333,9e-4,TRUE,FALSE,FALSE
181,1,0.0369,NA,TRUE,NA,FALSE
182,1,0.4153,NA,TRUE,NA,FALSE
183,2,0.0054,0.0159,FALSE,TRUE,FALSE
184,NA,NA,NA,NA,NA,FALSE
185,NA,NA,NA,NA,NA,FALSE
186,1,7e-4,NA,FALSE,NA,FALSE
187,1,0.0027,NA,FALSE,NA,FALSE
188,2,2e-4,0.3082,FALSE,TRUE,FALSE
189,1,0.829,NA,TRUE,NA,FALSE
190,1,0.9246,NA,TRUE,NA,FALSE
191,2,0.0015,0.0012,FALSE,FALSE,FALSE
