region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
1,2,0.1163,0.1185,TRUE,TRUE,FALSE
2,2,0.0215,0.8615,TRUE,TRUE,FALSE
3,2,0.0015,0.231,FALSE,TRUE,FALSE
4,2,0.0454,0.5057,TRUE,TRUE,FALSE
5,2,2e-4,0.276,FALSE,TRUE,FALSE
6,2,0.0032,0.2048,FALSE,TRUE,FALSE
7,2,8e-4,0.7145,FALSE,TRUE,FALSE
8,2,0.046,0.6572,TRUE,TRUE,FALSE
9,2,1e-4,0.0947,FALSE,TRUE,FALSE
10,2,0.0188,0.1038,TRUE,TRUE,FALSE
11,1,0.0433,NA,TRUE,NA,FALSE
12,2,0.0043,0.0463,FALSE,TRUE,FALSE
13,1,0.0476,NA,TRUE,NA,TRUE
14,1,0,NA,FALSE,NA,FALSE
15,2,0,0.5114,FALSE,TRUE,FALSE
16,2,0,9e-4,FALSE,FALSE,FALSE
17,1,0.0469,NA,TRUE,NA,FALSE
18,2,0.0047,0.2855,FALSE,TRUE,FALSE
19,NA,NA,NA,NA,NA,FALSE
20,NA,NA,NA,NA,NA,FALSE
21,1,0.232,NA,TRUE,NA,FALSE
22,2,2e-4,1e-4,FALSE,FALSE,FALSE
23,2,2e-4,0,FALSE,FALSE,FALSE
24,2,0,0.0047,FALSE,FALSE,FALSE
25,NA,NA,NA,NA,NA,FALSE
26,1,1e-4,NA,FALSE,NA,FALSE
27,2,0.0971,0.0289,TRUE,TRUE,FALSE
28,1,0,NA,FALSE,NA,FALSE
29,2,0.123,0.0978,TRUE,TRUE,FALSE
30,1,0.5491,NA,TRUE,NA,FALSE
31,1,0,NA,FALSE,NA,FALSE
32,1,0,NA,FALSE,NA,FALSE
33,2,0,0.134,FALSE,TRUE,FALSE
34,1,0.7188,NA,TRUE,NA,FALSE
35,1,0.0343,NA,TRUE,NA,FALSE
36,1,0,NA,FALSE,NA,FALSE
37,2,8e-4,0.2898,FALSE,TRUE,FALSE
38,2,0,1e-4,FALSE,FALSE,FALSE
39,2,0.0205,0.152,TRUE,TRUE,FALSE
40,1,0.0867,NA,TRUE,NA,FALSE
41,2,2e-4,0.0116,FALSE,TRUE,FALSE
42,2,0,0.2676,FALSE,TRUE,FALSE
43,NA,NA,NA,NA,NA,FALSE
44,1,0.093,NA,TRUE,NA,FALSE
45,2,0.0019,0.5596,FALSE,TRUE,FALSE
46,1,0.1405,NA,TRUE,NA,FALSE
47,1,0.4275,NA,TRUE,NA,FALSE
48,2,1e-4,0.1875,FALSE,TRUE,FALSE
49,1,0.0029,NA,FALSE,NA,FALSE
50,2,0.0017,0.0557,FALSE,TRUE,FALSE
51,1,0,NA,FALSE,NA,FALSE
52,1,0.094,NA,TRUE,NA,FALSE
53,2,0.0531,0.0433,TRUE,TRUE,FALSE
54,2,0.0252,0.3565,TRUE,TRUE,FALSE
55,2,0.0148,0.4509,TRUE,TRUE,FALSE
56,1,0.5363,NA,TRUE,NA,FALSE
57,1,0.2583,NA,TRUE,NA,FALSE
58,1,0.0056,NA,FALSE,NA,FALSE
59,1,0.3202,NA,TRUE,NA,FALSE
60,2,0.0163,0.4072,TRUE,TRUE,FALSE
61,2,0.0013,0.6258,FALSE,TRUE,FALSE
62,1,0.0641,NA,TRUE,NA,FALSE
63,NA,NA,NA,NA,NA,FALSE
64,1,0.4696,NA,TRUE,NA,FALSE
65,1,0.1279,NA,TRUE,NA,FALSE
66,2,0.0168,0.0063,TRUE,FALSE,FALSE
67,2,0.0959,0.0016,TRUE,FALSE,FALSE
68,1,0.4661,NA,TRUE,NA,FALSE
69,1,0.568,NA,TRUE,NA,FALSE
70,2,0.0035,0.2387,FALSE,TRUE,FALSE
71,1,0.001,NA,FALSE,NA,FALSE
72,1,0.0015,NA,FALSE,NA,FALSE
73,1,0.6038,NA,TRUE,NA,FALSE
74,1,0.0108,NA,TRUE,NA,FALSE
75,2,1e-4,0.005,FALSE,FALSE,FALSE
76,2,0.018,0.0329,TRUE,TRUE,FALSE
77,1,0.465,NA,TRUE,NA,FALSE
78,2,0,0.0152,FALSE,TRUE,FALSE
79,2,0.0064,0.0011,FALSE,FALSE,FALSE
80,2,0.0094,0.6102,FALSE,TRUE,FALSE
81,NA,NA,NA,NA,NA,FALSE
82,2,0.0807,0.3885,TRUE,TRUE,FALSE
83,1,7e-4,NA,FALSE,NA,FALSE
84,2,1e-4,0.2086,FALSE,TRUE,FALSE
85,2,0.025,7e-4,TRUE,FALSE,FALSE
86,1,0.0134,NA,TRUE,NA,FALSE
87,1,0.001,NA,FALSE,NA,FALSE
88,2,1e-4,0.0215,FALSE,TRUE,FALSE
89,1,0.2589,NA,TRUE,NA,FALSE
90,2,0,0.5131,FALSE,TRUE,FALSE
91,1,0.6489,NA,TRUE,NA,FALSE
92,2,0.0372,0.7846,TRUE,TRUE,FALSE
93,2,0.0048,0.0616,FALSE,TRUE,FALSE
94,1,0,NA,FALSE,NA,FALSE
95,2,0,0.0012,FALSE,FALSE,FALSE
96,2,2e-4,0.3273,FALSE,TRUE,FALSE
97,2,0,0.0979,FALSE,TRUE,FALSE
98,2,0.006,0.1432,FALSE,TRUE,FALSE
99,1,0.1781,NA,TRUE,NA,FALSE
100,2,0,0.0568,FALSE,TRUE,FALSE
101,1,0.0489,NA,TRUE,NA,FALSE
102,2,0,8e-4,FALSE,FALSE,FALSE
103,1,2e-4,NA,FALSE,NA,FALSE
104,2,0.213,0.212,TRUE,TRUE,FALSE
105,2,0.3614,0.0012,TRUE,FALSE,FALSE
106,2,1e-4,0.4644,FALSE,TRUE,FALSE
107,2,8e-4,0.0028,FALSE,FALSE,FALSE
108,1,0.4284,NA,TRUE,NA,FALSE
109,2,0,0.0031,FALSE,FALSE,FALSE
110,2,0.0157,0.5653,TRUE,TRUE,FALSE
111,2,1e-4,0.1533,FALSE,TRUE,FALSE
112,2,0.0739,0.6561,TRUE,TRUE,FALSE
113,1,0.4201,NA,TRUE,NA,FALSE
114,1,0.2467,NA,TRUE,NA,TRUE
115,1,0.5704,NA,TRUE,NA,TRUE
116,2,0.0027,0.0155,FALSE,TRUE,FALSE
117,1,0.6889,NA,TRUE,NA,TRUE
118,1,0.4132,NA,TRUE,NA,TRUE
119,1,0.1703,NA,TRUE,NA,FALSE
120,1,0.0013,NA,FALSE,NA,TRUE
121,1,0.0724,NA,TRUE,NA,FALSE
122,1,0.8269,NA,TRUE,NA,FALSE
123,1,0.1075,NA,TRUE,NA,FALSE
124,1,0.0067,NA,FALSE,NA,FALSE
125,2,0.1056,0.0026,TRUE,FALSE,FALSE
126,1,0.0291,NA,TRUE,NA,TRUE
127,1,0.1192,NA,TRUE,NA,FALSE
128,1,0.576,NA,TRUE,NA,FALSE
129,2,0.0052,0.001,FALSE,FALSE,FALSE
130,1,0.1091,NA,TRUE,NA,FALSE
131,1,0.6403,NA,TRUE,NA,FALSE
132,2,0.5903,0.0507,TRUE,TRUE,FALSE
133,2,0.006,0.002,FALSE,FALSE,FALSE
134,1,0.4822,NA,TRUE,NA,FALSE
135,1,0.0526,NA,TRUE,NA,FALSE
136,1,0.4445,NA,TRUE,NA,FALSE
137,1,0.0025,NA,FALSE,NA,FALSE
138,2,3e-4,5e-4,FALSE,FALSE,FALSE
139,1,0.3063,NA,TRUE,NA,FALSE
140,2,3e-4,0.0013,FALSE,FALSE,FALSE
