region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical
1,2,0.034,0.398,TRUE,TRUE
2,2,0.034,0.313,TRUE,TRUE
3,2,0.001,0.255,FALSE,TRUE
4,2,0.009,0.433,FALSE,TRUE
5,2,0.001,0.291,FALSE,TRUE
6,2,0.001,0.145,FALSE,TRUE
7,2,0.001,0.454,FALSE,TRUE
8,2,0.043,0.462,TRUE,TRUE
9,2,0.000,0.009,FALSE,FALSE
10,2,0.003,0.039,FALSE,TRUE
11,2,0.008,0.008,FALSE,FALSE
12,2,0.007,0.036,FALSE,TRUE
13,1,0.007,NA,FALSE,NA
14,2,0.000,0.551,FALSE,TRUE
15,2,0.000,0.791,FALSE,TRUE
16,2,0.000,0.001,FALSE,FALSE
17,NA,NA,NA,NA,NA
18,2,0.000,0.710,FALSE,TRUE
19,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA
21,1,0.203,NA,TRUE,NA
22,2,0.000,0.000,FALSE,FALSE
23,2,0.001,0.000,FALSE,FALSE
24,2,0.000,0.005,FALSE,FALSE
25,NA,NA,NA,NA,NA
26,1,0.000,NA,FALSE,NA
27,2,0.106,0.164,TRUE,TRUE
28,1,0.000,NA,FALSE,NA
29,2,0.006,0.001,FALSE,FALSE
30,1,0.120,NA,TRUE,NA
31,1,0.001,NA,FALSE,NA
32,1,0.000,NA,FALSE,NA
33,2,0.000,0.017,FALSE,TRUE
34,1,0.185,NA,TRUE,NA
35,2,0.000,0.000,FALSE,FALSE
36,1,0.000,NA,FALSE,NA
37,1,0.003,NA,FALSE,NA
38,2,0.000,0.012,FALSE,TRUE
39,2,0.009,0.180,FALSE,TRUE
40,2,0.000,0.002,FALSE,FALSE
41,1,0.377,NA,TRUE,NA
42,2,0.000,0.205,FALSE,TRUE
43,1,0.002,NA,FALSE,NA
44,2,0.000,0.000,FALSE,FALSE
45,2,0.000,0.018,FALSE,TRUE
46,1,0.000,NA,FALSE,NA
47,2,0.000,0.006,FALSE,FALSE
48,2,0.000,0.021,FALSE,TRUE
49,1,0.043,NA,TRUE,NA
50,1,0.147,NA,TRUE,NA
51,1,0.000,NA,FALSE,NA
52,2,0.000,0.149,FALSE,TRUE
53,2,0.076,0.324,TRUE,TRUE
54,2,0.129,0.994,TRUE,TRUE
55,2,0.019,0.338,TRUE,TRUE
56,2,0.100,0.108,TRUE,TRUE
57,1,0.023,NA,TRUE,NA
58,1,0.003,NA,FALSE,NA
59,NA,NA,NA,NA,NA
60,1,0.760,NA,TRUE,NA
61,2,0.000,0.365,FALSE,TRUE
62,1,0.004,NA,FALSE,NA
63,1,0.011,NA,TRUE,NA
64,1,0.655,NA,TRUE,NA
65,2,0.079,0.137,TRUE,TRUE
66,1,0.003,NA,FALSE,NA
67,1,0.722,NA,TRUE,NA
68,1,0.367,NA,TRUE,NA
69,1,0.076,NA,TRUE,NA
70,2,0.006,0.247,FALSE,TRUE
71,1,0.091,NA,TRUE,NA
72,2,0.000,0.322,FALSE,TRUE
73,1,0.361,NA,TRUE,NA
74,NA,NA,NA,NA,NA
75,1,0.055,NA,TRUE,NA
76,2,0.004,0.116,FALSE,TRUE
77,NA,NA,NA,NA,NA
78,1,0.849,NA,TRUE,NA
79,2,0.004,0.000,FALSE,FALSE
80,2,0.386,0.770,TRUE,TRUE
81,NA,NA,NA,NA,NA
82,2,0.442,0.926,TRUE,TRUE
83,1,0.001,NA,FALSE,NA
84,2,0.000,0.055,FALSE,TRUE
85,2,0.009,0.010,FALSE,FALSE
86,1,0.015,NA,TRUE,NA
87,1,0.000,NA,FALSE,NA
88,2,0.000,0.000,FALSE,FALSE
89,2,0.000,0.079,FALSE,TRUE
90,2,0.008,0.157,FALSE,TRUE
91,1,0.094,NA,TRUE,NA
92,2,0.000,0.001,FALSE,FALSE
93,2,0.064,0.001,TRUE,FALSE
94,2,0.001,0.017,FALSE,TRUE
95,NA,NA,NA,NA,NA
96,2,0.000,0.362,FALSE,TRUE
97,2,0.000,0.209,FALSE,TRUE
98,2,0.003,0.005,FALSE,FALSE
99,2,0.002,0.981,FALSE,TRUE
100,2,0.018,0.101,TRUE,TRUE
101,1,0.005,NA,FALSE,NA
102,1,0.000,NA,FALSE,NA
103,1,0.000,NA,FALSE,NA
104,2,0.586,0.002,TRUE,FALSE
105,2,0.189,0.006,TRUE,FALSE
106,2,0.000,0.305,FALSE,TRUE
107,2,0.001,0.006,FALSE,FALSE
108,1,0.199,NA,TRUE,NA
109,1,0.137,NA,TRUE,NA
110,2,0.003,0.740,FALSE,TRUE
111,2,0.000,0.128,FALSE,TRUE
112,2,0.011,0.138,TRUE,TRUE
113,1,0.800,NA,TRUE,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,2,0.048,0.005,TRUE,FALSE
117,NA,NA,NA,NA,NA
118,1,0.317,NA,TRUE,NA
119,1,0.373,NA,TRUE,NA
120,1,0.000,NA,FALSE,NA
121,1,0.380,NA,TRUE,NA
122,1,0.926,NA,TRUE,NA
123,1,0.108,NA,TRUE,NA
124,2,0.007,0.001,FALSE,FALSE
125,2,0.034,0.001,TRUE,FALSE
126,1,0.088,NA,TRUE,NA
127,1,0.013,NA,TRUE,NA
128,1,0.712,NA,TRUE,NA
129,2,0.008,0.014,FALSE,TRUE
130,1,0.458,NA,TRUE,NA
131,1,0.306,NA,TRUE,NA
132,2,0.087,0.025,TRUE,TRUE
133,1,0.752,NA,TRUE,NA
134,1,0.482,NA,TRUE,NA
135,1,0.019,NA,TRUE,NA
136,2,0.008,0.160,FALSE,TRUE
137,1,0.005,NA,FALSE,NA
138,2,0.001,0.043,FALSE,TRUE
139,2,0.000,0.001,FALSE,FALSE
140,1,0.541,NA,TRUE,NA
141,2,0.381,0.605,TRUE,TRUE
142,1,0.000,NA,FALSE,NA
143,1,0.000,NA,FALSE,NA
144,NA,NA,NA,NA,NA
145,2,0.033,0.258,TRUE,TRUE
146,2,0.002,0.203,FALSE,TRUE
147,2,0.002,0.013,FALSE,TRUE
148,2,0.000,0.187,FALSE,TRUE
149,2,0.000,0.150,FALSE,TRUE
